mnq,bust%,payout%,d_to_pay_med,d_to_pay_p25,d_to_pay_p75,avg_life_d,accts/yr,payouts/yr,trader_$/yr,fees_$/yr,NET_$/yr,pattern
1,28.799999999999997,71.2,42,28,61,44.6176,5.647995409883095,4.021372731836764,5428.853187979632,847.1993114824643,4581.653876497167,$1500@$3K
2,46.93,53.06999999999999,14,10,21,15.0263,16.770595555792177,8.900155061458907,12015.209332969525,2515.5893333688264,9499.619999600698,$1500@$3K
1,30.48,69.45,59,41,83,58.7801,4.287165214077554,2.977436241176861,5359.38523411835,643.0747821116331,4716.310452006717,$2000@$4K
2,50.38,49.62,20,13,29,18.7838,13.415815756130282,6.656927778191846,11982.470000745321,2012.3723634195424,9970.097637325778,$2000@$4K
