mode,scale,OD_mnq,B2_mnq,RV_mnq,FB_mnq,p1_pass%,overall%,by_daily%,by_dd%,by_timeout%,median_days,p25_days,p75_days
challenge,0.5,1.25,0.415,1.25,1.665,86.18,82.68,0.0,0.04,13.8,218,168,272
challenge,0.75,1.875,0.622,1.875,2.498,94.82,93.26,0.0,0.66,4.82,150,109,205
challenge,1.0,2.5,0.83,2.5,3.33,96.58,94.78,0.0,2.76,1.9,113,77,162
challenge,1.25,3.125,1.037,3.125,4.162,92.5,87.22,7.44,4.68,0.6,84,57,122
challenge,1.5,3.75,1.245,3.75,4.995,91.14,85.3,5.54,8.78,0.32,69,46,103
challenge,1.75,4.375,1.452,4.375,5.828,90.8,83.64,4.56,11.72,0.08,58,37,85
challenge,2.0,5.0,1.66,5.0,6.66,85.56,75.52,11.5,12.96,0.02,47,30,71
challenge,2.5,6.25,2.075,6.25,8.325,84.08,73.28,8.22,18.5,0.0,34,23,53
