mode,scale,OD_mnq,B2_mnq,RV_mnq,FB_mnq,bust%,by_daily%,by_dd%,avg_life_d,payouts/yr,trader_$/yr,NET_$/yr,NET_$/mo,avg_payout_$
funded,0.5,1.25,0.415,1.25,1.665,0.12,0.0,0.12,251.9,48.2,11546.0,11546.0,962.0,240.0
funded,0.75,1.875,0.622,1.875,2.498,2.12,0.0,2.12,249.9,48.0,17214.0,17118.0,1426.0,359.0
funded,1.0,2.5,0.83,2.5,3.33,10.68,0.0,10.68,240.0,48.7,23310.0,23210.0,1934.0,479.0
funded,1.25,3.125,1.037,3.125,4.162,34.76,13.28,21.48,208.2,50.5,30187.0,30072.0,2506.0,598.0
funded,1.5,3.75,1.245,3.75,4.995,52.8,13.02,39.78,182.7,52.6,37676.0,37545.0,3129.0,718.0
funded,1.75,4.375,1.452,4.375,5.828,66.82,11.22,55.6,159.4,54.9,45935.0,45785.0,3815.0,838.0
funded,2.0,5.0,1.66,5.0,6.66,82.46,26.6,55.86,125.7,57.9,55538.0,55347.0,4612.0,960.0
funded,2.5,6.25,2.075,6.25,8.325,93.3,18.92,74.38,91.0,62.7,74875.0,74612.0,6218.0,1198.0
