bm,norm,zlook,ema,hz,sl,tp,rr,is_pf,is_wr,oos_pf,oos_wr,tot_t,tot_pf,tot_wr,tot_pnl,tot_mdd
15,100,75,80,1.0,1.5,2.0,1.333,1.035911151687947,45.70135746606335,1.1614912897547174,48.426150121065376,3257,1.0726715906213722,46.39238563094872,126160.02969069147,-81588.89691025355
15,100,75,80,1.0,1.5,2.5,1.667,0.9937616993457236,41.7353579175705,1.1597555097407446,44.28934010152284,3093,1.0423046190664187,42.38603297769156,74361.74829874217,-84201.45288480919
15,100,75,80,1.0,1.5,3.0,2.0,0.9907587072515331,39.34276586033774,1.0682380862234784,40.242261103633915,2934,1.013499546471986,39.57055214723926,23501.03524440139,-88212.9880887811
15,100,75,80,1.0,2.0,2.0,1.0,1.0060283676781683,50.89766606822262,1.1969332060692646,54.199475065616795,2990,1.0603208298622966,51.73913043478261,107710.04537301819,-84413.23333362964
15,100,75,80,1.0,2.0,2.5,1.25,0.9609907737539644,46.67940754897277,1.2195332606164717,50.62240663900415,2816,1.0343321896952902,47.69176136363637,62049.88507387345,-100758.30595730309
15,100,75,80,1.0,2.0,3.0,1.5,0.9669739993447988,44.24242424242424,1.110580434141464,46.09720176730486,2659,1.0086006523711013,44.71605866867243,15427.191491594895,-94829.28848419382
15,100,75,80,1.05,1.5,2.0,1.333,1.0378227519074537,45.629443747386034,1.1702814287913819,48.522167487684726,3203,1.0765902965051535,46.362784889166406,130868.13453972223,-85827.64589713395
15,100,75,80,1.05,1.5,2.5,1.667,1.0041639211843536,41.76600441501104,1.1604486392470452,44.170984455958546,3037,1.0498926850950148,42.377346065195916,86253.50093499539,-86080.993212076
15,100,75,80,1.05,1.5,3.0,2.0,0.999450584493418,39.27408096789204,1.0636485788294865,40.21887824897401,2880,1.0183590708322723,39.513888888888886,31483.91651600985,-90489.01405603802
15,100,75,80,1.05,2.0,2.0,1.0,0.9986283372714823,50.70615034168565,1.187280333318843,53.86666666666667,2945,1.0523206868059172,51.511035653650254,92580.41462551086,-89640.54914770302
15,100,75,80,1.05,2.0,2.5,1.25,0.9663438713147993,46.67959282598158,1.199654292687854,50.07052186177715,2772,1.0326786406807067,47.54689754689755,58411.48287900825,-106157.16550442572
15,100,75,80,1.05,2.0,3.0,1.5,0.973212175751285,44.22187981510015,1.0974836128184764,45.73991031390135,2616,1.0093898241941435,44.61009174311926,16646.28127865635,-94801.34227288145
15,100,75,80,1.1,1.5,2.0,1.333,1.045980175843223,45.74829931972789,1.1525314266665285,48.10606060606061,3144,1.0772138371133715,46.342239185750635,129790.60958340138,-78595.54290405323
15,100,75,80,1.1,1.5,2.5,1.667,1.0169367261029014,42.03678779721849,1.1380661028683823,43.841059602649004,2984,1.0525384707168874,42.493297587131366,89192.60144891695,-79183.19611937512
15,100,75,80,1.1,1.5,3.0,2.0,1.0089315919345276,39.45127719962157,1.0496292627256185,39.944134078212294,2830,1.0209608329839548,39.57597173144876,35327.62175007501,-86922.98525132588
15,100,75,80,1.1,2.0,2.0,1.0,1.0073415820140346,50.78703703703704,1.1541522118748364,53.387533875338754,2898,1.0495417613591866,51.44927536231884,86464.70011524907,-83290.30607611159
15,100,75,80,1.1,2.0,2.5,1.25,0.9758854136298609,46.8996062992126,1.160931524149137,49.78540772532189,2731,1.0291286238767223,47.638227755400955,51339.76109707433,-99626.73348301015
15,100,75,80,1.1,2.0,3.0,1.5,0.9789820570478203,44.33420365535248,1.0670872069660138,45.45454545454545,2575,1.0049034417523044,44.62135922330097,8571.329557921636,-93463.2468154532
15,100,75,80,1.15,1.5,2.0,1.333,1.0524126506376614,45.93425605536332,1.1684080744494714,47.87096774193548,3087,1.0863554181021906,46.420472951085195,142371.61291386554,-67123.19516608825
15,100,75,80,1.15,1.5,2.5,1.667,1.0288146423808868,42.38138686131387,1.1719893965483277,43.869209809264305,2926,1.0705458409424953,42.754613807245384,116903.4290312398,-66812.54553348073
15,100,75,80,1.15,1.5,3.0,2.0,1.0228518849779973,39.817483189241116,1.0597182510042618,39.59827833572454,2779,1.0337440243571,39.762504498020874,55729.54906806532,-70344.5977377407
15,100,75,80,1.15,2.0,2.0,1.0,1.0146679545442168,50.963798777621065,1.1685935910252803,53.241379310344826,2852,1.0589591402535476,51.542776998597475,100878.08444704639,-75091.74444635675
15,100,75,80,1.15,2.0,2.5,1.25,0.9858277949311387,47.2,1.1914476567250258,49.853801169590646,2684,1.0446636091184154,47.87630402384501,76938.14202130314,-89315.81638269563
15,100,75,80,1.15,2.0,3.0,1.5,0.9935472067249023,44.71458773784355,1.0921120565437707,45.5108359133127,2538,1.0223759646339448,44.917257683215134,38285.49596743094,-83009.26608770053
15,100,75,80,1.2,1.5,2.0,1.333,1.0570105167642063,46.19445666520018,1.1902464462865374,48.492791612057665,3036,1.0959464174150022,46.772068511198945,155202.53843481088,-62570.52762083616
15,100,75,80,1.2,1.5,2.5,1.667,1.0341969157471889,42.532467532467535,1.19120528250327,44.3213296398892,2878,1.0798857039093082,42.98123697011814,129938.44879024487,-64086.30089017678
15,100,75,80,1.2,1.5,3.0,2.0,1.0259021435579248,39.92191312835529,1.0703109382562346,39.85401459854015,2734,1.039032724973795,39.90490124359912,63440.607355679604,-66594.45465791826
15,100,75,80,1.2,2.0,2.0,1.0,1.027806215751717,51.24045801526717,1.1795421892571318,53.70629370629371,2811,1.0717026502525548,51.867662753468515,120377.7528406894,-71731.27485117601
15,100,75,80,1.2,2.0,2.5,1.25,0.9981161330186687,47.3871131405378,1.2001460554731438,50.14836795252226,2645,1.0562134221794095,48.09073724007561,95057.8706056445,-86239.28483226668
15,100,75,80,1.2,2.0,3.0,1.5,1.0022497994424715,44.82573726541555,1.0962171410467831,45.59748427672956,2501,1.0298903203396166,45.021991203518596,50278.97750989909,-83181.21817404567
15,100,75,80,1.25,1.5,2.0,1.333,1.039829639752653,45.924276169265035,1.180389721654587,48.472775564409034,2998,1.08064294717604,46.56437625083389,129573.3906387469,-67136.35266307322
15,100,75,80,1.25,1.5,2.5,1.667,1.0166131319919114,42.22118088097469,1.1825740458801013,44.25770308123249,2848,1.0647477388757138,42.73174157303371,105037.40910183606,-65664.0154951312
15,100,75,80,1.25,1.5,3.0,2.0,1.0096284394596629,39.6356474643033,1.0663921154951796,39.79289940828402,2707,1.0263153941745435,39.67491688215737,42595.54412539059,-69330.34513468076
15,100,75,80,1.25,2.0,2.0,1.0,1.0274673579730895,51.18414693088449,1.1593085889293429,53.333333333333336,2774,1.0656862210820286,51.73035328046143,109012.87782881763,-65480.525914985265
15,100,75,80,1.25,2.0,2.5,1.25,0.9993473237432988,47.38193018480493,1.1774933657159785,49.6996996996997,2614,1.0509446165411758,47.972456006120886,85504.1288875907,-78869.21555645077
15,100,75,80,1.25,2.0,3.0,1.5,0.995104199878248,44.7453954496208,1.0783737565651095,45.23809523809524,2476,1.0196951107585785,44.87075928917609,32988.35300653576,-77292.05181208585
15,100,75,80,1.3,1.5,2.0,1.333,1.0400377940279815,45.921586300135196,1.1664903626321652,48.113207547169814,2961,1.0768570642093964,46.47078689631881,122572.80810637542,-68217.7605137759
15,100,75,80,1.3,1.5,2.5,1.667,1.0139140738304766,42.117758784425455,1.179336212141754,44.05099150141643,2812,1.0620105699601148,42.60312944523471,99734.51400412337,-69215.1459144575
15,100,75,80,1.3,1.5,3.0,2.0,1.0033678335813387,39.511709018435475,1.0650995821248816,39.79135618479881,2678,1.0215603300145581,39.58177744585512,34634.316888475005,-73061.64657387114
15,100,75,80,1.3,2.0,2.0,1.0,1.0330165221042802,51.26953125,1.1484768665945293,52.94964028776978,2743,1.0665752635431567,51.69522420707255,109436.59704464796,-66807.98775679231
15,100,75,80,1.3,2.0,2.5,1.25,1.0049494376786288,47.37662337662338,1.177914918390373,49.468892261001514,2584,1.0551406883214967,47.910216718266255,91544.83119398876,-81046.79841765261
15,100,75,80,1.3,2.0,3.0,1.5,0.9991047202086014,44.7973713033954,1.0745807807632812,45.19230769230769,2450,1.0214500082301499,44.89795918367347,35526.22457339148,-77814.62737596576
15,100,75,80,1.35,1.5,2.0,1.333,1.034556157019912,45.82382473756276,1.1947897961977227,48.70395634379263,2924,1.0809038566292652,46.545827633378934,127393.30308770132,-60362.25973205986
15,100,75,80,1.35,1.5,2.5,1.667,1.0107953560218554,42.170989433237274,1.206637823297341,44.55587392550143,2780,1.0674146443285393,42.76978417266187,107182.61784760619,-63074.2232394985
15,100,75,80,1.35,1.5,3.0,2.0,0.9996215885442725,39.57597173144876,1.0914717257406608,40.27149321266968,2644,1.026550689215966,39.75037821482602,42149.14780159928,-67395.908469348
15,100,75,80,1.35,2.0,2.0,1.0,1.0344100582949778,51.30864197530864,1.1664953051552762,53.20699708454811,2711,1.0727362597738692,51.789007746219106,117798.11738707966,-56870.744433558524
