mnq,p1_pass,p2_pass,both_pass,p1_med_days,p2_med_days,total_med_days
1,0.74,0.9174,0.678876,218,138,356
2,0.8662,0.916,0.7934392,106,62,168
3,0.7478,0.8246,0.61663588,58,34,92
4,0.6866,0.772,0.5300552000000001,36,21,57
5,0.6234,0.7222,0.45021947999999995,25,15,40
