label,mnq,bust_rate,median_extracted,mean_extracted,p25,p75
Full combo (RV+B2+OD),1,0.9814,2104.679515153981,2967.6772351681248,0.0,4425.720415288912
Full combo (RV+B2+OD),2,1.0,1100.7761256626873,1738.4640137427814,0.0,2563.153652297495
Full combo (RV+B2+OD),3,1.0,0.0,1463.2255690644897,0.0,2351.648969701655
Full combo (RV+B2+OD),4,1.0,0.0,1309.6236654458814,0.0,1988.0
RV + B2 only (no OD),1,0.9262,2390.1563017469343,3791.841532322529,1029.8476945649945,5822.963297586872
RV + B2 only (no OD),2,1.0,1214.6285773606178,2004.6393597634722,0.0,2946.6222689323895
RV + B2 only (no OD),3,1.0,1020.628844512572,1455.2100811166008,0.0,2280.78826592294
RV + B2 only (no OD),4,1.0,0.0,1140.7192935672444,0.0,1675.0066656835588
