mnq,bust_rate,median_extracted,mean_extracted,p25,p75,mean_payouts,median_days_alive
0.5,0.49,3341.1768913015985,3517.579326850487,1250.551086799329,5352.605969507971,3.2302,252
1.0,0.9878,2072.342866688894,2845.5577687696973,0.0,4330.146432202035,2.4092,44
1.5,1.0,1282.2020509745562,2238.813889423263,0.0,3328.087997204202,1.7608,19
2.0,1.0,1122.5209446492554,1773.9667076974952,0.0,2660.6361338136157,1.3086,10
3.0,1.0,1010.6414562353348,1475.9695811087336,0.0,2258.6078177092913,0.9592,4
4.0,1.0,0.0,1278.1904342257671,0.0,1937.8355336927416,0.7444,2
