bm,norm,zlook,ema,hz,sl,tp,is_t,is_pf,is_wr,is_pnl,is_mdd,oos_t,oos_pf,oos_wr,oos_pnl,oos_mdd,tot_t,tot_pf,tot_wr,tot_pnl,tot_mdd,robust_pf
15,275,100,80,1.45,2.5,0.75,1722,1.2120523038387596,74.79674796747967,121870.37768888057,-19134.156843851524,560,1.2126048913826293,75.0,52330.44441955353,-19762.189684191326,2282,1.2122180006995225,74.84662576687117,174200.8221084341,-19762.18968419131,1.2120523038387596
15,100,100,80,2.0,2.5,0.75,1410,1.2081531272970023,74.53900709219859,98397.27096194873,-19322.948675421067,475,1.2791237041617738,74.73684210526316,55330.32744441785,-16246.049890713257,1885,1.2291211880273196,74.58885941644563,153727.5984063666,-19322.948675421067,1.2081531272970023
15,100,100,60,2.0,2.5,0.75,1412,1.2017589098526904,74.07932011331445,95456.42793734871,-16538.11901447749,476,1.270153678798369,74.78991596638656,53924.71027559346,-14979.727860582789,1888,1.2220525431518885,74.25847457627118,149381.13821294217,-16538.11901447749,1.2017589098526904
15,275,100,40,1.5,2.5,0.75,1669,1.2016719292900722,74.53565008987418,112982.95548969654,-17912.380562056132,548,1.205300314023455,74.63503649635037,50143.39042566273,-19751.86329434131,2217,1.2027735309159997,74.56021650879568,163126.34591535927,-19751.863294341267,1.2016719292900722
15,250,200,60,2.0,2.5,0.75,1068,1.195260591358987,74.43820224719101,73151.58570044555,-23468.24408152548,335,1.200627868849861,74.92537313432835,31574.543871104834,-14723.257223341134,1403,1.19684832093919,74.55452601568068,104726.12957155038,-23468.24408152548,1.195260591358987
15,275,100,80,1.5,2.5,0.75,1674,1.191137916967333,74.55197132616487,108427.95773539136,-19134.156843851524,550,1.2085663496758956,74.72727272727273,50418.58614248951,-17135.767170984618,2224,1.1963456445547733,74.59532374100719,158846.54387788087,-19134.156843851524,1.191137916967333
15,275,100,40,1.45,2.5,0.75,1715,1.219150580217392,74.6938775510204,124448.52952567555,-18662.401838367296,558,1.1908810405285353,74.73118279569893,47926.3515425926,-20143.37696023511,2273,1.2104834698445093,74.70303563572371,172374.88106826815,-20143.376960235182,1.1908810405285353
15,275,175,40,1.8,2.5,0.75,1324,1.198920418275625,74.62235649546828,91894.97157219783,-20662.182057138707,411,1.1907982513208717,75.18248175182482,37568.78060754643,-18227.18057035221,1735,1.196493116505817,74.75504322766571,129463.75217974425,-20662.182057138707,1.1907982513208717
15,250,200,40,2.0,2.5,0.75,1067,1.1893055892058149,74.03936269915651,71136.37277246479,-14719.63000163465,334,1.2089285511578123,75.1497005988024,33366.979136929076,-15789.923353753038,1401,1.1951580693863062,74.30406852248395,104503.35190939385,-15789.923353753038,1.1893055892058149
15,250,200,60,1.95,2.5,0.75,1085,1.189272371324815,74.47004608294931,72374.57466652934,-25463.149273570816,338,1.2106932474218675,75.14792899408285,33158.61959858477,-14157.117284069973,1423,1.1955180676962593,74.63106113843992,105533.19426511411,-25463.149273570816,1.189272371324815
15,200,175,40,2.0,2.5,0.75,1246,1.188627920588345,74.71910112359551,81750.53501625767,-21396.538276036117,396,1.2107761651106648,75.75757575757575,39190.050083840106,-15329.490476498831,1642,1.19527717654809,74.96954933008526,120940.58510009779,-21396.538276036117,1.188627920588345
15,275,150,60,1.5,2.5,0.75,1603,1.1873254247822704,74.92202121023082,102548.01253857178,-31937.240652051478,525,1.1917583505450924,74.28571428571429,46223.28372014679,-16340.457003960473,2128,1.1886806302300046,74.76503759398496,148771.29625871856,-31937.240652051478,1.1873254247822704
15,300,100,80,1.5,2.5,0.75,1682,1.1859229326793923,74.55410225921521,105777.21678248032,-19423.471515446254,551,1.2097539676174047,74.9546279491833,50624.57006224198,-17956.706399054165,2233,1.1930212851269149,74.65293327362293,156401.7868447223,-19423.471515446254,1.1859229326793923
15,275,100,40,1.4,2.5,0.75,1753,1.1845188344474742,74.2156303479749,109085.65582787519,-24372.743937379964,572,1.2023694754463385,75.0,51596.713590606014,-21803.73174149703,2325,1.189897593426514,74.40860215053763,160682.3694184812,-24372.743937379964,1.1845188344474742
15,275,100,60,1.4,2.5,0.75,1757,1.1857043956435243,74.21741605008538,109943.74341287022,-28021.78535516472,571,1.1842410715378602,74.78108581436076,46899.709307987214,-16089.687499232095,2328,1.1852643985540954,74.35567010309278,156843.4527208574,-28021.78535516472,1.1842410715378602
15,250,175,40,2.0,2.5,0.75,1249,1.1914628981919237,74.69975980784628,83539.39430232043,-20735.487232154337,396,1.1842028830487308,75.25252525252525,35379.26413898647,-14750.507461755114,1645,1.1892438755617587,74.83282674772036,118918.6584413069,-20735.487232154337,1.1842028830487308
15,275,175,80,1.6,2.5,0.75,1418,1.184000482190028,74.96473906911143,91367.08629293811,-28961.151310812056,445,1.2007454595350329,75.0561797752809,41750.67307814861,-19334.55878255867,1863,1.188943571249331,74.98658078368223,133117.75937108672,-28961.151310812056,1.184000482190028
15,325,100,80,1.5,2.5,0.75,1683,1.1838649346450019,74.4503862150921,104825.46089342967,-17644.88819362432,550,1.1896096648896184,74.72727272727273,46623.38777909303,-17956.706399054165,2233,1.185596008723699,74.51858486341244,151448.8486725227,-17956.706399054165,1.1838649346450019
15,275,175,80,1.65,2.5,0.75,1399,1.1838061610812565,74.91065046461759,90111.27246911582,-29934.23292574458,437,1.1993764986527653,74.8283752860412,40791.46779845403,-17135.767170984618,1836,1.188390791472475,74.89106753812636,130902.74026756987,-29934.23292574458,1.1838061610812565
15,250,200,40,1.95,2.5,0.75,1084,1.1834554599343485,74.07749077490774,70359.36173854858,-16755.358097253702,337,1.218847298830728,75.37091988130564,34951.054864409016,-15337.613777500083,1421,1.193860410539987,74.38423645320196,105310.41660295759,-16755.358097253702,1.1834554599343485
15,100,100,40,2.0,2.5,0.75,1410,1.1834271129385432,73.90070921985816,87746.82529260506,-19428.927539571523,475,1.2012483682172428,73.89473684210526,42314.768834912174,-18156.536013298828,1885,1.1888684836812133,73.89920424403184,130061.59412751722,-19428.927539571523,1.1834271129385432
15,225,175,40,2.0,2.5,0.75,1255,1.194465472967229,74.9003984063745,84648.60000902205,-20040.450865679704,397,1.182989590709317,75.56675062972292,34727.656837274044,-14742.258768401953,1652,1.1909812341268413,75.06053268765133,119376.25684629609,-20040.450865679704,1.182989590709317
15,275,175,40,1.9,2.5,0.75,1276,1.1823882234472176,74.3730407523511,82273.60599519397,-21249.55369614512,405,1.190792948663688,75.30864197530865,37252.35570923054,-16182.66424875248,1681,1.184927169162119,74.59845330160618,119525.96170442452,-21249.55369614512,1.1823882234472176
15,275,175,60,1.6,2.5,0.75,1417,1.193270431970224,74.80592801693719,94916.14108905356,-32948.76648509318,443,1.1822204601394966,74.94356659142213,38258.534807135075,-16315.651629436616,1860,1.1899611370128025,74.83870967741936,133174.67589618862,-32948.76648509318,1.1822204601394966
15,275,150,40,1.8,2.5,0.75,1426,1.1820927809088893,74.68443197755961,90657.70148380805,-26129.190515408518,466,1.2008865979335366,75.32188841201717,43311.97385315645,-17885.384553994663,1892,1.1877721039773095,74.84143763213531,133969.6753369645,-26129.190515408518,1.1820927809088893
15,200,175,60,2.0,2.5,0.75,1251,1.1817167533671804,74.74020783373301,79355.3190501031,-35518.51138772934,399,1.1987348419700588,75.93984962406014,36729.98183252879,-17096.44358599755,1650,1.1867773827683101,75.03030303030303,116085.3008826319,-35518.51138772934,1.1817167533671804
15,275,100,40,1.55,2.5,0.75,1627,1.1812654619669507,74.30854333128457,100513.32647983191,-19372.124534359522,534,1.1957610347836842,74.34456928838951,47044.11567224823,-20261.102786383126,2161,1.1856481850228227,74.31744562702453,147557.44215208013,-20261.102786383126,1.1812654619669507
15,275,175,60,1.75,2.5,0.75,1350,1.1943680285238176,74.5925925925926,91748.14554980668,-29596.86326045441,418,1.180754324232369,74.88038277511961,35769.009344962906,-17919.634736701046,1768,1.1903466844723338,74.6606334841629,127517.1548947696,-29596.86326045441,1.180754324232369
15,275,175,60,1.65,2.5,0.75,1398,1.190433963603698,74.67811158798283,92507.96530107345,-33019.67915016925,435,1.1805612375731738,74.71264367816092,37299.329527440495,-16809.643487033245,1833,1.1874882631979062,74.68630660120022,129807.29482851394,-33019.67915016925,1.1805612375731738
15,300,100,60,1.45,2.5,0.75,1715,1.1804330635077256,74.34402332361516,104316.95279553739,-20804.52537646881,564,1.1948584575574166,75.0,48644.79836611885,-18390.054948936086,2279,1.1847834214305555,74.50636243966652,152961.75116165626,-20804.52537646881,1.1804330635077256
15,275,175,40,1.6,2.5,0.75,1415,1.1804202691241021,74.62897526501767,89032.77033424468,-25436.655862805346,444,1.2022022056983441,75.45045045045045,42706.67687865549,-20487.909656910633,1859,1.186948765142157,74.82517482517483,131739.44721290015,-25436.655862805346,1.1804202691241021
15,300,100,80,1.45,2.5,0.75,1715,1.1800499283819776,74.57725947521865,104834.76805932798,-19684.393222789076,567,1.2309795852733838,75.30864197530865,56696.978116802056,-17135.767170984618,2282,1.1951533440483797,74.7589833479404,161531.74617613002,-19684.393222789076,1.1800499283819776
15,275,175,40,1.75,2.5,0.75,1349,1.1798355040806667,74.35137138621201,85578.48532724968,-21293.84988723541,418,1.2125310156128175,75.35885167464114,42101.100098861716,-18774.12344533106,1767,1.1894454741144542,74.5897000565931,127679.58542611141,-21293.84988723541,1.1798355040806667
