mnq,per_trade_risk,p_single_pass,median_days,p_1_of_4,p_2_of_4,p_3_of_4,p_all_4
1,130.61980301169825,0.1488,47,0.47503970172272625,0.10796219991982077,0.011707854992179197,0.0004902433652735998
2,261.2396060233965,0.3932,27,0.8644241648250625,0.5130173197968129,0.17145542593118718,0.023903089446937597
3,391.85940903509476,0.2262,14,0.6414787503297266,0.22226186392282085,0.03844138116517921,0.0026180045822736006
4,522.479212046793,0.121,9,0.403025885119,0.07431658864299999,0.0064431673569999995,0.00021435888099999997
5,653.0990150584912,0.0642,6,0.23311160923571037,0.022663929444868797,0.0010074734031311995,1.6987916289599993e-05
6,783.7188180701895,0.0402,5,0.1513610076467184,0.009184356291844801,0.00025202447615519996,2.6115852816e-06
8,1044.958424093586,0.0118,4,0.046371112740222396,0.0008223539073327999,6.513964667199999e-06,1.9387777599999997e-08
