entry_ts,exit_ts,side,sig_open,sig_high,sig_low,sig_close,entry_price,sl_price,tp_price,exit_price,entry_atr,pnl_pts,pnl_dollars,reason
2026-01-02 14:20:00-05:00,2026-01-02 15:00:00-05:00,SHORT,25294.5,25395.0,25288.5,25374.5,25374.5,25521.69058665975,25227.30941334025,25399.5,73.59529332987549,-25.0,-500.0,force_close
2026-01-06 10:00:00-05:00,2026-01-06 11:00:00-05:00,LONG,25641.0,25761.25,25608.0,25753.0,25753.0,25681.21186091848,25824.78813908152,25681.21186091848,35.894069540759695,-71.78813908152006,-1435.7627816304012,stop
2026-01-08 10:20:00-05:00,2026-01-08 11:40:00-05:00,SHORT,25603.75,25699.75,25569.0,25686.5,25686.5,25779.30015888389,25593.69984111611,25593.69984111611,46.40007944194438,92.8001588838888,1856.003177677776,target
2026-01-09 10:40:00-05:00,2026-01-09 14:00:00-05:00,LONG,25769.5,25879.0,25752.25,25842.75,25842.75,25725.847159736135,25959.652840263865,25959.652840263865,58.451420131932046,116.90284026386507,2338.0568052773015,target
2026-01-14 10:20:00-05:00,2026-01-14 11:00:00-05:00,SHORT,25586.25,25693.5,25530.5,25664.25,25664.25,25771.60459756001,25556.89540243999,25556.89540243999,53.67729878000571,107.35459756001,2147.0919512002,target
2026-01-14 14:00:00-05:00,2026-01-14 15:00:00-05:00,SHORT,25433.25,25526.0,25431.75,25515.0,25515.0,25655.959379057746,25374.040620942254,25500.5,70.47968952887321,14.5,290.0,force_close
2026-01-19 10:00:00-05:00,2026-01-19 12:40:00-05:00,SHORT,25251.75,25317.75,25236.5,25316.0,25316.0,25398.785784040236,25233.214215959764,25398.785784040236,41.3928920201182,-82.78578404023574,-1655.7156808047148,stop
2026-01-20 09:40:00-05:00,2026-01-20 11:00:00-05:00,SHORT,25208.0,25357.25,25201.5,25300.5,25300.5,25412.83319084541,25188.16680915459,25412.83319084541,56.166595422704646,-112.33319084540926,-2246.6638169081853,stop
2026-01-21 10:00:00-05:00,2026-01-21 11:00:00-05:00,LONG,25186.5,25339.25,25127.5,25324.75,25324.75,25189.664448005155,25459.835551994845,25459.835551994845,67.5427759974222,135.08555199484545,2701.711039896909,target
2026-01-26 09:40:00-05:00,2026-01-26 10:20:00-05:00,LONG,25721.5,25797.75,25704.25,25792.75,25792.75,25716.849012192764,25868.650987807236,25868.650987807236,37.950493903618245,75.90098780723565,1518.019756144713,target
