entry_ts,exit_ts,entry_close,exit_close,drift,prev_drift,prev2_drift,sign,prev_sign,year
2020-12-02 19:00:00-05:00,2020-12-03 08:00:00-05:00,12467.5,12481.5,14.0,-30.25,,1.0,-1.0,2020
2020-12-03 19:00:00-05:00,2020-12-04 08:00:00-05:00,12485.5,12495.0,9.5,14.0,-30.25,1.0,1.0,2020
2020-12-07 19:00:00-05:00,2020-12-08 08:00:00-05:00,12566.5,12555.75,-10.75,9.5,14.0,-1.0,1.0,2020
2020-12-08 19:00:00-05:00,2020-12-09 08:00:00-05:00,12659.75,12627.25,-32.5,-10.75,9.5,-1.0,-1.0,2020
2020-12-09 19:00:00-05:00,2020-12-10 08:00:00-05:00,12365.75,12300.0,-65.75,-32.5,-10.75,-1.0,-1.0,2020
2020-12-10 19:00:00-05:00,2020-12-11 08:00:00-05:00,12406.0,12317.75,-88.25,-65.75,-32.5,-1.0,-1.0,2020
2020-12-13 19:00:00-05:00,2020-12-14 08:00:00-05:00,12412.25,12422.25,10.0,-88.25,-65.75,1.0,-1.0,2020
2020-12-14 19:00:00-05:00,2020-12-15 08:00:00-05:00,12476.5,12545.0,68.5,10.0,-88.25,1.0,1.0,2020
2020-12-15 19:00:00-05:00,2020-12-16 08:00:00-05:00,12588.5,12625.25,36.75,68.5,10.0,1.0,1.0,2020
2020-12-16 19:00:00-05:00,2020-12-17 08:00:00-05:00,12677.75,12739.0,61.25,36.75,68.5,1.0,1.0,2020
2020-12-17 19:00:00-05:00,2020-12-18 08:00:00-05:00,12745.25,12761.5,16.25,61.25,36.75,1.0,1.0,2020
2020-12-20 19:00:00-05:00,2020-12-21 08:00:00-05:00,12739.0,12545.75,-193.25,16.25,61.25,-1.0,1.0,2020
2020-12-21 19:00:00-05:00,2020-12-22 08:00:00-05:00,12703.25,12749.75,46.5,-193.25,16.25,1.0,-1.0,2020
2020-12-22 19:00:00-05:00,2020-12-23 08:00:00-05:00,12714.5,12711.75,-2.75,46.5,-193.25,-1.0,1.0,2020
2020-12-23 19:00:00-05:00,2020-12-24 08:00:00-05:00,12653.5,12666.75,13.25,-2.75,46.5,1.0,-1.0,2020
2020-12-27 19:00:00-05:00,2020-12-28 08:00:00-05:00,12731.5,12808.5,77.0,13.25,-2.75,1.0,1.0,2020
2020-12-28 19:00:00-05:00,2020-12-29 08:00:00-05:00,12859.25,12892.25,33.0,77.0,13.25,1.0,1.0,2020
2020-12-29 19:00:00-05:00,2020-12-30 08:00:00-05:00,12836.0,12890.0,54.0,33.0,77.0,1.0,1.0,2020
2020-12-30 19:00:00-05:00,2020-12-31 08:00:00-05:00,12854.25,12849.75,-4.5,54.0,33.0,-1.0,1.0,2020
2021-01-03 19:00:00-05:00,2021-01-04 08:00:00-05:00,12845.25,12947.75,102.5,-4.5,54.0,1.0,-1.0,2021
2021-01-04 19:00:00-05:00,2021-01-05 08:00:00-05:00,12683.0,12653.75,-29.25,102.5,-4.5,-1.0,1.0,2021
2021-01-05 19:00:00-05:00,2021-01-06 08:00:00-05:00,12801.0,12614.0,-187.0,-29.25,102.5,-1.0,-1.0,2021
2021-01-06 19:00:00-05:00,2021-01-07 08:00:00-05:00,12666.0,12719.0,53.0,-187.0,-29.25,1.0,-1.0,2021
2021-01-07 19:00:00-05:00,2021-01-08 08:00:00-05:00,12946.75,12998.75,52.0,53.0,-187.0,1.0,1.0,2021
2021-01-10 19:00:00-05:00,2021-01-11 08:00:00-05:00,13072.5,13016.5,-56.0,52.0,53.0,-1.0,1.0,2021
2021-01-11 19:00:00-05:00,2021-01-12 08:00:00-05:00,12926.25,12932.25,6.0,-56.0,52.0,1.0,-1.0,2021
2021-01-12 19:00:00-05:00,2021-01-13 08:00:00-05:00,12895.5,12844.0,-51.5,6.0,-56.0,-1.0,1.0,2021
2021-01-13 19:00:00-05:00,2021-01-14 08:00:00-05:00,12992.5,12970.0,-22.5,-51.5,6.0,-1.0,-1.0,2021
2021-01-14 19:00:00-05:00,2021-01-15 08:00:00-05:00,12914.75,12903.5,-11.25,-22.5,-51.5,-1.0,-1.0,2021
2021-01-17 19:00:00-05:00,2021-01-18 08:00:00-05:00,12749.25,12803.75,54.5,-11.25,-22.5,1.0,-1.0,2021
2021-01-18 19:00:00-05:00,2021-01-19 08:00:00-05:00,12844.5,12903.5,59.0,54.5,-11.25,1.0,1.0,2021
2021-01-19 19:00:00-05:00,2021-01-20 08:00:00-05:00,13039.0,13106.75,67.75,59.0,54.5,1.0,1.0,2021
2021-01-20 19:00:00-05:00,2021-01-21 08:00:00-05:00,13310.0,13354.0,44.0,67.75,59.0,1.0,1.0,2021
2021-01-21 19:00:00-05:00,2021-01-22 08:00:00-05:00,13389.75,13313.75,-76.0,44.0,67.75,-1.0,1.0,2021
2021-01-24 19:00:00-05:00,2021-01-25 08:00:00-05:00,13401.5,13501.0,99.5,-76.0,44.0,1.0,-1.0,2021
2021-01-25 19:00:00-05:00,2021-01-26 08:00:00-05:00,13460.0,13461.5,1.5,99.5,-76.0,1.0,1.0,2021
2021-01-26 19:00:00-05:00,2021-01-27 08:00:00-05:00,13558.75,13387.75,-171.0,1.5,99.5,-1.0,1.0,2021
2021-01-27 19:00:00-05:00,2021-01-28 08:00:00-05:00,12999.5,12985.75,-13.75,-171.0,1.5,-1.0,-1.0,2021
2021-01-28 19:00:00-05:00,2021-01-29 08:00:00-05:00,13154.5,13082.75,-71.75,-13.75,-171.0,-1.0,-1.0,2021
2021-01-31 19:00:00-05:00,2021-02-01 08:00:00-05:00,12824.75,13044.0,219.25,-71.75,-13.75,1.0,-1.0,2021
2021-02-01 19:00:00-05:00,2021-02-02 08:00:00-05:00,13244.25,13345.25,101.0,219.25,-71.75,1.0,1.0,2021
2021-02-02 19:00:00-05:00,2021-02-03 08:00:00-05:00,13488.0,13543.5,55.5,101.0,219.25,1.0,1.0,2021
2021-02-03 19:00:00-05:00,2021-02-04 08:00:00-05:00,13440.25,13460.5,20.25,55.5,101.0,1.0,1.0,2021
2021-02-04 19:00:00-05:00,2021-02-05 08:00:00-05:00,13550.0,13579.25,29.25,20.25,55.5,1.0,1.0,2021
2021-02-07 19:00:00-05:00,2021-02-08 08:00:00-05:00,13640.25,13653.75,13.5,29.25,20.25,1.0,1.0,2021
2021-02-08 19:00:00-05:00,2021-02-09 08:00:00-05:00,13671.0,13661.25,-9.75,13.5,29.25,-1.0,1.0,2021
2021-02-09 19:00:00-05:00,2021-02-10 08:00:00-05:00,13683.25,13721.5,38.25,-9.75,13.5,1.0,-1.0,2021
