ts_et,strat,event,direction,price,qty,reason
2026-07-16 19:00:00 EDT,OD,ENTRY,LONG,29110.75,1,
2026-07-16 20:20:00 EDT,OD,EXIT,LONG,29006.50,1,SL_YELLOW
2026-07-19 19:00:00 EDT,OD,ENTRY,LONG,28800.50,1,
2026-07-19 21:00:00 EDT,OD,EXIT,LONG,28834.25,1,SL_YELLOW
2026-07-20 19:00:00 EDT,OD,ENTRY,LONG,28799.25,1,
2026-07-20 22:20:00 EDT,OD,EXIT,LONG,28946.25,1,TP_GREEN
2026-07-21 19:00:00 EDT,OD,ENTRY,LONG,29301.25,1,
2026-07-21 21:00:00 EDT,OD,EXIT,LONG,29267.50,1,SL_YELLOW
2026-07-22 19:00:00 EDT,OD,ENTRY,LONG,29043.00,1,
2026-07-22 20:00:00 EDT,OD,EXIT,LONG,29199.00,1,TP_GREEN
2026-07-23 19:00:00 EDT,OD,ENTRY,LONG,28695.00,1,
2026-07-23 22:20:00 EDT,OD,EXIT,LONG,28554.50,1,SL_YELLOW
