date,time,strategy,direction,entry,exit,pnl,reason,duration_mins
2025-03-14,06:39,base,long,19415.75,19440.339285714286,491.7857142857247,tp,7.2554609333333335
2025-03-17,09:30,trending,long,19704.0,19683.26339285714,-414.73214285717404,sl,1.0819041333333332
2025-03-17,21:16,trending,short,19794.25,19783.75,210.0,eod,0.40675495
2025-03-18,11:29,trending,short,19475.0,19507.910714285714,-658.2142857142753,sl,42.68836233333333
2025-03-23,21:22,trending,long,20122.0,20117.0,-100.0,eod,2.4978077166666663
2025-03-24,09:43,trending,long,20267.5,20252.57589285714,-298.48214285717404,sl,0.3829579166666666
2025-03-25,14:08,base,long,20421.5,20447.160714285714,513.2142857142753,tp,11.232171233333334
2025-03-26,09:39,base,short,20454.75,20463.758928571428,-180.17857142855064,sl,0.0004348833333333334
2025-03-26,11:36,trending,short,20278.0,20206.4375,1431.25,tp,16.6951809
2025-03-26,21:11,trending,long,20082.75,20080.75,-40.0,eod,2.3860867499999996
2025-03-27,10:09,base,long,20058.5,20038.776785714286,-394.4642857142753,sl,1.0555946833333334
2025-03-27,11:52,base,short,20064.75,20082.223214285714,-349.4642857142753,sl,2.4043214833333333
2025-03-27,15:41,base,short,20068.0,20020.991071428572,940.1785714285506,tp,9.604376983333333
2025-03-31,11:06,base,long,19156.25,19128.39285714286,-557.142857142826,sl,7.427799116666667
2025-04-01,10:05,base,short,19384.0,19320.758928571428,1264.8214285714494,tp,4.793755183333333
2025-04-02,10:11,base,long,19506.75,19588.5,1635.0,tp,12.289427433333334
2025-04-02,10:55,trending,long,19604.5,19736.95535714286,2649.107142857174,tp,80.54657856666667
2025-04-03,09:41,base,long,19002.5,18975.1875,-546.25,sl,0.8736405333333334
2025-04-14,13:22,trending,short,18896.0,18949.64285714286,-1072.857142857174,sl,31.460933633333333
2025-04-16,10:07,trending,short,18570.25,18604.6875,-688.75,sl,5.178253
2025-04-22,09:34,trending,long,18129.25,18115.745535714286,-270.0892857142753,sl,0.34040295
