sl,tp,is_trades,is_wr,is_exp,is_pf,is_pnl,is_dd,oos_trades,oos_wr,oos_exp,oos_pf,oos_pnl,oos_dd
3.0,0.5,85,88.24,80.32,1.6195,6827.5,-3828.21,67,77.61,-199.99,0.535,-13399.29,-16721.07
3.0,0.75,83,80.72,43.94,1.1851,3647.14,-7859.64,65,72.31,-166.6,0.6635,-10829.02,-14342.59
3.0,1.0,81,70.37,-78.42,0.8012,-6352.14,-17454.64,64,64.06,-220.08,0.6631,-12411.07,-15573.93
3.0,1.25,81,69.14,-11.04,0.9725,-893.84,-15544.29,64,62.5,-132.63,0.8143,-6877.95,-13744.37
3.0,1.5,79,68.35,43.98,1.107,3474.46,-13796.96,64,62.5,-39.7,0.9749,-930.54,-12828.57
3.0,1.75,77,64.94,65.64,1.1505,5054.29,-13717.77,62,53.23,-274.48,0.6868,-15275.89,-21039.2
3.0,2.0,75,62.67,80.89,1.178,6066.79,-13840.0,60,51.67,-246.68,0.7273,-13087.14,-21001.43
3.0,2.25,75,61.33,133.99,1.2906,10049.46,-13050.8,60,51.67,-209.92,0.7733,-10881.16,-18929.91
3.0,2.5,74,59.46,138.04,1.2783,10215.18,-15710.89,58,44.83,-285.5,0.6704,-16559.29,-22940.71
3.0,2.75,73,57.53,95.83,1.1756,6995.8,-17676.7,58,44.83,-229.57,0.735,-13315.0,-20778.93
3.0,3.0,73,54.79,36.31,1.0602,2650.71,-17189.29,58,44.83,-173.63,0.7996,-10070.71,-18823.93
