filter,threshold,tp_rr,n_trades,wr%,net_$,PF,MaxDD_$,avg_$,TP%,SL%,EOD%
ABSORPTION,180,2.75,31,58.1,375.0,1.02,-4410.0,12.1,0.0,22.6,77.4
ABSORPTION,180,3.0,31,58.1,375.0,1.02,-4410.0,12.1,0.0,22.6,77.4
ABSORPTION,180,3.25,31,58.1,375.0,1.02,-4410.0,12.1,0.0,22.6,77.4
ABSORPTION,180,3.5,31,58.1,375.0,1.02,-4410.0,12.1,0.0,22.6,77.4
ABSORPTION,180,3.75,31,58.1,375.0,1.02,-4410.0,12.1,0.0,22.6,77.4
ABSORPTION,180,4.0,31,58.1,375.0,1.02,-4410.0,12.1,0.0,22.6,77.4
ABSORPTION,190,1.0,23,65.2,4675.0,1.37,-4410.0,203.3,21.7,21.7,56.5
ABSORPTION,190,1.25,23,65.2,6372.0,1.5,-4410.0,277.1,17.4,21.7,60.9
ABSORPTION,190,1.5,23,60.9,2978.0,1.22,-4410.0,129.5,8.7,21.7,69.6
ABSORPTION,190,1.75,23,60.9,1159.0,1.09,-4410.0,50.4,4.3,21.7,73.9
ABSORPTION,190,2.0,23,60.9,1310.0,1.1,-4410.0,57.0,4.3,21.7,73.9
ABSORPTION,190,2.25,23,60.9,1461.0,1.11,-4410.0,63.5,4.3,21.7,73.9
ABSORPTION,190,2.5,23,60.9,1612.0,1.12,-4410.0,70.1,4.3,21.7,73.9
ABSORPTION,190,2.75,23,60.9,1260.0,1.09,-4410.0,54.8,0.0,21.7,78.3
ABSORPTION,190,3.0,23,60.9,1260.0,1.09,-4410.0,54.8,0.0,21.7,78.3
ABSORPTION,190,3.25,23,60.9,1260.0,1.09,-4410.0,54.8,0.0,21.7,78.3
ABSORPTION,190,3.5,23,60.9,1260.0,1.09,-4410.0,54.8,0.0,21.7,78.3
ABSORPTION,190,3.75,23,60.9,1260.0,1.09,-4410.0,54.8,0.0,21.7,78.3
ABSORPTION,190,4.0,23,60.9,1260.0,1.09,-4410.0,54.8,0.0,21.7,78.3
ABSORPTION,200,1.0,19,68.4,6165.0,1.75,-4250.0,324.5,21.1,21.1,57.9
ABSORPTION,200,1.25,19,68.4,7329.0,1.89,-4080.0,385.7,15.8,21.1,63.2
ABSORPTION,200,1.5,19,68.4,7542.0,1.91,-4635.0,397.0,10.5,21.1,68.4
ABSORPTION,200,1.75,19,68.4,5724.0,1.69,-4635.0,301.2,5.3,21.1,73.7
ABSORPTION,200,2.0,19,68.4,5875.0,1.71,-4635.0,309.2,5.3,21.1,73.7
ABSORPTION,200,2.25,19,68.4,6026.0,1.73,-4635.0,317.2,5.3,21.1,73.7
ABSORPTION,200,2.5,19,68.4,6178.0,1.75,-4635.0,325.1,5.3,21.1,73.7
ABSORPTION,200,2.75,19,68.4,5825.0,1.71,-4635.0,306.6,0.0,21.1,78.9
ABSORPTION,200,3.0,19,68.4,5825.0,1.71,-4635.0,306.6,0.0,21.1,78.9
ABSORPTION,200,3.25,19,68.4,5825.0,1.71,-4635.0,306.6,0.0,21.1,78.9
ABSORPTION,200,3.5,19,68.4,5825.0,1.71,-4635.0,306.6,0.0,21.1,78.9
ABSORPTION,200,3.75,19,68.4,5825.0,1.71,-4635.0,306.6,0.0,21.1,78.9
ABSORPTION,200,4.0,19,68.4,5825.0,1.71,-4635.0,306.6,0.0,21.1,78.9
