sl_mult,tp_mult,RR,no_n,no_wr,no_pf,no_total_pts,no_mdd_pts,no_avg_win,no_avg_loss,no_payoff,mart_n,mart_wr,mart_pf,mart_total_pts,mart_mdd_pts,mart_total_mnq_$,mart_mdd_mnq_$,tp_n,sl_n,fc_n
1.0,3.0,3.0,893,28.89137737961926,1.1432140708141356,2420.1672210654856,-918.6565301519659,74.88029386874943,-26.61251747570373,2.813724554135566,893,28.89137737961926,1.137885427257227,2350.265914606477,-932.0244564125355,4700.531829212954,-1864.048912825071,229,0,36
1.0,3.25,3.25,888,28.265765765765767,1.1815411894734402,3072.798650139288,-844.8780870696846,79.67720138165707,-26.571709413903672,2.998572660137774,888,28.265765765765767,1.1748984336283244,2989.3906221230527,-852.3083534619286,5978.781244246105,-1704.6167069238572,209,0,50
1.0,3.5,3.5,878,26.879271070615037,1.1296217604469938,2221.263260780509,-1100.9067677348576,82.02441938310785,-26.69236715519151,3.072954111046483,878,26.879271070615037,1.1220189310598785,2114.815491619342,-1131.3250666262754,4229.630983238684,-2262.650133252551,186,0,59
1.0,3.75,3.75,863,26.535341830822713,1.1665530308981313,2818.469317487672,-996.6664872794572,86.20446781877526,-26.69140979970325,3.229670836635001,863,26.535341830822713,1.1578593024694903,2704.397173072995,-1042.6520201363664,5408.79434614599,-2085.304040272733,170,0,69
1.0,4.0,4.0,853,26.260257913247365,1.165783935474852,2789.863004911316,-1184.5991522510772,87.58111725322,-26.75406559588229,3.273562925953937,853,26.260257913247365,1.1553045101251669,2646.023400009628,-1188.6485825651607,5292.046800019256,-2377.2971651303214,149,0,85
1.0,4.25,4.25,847,25.265643447461628,1.136033898591256,2311.985985920938,-1249.3586684703077,90.22264812570614,-26.84938501260691,3.3603245691975006,847,25.265643447461628,1.124493378469075,2144.81341580397,-1253.4080987843915,4289.62683160794,-2506.816197568783,139,0,86
1.0,4.5,4.5,843,24.67378410438909,1.1305871140410055,2224.3222931724913,-1178.7226678815525,92.5844576200096,-26.82400770360552,3.4515520068078778,843,24.67378410438909,1.1169096921955652,2022.5931000987205,-1182.7720981956359,4045.186200197441,-2365.5441963912717,127,0,93
1.0,4.75,4.75,840,24.642857142857146,1.147632793666096,2506.3217292300496,-1175.9405780016004,94.12101145957489,-26.819474949292182,3.5094278183122642,840,24.642857142857146,1.1336463874316973,2304.592536156278,-1199.5568772908337,4609.185072312556,-2399.1137545816673,118,0,101
1.0,5.0,5.0,836,24.2822966507177,1.1473482457621489,2498.3821636318335,-1183.9819103378932,95.83256646230734,-26.786143488493774,3.5776918205292625,836,24.2822966507177,1.1333491205535695,2296.6529705580624,-1188.0313406519772,4593.305941116125,-2376.0626813039544,106,0,109
1.25,3.0,2.4,872,33.142201834862384,1.1061576133166187,2032.9014776269155,-892.7163958394472,73.2966887840657,-32.84706960714935,2.231452901604113,872,33.142201834862384,1.0898056743618678,1751.8489919372412,-1042.3522426143006,3503.6979838744824,-2084.7044852286012,248,0,53
1.25,3.25,2.6,867,32.641291810841984,1.1463902450576333,2804.7927931516233,-870.070377312042,77.613039444009,-32.80770097517624,2.365695770719639,867,32.641291810841984,1.1329422764275379,2594.6295996609215,-998.7550583598347,5189.259199321843,-1997.5101167196694,226,0,70
1.25,3.5,2.8,858,31.23543123543124,1.0985542967369073,1911.3672603134428,-1154.6542069200923,79.49783702014147,-32.87127637471944,2.418459086099908,858,31.23543123543124,1.0908406052394872,1799.9619841126212,-1349.3840018092064,3599.9239682252423,-2698.768003618413,200,0,84
1.25,3.75,3.0,842,30.760095011876487,1.129498248524255,2482.3258382640533,-1000.348509687564,83.59507484995628,-32.87958584541102,2.5424613084542114,842,30.760095011876487,1.1211587514240857,2375.526180597765,-1144.7990633164025,4751.05236119553,-2289.598126632805,183,0,93
1.25,4.0,3.2,833,30.372148859543817,1.1235130010118002,2358.428825429082,-1077.1061916689468,84.79449957642856,-32.92168890932301,2.5756424529124273,833,30.372148859543817,1.1145570218148906,2237.585585885319,-1267.6230141200408,4475.171171770638,-2535.2460282400816,160,0,110
1.25,4.25,3.4,827,29.504232164449817,1.1020379695902616,1962.4347029984751,-1108.7594780098743,86.86406286099074,-32.988673473556204,2.6331480994718133,827,29.504232164449817,1.0886786873086822,1753.54090845158,-1235.1588481872493,3507.08181690316,-2470.3176963744986,149,0,115
1.25,4.5,3.6,823,28.918590522478738,1.1000090954525468,1928.0255325583198,-1124.4422695730898,89.10305626534982,-32.954704031786214,2.7038038690745374,823,28.918590522478738,1.0851646778528028,1691.6598379249585,-1379.3269923884957,3383.319675849917,-2758.6539847769914,137,0,122
1.25,4.75,3.8,819,28.93772893772894,1.1206919926494487,2314.755325980904,-1100.892638413358,90.69107656259021,-32.95365948342435,2.752079070556874,819,28.93772893772894,1.105956356093331,2094.113509957082,-1213.2153413884773,4188.227019914164,-2426.4306827769547,128,0,130
1.25,5.0,4.0,815,28.588957055214724,1.1261338121589812,2415.797552215384,-1081.5238128137544,92.56847147301124,-32.90834415978734,2.812917934234022,815,28.588957055214724,1.112013872643192,2210.879614801099,-1195.4873682869054,4421.759229602198,-2390.974736573811,117,0,137
1.5,3.0,2.0,839,37.18712753277711,1.0834703756960002,1727.1638664490429,-1009.1015109243682,71.85609678984437,-39.26364009863834,1.8300925897172824,839,37.18712753277711,1.0677234789929715,1433.6951707162636,-1155.5809369350563,2867.3903414325273,-2311.1618738701127,259,0,67
1.5,3.25,2.1666666666666665,835,36.64670658682635,1.1185391551187867,2462.702848139569,-934.743327942509,75.94163621819182,-39.2730393849284,1.9336837028033924,835,36.64670658682635,1.1058253320236986,2249.1416410245083,-1021.2087601638409,4498.283282049017,-2042.4175203276818,237,0,84
1.5,3.5,2.3333333333333335,828,35.628019323671495,1.0880560003275752,1852.9848970729624,-1201.8364119569897,77.61437360648652,-39.48077920607985,1.965877451439314,828,35.628019323671495,1.0731065788994676,1576.5611166233039,-1333.0972458617966,3153.1222332466077,-2666.1944917235933,211,0,100
1.5,3.75,2.5,812,35.221674876847295,1.1214532289575148,2523.8491789135373,-1095.5322260635858,81.48346070636508,-39.506503009708894,2.0625328616491356,812,35.221674876847295,1.10765235042221,2290.3626110108285,-1230.3194696337287,4580.725222021657,-2460.6389392674573,192,0,110
