delta,lowz,sl,tp,n_is,n_oos,pf_is,pf_oos,wr_is,wr_oos,pnl_is,pnl_oos,mdd_is,mdd_oos
50,-1.0,1.5,2.0,884,252,1.0243239770651642,1.28302728878381,46.94570135746606,50.3968253968254,12281.295998398964,48283.02469869472,-41981.40977363117,-22659.604081362704
50,-1.0,1.5,2.25,867,248,1.0491426942231943,1.2232902952147446,45.905420991926185,47.983870967741936,24805.79328757929,39403.27334644389,-32133.603883641772,-22414.35026359686
50,-1.0,1.5,2.5,860,247,1.0003776246607727,1.2124719578556482,43.83720930232558,46.15384615384615,194.91167294643674,39015.826467024235,-43173.89410829557,-22169.09644583102
50,-1.0,1.5,2.75,848,244,0.9888715277415925,1.2702846340708593,42.33490566037736,45.90163934426229,-5780.465716160179,49476.677718556384,-47352.378217658515,-20304.710932020243
50,-1.0,1.5,3.0,843,243,0.988512188200601,1.3078414202132398,41.518386714116254,45.67901234567901,-5974.528109093517,56342.80888153415,-47268.969242788735,-22217.50292744451
50,-1.0,1.75,1.0,941,265,1.1525228254336026,1.0564963585600116,64.0807651434644,61.132075471698116,61459.43878415448,8897.400237468319,-28474.066410614832,-17615.968209455386
50,-1.0,1.75,1.25,911,259,1.0315716850560674,1.1299112008439827,57.5192096597146,57.52895752895753,14572.430414333685,21156.042851639795,-35617.2949851281,-14057.915383335203
50,-1.0,1.75,1.5,894,255,1.0245256559970524,1.1418422753448207,54.13870246085011,55.294117647058826,12016.631571503567,24054.8684576869,-34746.36239010204,-15661.106301752297
50,-1.0,1.75,1.75,881,249,1.014516924290698,1.202943287835108,51.759364358683314,54.21686746987952,7408.607643253636,34770.68870946721,-40882.681724844624,-16345.521294273203
50,-1.0,1.75,2.0,869,248,1.0380284325369233,1.2870534433606275,50.17261219792865,53.225806451612904,19851.58610092807,49792.581728314035,-47362.828311739686,-20808.229047420755
50,-1.0,1.75,2.25,852,244,1.0521338094643151,1.2060591983850895,48.943661971830984,50.40983606557377,27340.903647156083,37604.693052500224,-33577.720949398754,-19892.05942223547
50,-1.0,1.75,2.5,845,243,1.0029116557957962,1.1952098190525748,46.98224852071006,48.559670781893004,1566.7518247148837,37144.150010562225,-49358.562313965194,-19472.045286495486
50,-1.0,1.75,2.75,833,240,0.9932703847004847,1.252706043963439,45.49819927971188,48.333333333333336,-3649.8832731135553,47922.94239150346,-54169.830074308156,-17163.04417203646
50,-1.0,1.75,3.0,828,239,0.9904105076377143,1.2906549870444124,44.56521739130435,48.11715481171548,-5217.055628446105,55109.864902938425,-56024.50533439471,-18901.07584948666
50,-1.0,2.0,1.0,929,262,1.1957646503637482,1.0653409404841174,66.7384284176534,63.3587786259542,78062.75543734667,10469.504647783397,-30172.45608129553,-16586.594375980058
50,-1.0,2.0,1.25,898,255,1.066337619662604,1.130939375465616,60.24498886414254,59.6078431372549,30613.053727201223,21641.421122798347,-39262.00794309261,-14331.95219167741
50,-1.0,2.0,1.5,878,251,1.0556106939707235,1.1572863058674445,56.71981776765376,57.76892430278885,27341.410253123686,26973.474430470378,-37678.45183736965,-16372.387784341336
50,-1.0,2.0,1.75,864,243,1.0672761412144471,1.2256170909090043,54.861111111111114,56.79012345679013,34122.40620165074,38878.27909613283,-41948.82810433281,-13939.788749975487
50,-1.0,2.0,2.0,851,243,1.0969279290531557,1.3094696002581394,53.349001175088134,55.55555555555556,50084.148069712755,54242.50325512083,-45608.27903404787,-17699.904096087703
50,-1.0,2.0,2.25,834,239,1.1203148187136445,1.210709172717791,52.39808153477218,52.30125523012552,62238.90169799113,39319.3038403993,-29742.854402732453,-19389.354341025246
50,-1.0,2.0,2.5,828,238,1.0722204653702914,1.2004631247045288,50.60386473429951,50.42016806722689,38395.46425068365,39114.86500463427,-46151.15676460686,-18594.939665893762
50,-1.0,2.0,2.75,816,235,1.0675179730456434,1.2620583482690528,49.26470588235294,50.212765957446805,36241.08056940109,50949.02720589642,-50938.09485633213,-16016.08326876063
50,-1.0,2.0,3.0,811,234,1.0596187041005443,1.2971716698002769,48.45869297163995,50.0,32093.90333402138,57764.40017886882,-50746.22219190298,-17754.11494621083
50,-1.0,2.25,1.0,917,259,1.2564546160253762,1.0399194142885775,68.92039258451472,64.86486486486487,98950.26212566062,6576.393544382081,-29073.467771446885,-20465.836438392944
50,-1.0,2.25,1.25,887,252,1.1165996651609857,1.1080558746905393,62.45772266065389,61.507936507936506,52614.63066659937,18364.47689067034,-36391.4833677595,-16040.786492038897
50,-1.0,2.25,1.5,867,248,1.0998983431232314,1.146741588606289,58.8235294117647,60.08064516129032,48480.4234373516,25822.853533470552,-36360.98740108813,-15109.039650075938
50,-1.0,2.25,1.75,853,240,1.1129895700461456,1.214593890061022,56.975381008206334,59.166666666666664,56669.48572650468,37997.26323061703,-36075.033857359085,-15884.009284547938
50,-1.0,2.25,2.0,840,240,1.140482273747225,1.2973484930336026,55.476190476190474,57.916666666666664,72039.27783184205,53613.08533673771,-40841.04590215361,-15992.832210310444
50,-1.0,2.25,2.25,823,236,1.1626119697874528,1.1949574314372164,54.556500607533415,54.66101694915254,83364.32927555381,37563.69482544571,-28932.79221534278,-17621.01127149712
50,-1.0,2.25,2.5,816,235,1.1145531317382973,1.1856299985350713,52.818627450980394,52.765957446808514,60406.40671948713,37412.49819623648,-43235.58492962731,-16391.647535067314
50,-1.0,2.25,2.75,804,232,1.1064334515107253,1.2352783463524808,51.3681592039801,52.58620689655172,56811.59207091234,47237.93258573816,-50223.473723560004,-16391.647535067314
50,-1.0,2.25,3.0,799,231,1.0968985745829458,1.270113240186034,50.563204005006256,52.38095238095238,52035.39549917197,54220.330513702575,-49924.06014517853,-17081.878473123288
50,-1.0,2.5,1.0,907,258,1.288428559640914,1.024476679684166,69.90077177508269,65.89147286821705,109132.54018392031,4140.639311916384,-28106.476189317036,-24662.31228660108
50,-1.0,2.5,1.25,877,251,1.1208354545267682,1.0965982849501648,63.169897377423034,62.94820717131474,54510.823505138906,16877.760606722804,-35043.44969395366,-18798.869355312054
50,-1.0,2.5,1.5,858,248,1.0933287131162228,1.1388126575555628,59.557109557109555,61.29032258064516,45723.74834110491,25180.538917749436,-35742.66973020771,-17280.419302772716
50,-1.0,2.5,1.75,844,240,1.1073512338046378,1.188522112779094,57.81990521327014,60.0,54285.32192389204,34650.23793070017,-34575.26530315765,-19610.4751294959
50,-1.0,2.5,2.0,830,240,1.1320439414966752,1.2685056570074058,56.265060240963855,58.75,68355.61483948637,50320.80621853747,-39611.70099316427,-18291.972484036087
50,-1.0,2.5,2.25,813,236,1.1533360695345236,1.167586545000755,55.35055350553505,55.50847457627118,79404.10821186422,33655.85822570072,-28715.589584264526,-20280.31977696628
50,-1.0,2.5,2.5,806,235,1.1043028354542015,1.1598893270456656,53.59801488833747,53.61702127659574,55622.003549523906,33583.607279842035,-43389.32034290781,-19407.681204693436
50,-1.0,2.5,2.75,794,231,1.0970432225886007,1.2060947481406303,52.141057934508815,53.67965367965368,52420.69638756464,43102.5036683627,-48260.527736290926,-18096.83059451927
50,-1.0,2.5,3.0,789,230,1.083940639930108,1.2409014620377634,51.330798479087456,53.47826086956522,45777.00409924917,50370.49242211251,-50092.16276308683,-19066.817422034
50,-1.0,2.75,1.0,897,257,1.3187822710380315,0.9371743976485282,71.23745819397993,65.36964980544747,118414.84543302676,-11485.429915625864,-30871.135307066972,-34076.840748631
50,-1.0,2.75,1.25,865,250,1.1183954013519506,1.0097533098023848,64.27745664739885,62.8,53601.40366289805,1840.8884346934065,-36523.859731288176,-29493.55864648518
50,-1.0,2.75,1.5,847,247,1.0956973597187591,1.048779286048157,60.56670602125148,61.1336032388664,46873.49601415495,9561.23533516773,-37603.36845414793,-26221.360658744306
50,-1.0,2.75,1.75,833,239,1.1096536823262466,1.1002887686421865,58.70348139255702,59.8326359832636,55413.14738341265,19924.773552049955,-38388.71387255179,-28360.720627308256
50,-1.0,2.75,2.0,820,238,1.1312527073664307,1.1766987574204273,57.073170731707314,58.8235294117647,68173.13026820603,35685.891005598314,-43610.14682613546,-26876.597989426955
50,-1.0,2.75,2.25,802,234,1.1535905142641196,1.1050299230332847,56.109725685785534,55.98290598290598,79759.53836103273,22457.982168274903,-30971.33859301124,-25021.56047885168
50,-1.0,2.75,2.5,795,233,1.1007060863740916,1.098646487873313,54.339622641509436,54.07725321888412,53900.963492949195,22036.62112384758,-46815.779954502126,-24280.541853493924
