entry_time,exit_time,direction,entry_price,exit_price,contracts,bars_held,gross_pnl,net_pnl,exit_reason,signal_time
2020-12-18 12:01:00-05:00,2020-12-18 12:04:00-05:00,short,12692.6875,12693.576296972302,1,4,-17.78,-22.28,band_stop,2020-12-18 12:00:00-05:00
2020-12-18 15:31:00-05:00,2020-12-18 15:32:00-05:00,short,12636.1875,12642.00417966719,1,2,-116.33,-120.83,band_stop,2020-12-18 15:30:00-05:00
2020-12-21 10:31:00-05:00,2020-12-21 11:04:00-05:00,short,12505.9375,12516.65315416295,1,34,-214.31,-218.81,band_stop,2020-12-21 10:30:00-05:00
2021-01-04 11:01:00-05:00,2021-01-04 16:45:00-05:00,short,12761.9375,12684.8125,1,330,1542.5,1538.0,eod_close,2021-01-04 11:00:00-05:00
2021-01-05 10:01:00-05:00,2021-01-05 10:20:00-05:00,long,12750.8125,12734.475174549434,1,20,-326.75,-331.25,band_stop,2021-01-05 10:00:00-05:00
2021-01-05 10:31:00-05:00,2021-01-05 10:32:00-05:00,long,12744.5625,12733.472196277275,1,2,-221.81,-226.31,vwap_stop,2021-01-05 10:30:00-05:00
2021-01-05 14:31:00-05:00,2021-01-05 14:52:00-05:00,long,12784.8125,12786.082565710385,1,22,25.4,20.9,band_stop,2021-01-05 14:30:00-05:00
2021-01-07 10:01:00-05:00,2021-01-07 16:45:00-05:00,long,12838.3125,12930.6875,1,390,1847.5,1843.0,eod_close,2021-01-07 10:00:00-05:00
2021-01-15 10:31:00-05:00,2021-01-15 10:41:00-05:00,short,12792.1875,12830.832086566004,1,11,-772.89,-777.39,band_stop,2021-01-15 10:30:00-05:00
2021-01-15 11:01:00-05:00,2021-01-15 11:17:00-05:00,short,12804.9375,12801.922567631254,1,17,60.3,55.8,band_stop,2021-01-15 11:00:00-05:00
2021-01-20 10:31:00-05:00,2021-01-20 11:06:00-05:00,long,13230.3125,13218.882985813652,1,36,-228.59,-233.09,band_stop,2021-01-20 10:30:00-05:00
2021-01-20 11:31:00-05:00,2021-01-20 16:45:00-05:00,long,13243.5625,13295.9375,1,300,1047.5,1043.0,eod_close,2021-01-20 11:30:00-05:00
2021-01-25 10:01:00-05:00,2021-01-25 10:02:00-05:00,long,13538.8125,13531.878150417913,1,2,-138.69,-143.19,vwap_stop,2021-01-25 10:00:00-05:00
2021-01-27 10:01:00-05:00,2021-01-27 10:01:00-05:00,short,13280.9375,13281.0625,1,1,-2.5,-7.0,vwap_stop,2021-01-27 10:00:00-05:00
2021-01-27 11:31:00-05:00,2021-01-27 12:17:00-05:00,short,13286.6875,13287.144024645317,1,47,-9.13,-13.63,vwap_stop,2021-01-27 11:30:00-05:00
2021-01-27 12:31:00-05:00,2021-01-27 12:31:00-05:00,short,13303.6875,13303.8125,1,1,-2.5,-7.0,vwap_stop,2021-01-27 12:30:00-05:00
2021-01-27 13:01:00-05:00,2021-01-27 13:01:00-05:00,short,13318.1875,13318.3125,1,1,-2.5,-7.0,vwap_stop,2021-01-27 13:00:00-05:00
2021-01-27 13:31:00-05:00,2021-01-27 13:31:00-05:00,short,13305.9375,13306.0625,1,1,-2.5,-7.0,vwap_stop,2021-01-27 13:30:00-05:00
2021-01-27 14:01:00-05:00,2021-01-27 14:01:00-05:00,short,13267.4375,13288.86223076589,1,1,-428.49,-432.99,vwap_stop,2021-01-27 14:00:00-05:00
2021-01-27 14:31:00-05:00,2021-01-27 16:45:00-05:00,short,13209.9375,13079.8125,1,120,2602.5,2598.0,eod_close,2021-01-27 14:30:00-05:00
2021-01-28 10:31:00-05:00,2021-01-28 10:42:00-05:00,long,13236.3125,13212.578837239002,1,12,-474.67,-479.17,vwap_stop,2021-01-28 10:30:00-05:00
2021-01-28 11:01:00-05:00,2021-01-28 11:47:00-05:00,long,13276.3125,13254.96247559971,1,47,-427.0,-431.5,vwap_stop,2021-01-28 11:00:00-05:00
2021-01-28 12:01:00-05:00,2021-01-28 15:18:00-05:00,long,13308.0625,13279.600773463353,1,198,-569.23,-573.73,vwap_stop,2021-01-28 12:00:00-05:00
2021-01-29 11:31:00-05:00,2021-01-29 11:59:00-05:00,short,12993.9375,13029.448168370462,1,29,-710.21,-714.71,band_stop,2021-01-29 11:30:00-05:00
2021-01-29 12:31:00-05:00,2021-01-29 15:13:00-05:00,short,12942.4375,12989.493561708558,1,163,-941.12,-945.62,band_stop,2021-01-29 12:30:00-05:00
2021-01-29 15:31:00-05:00,2021-01-29 15:31:00-05:00,short,12976.6875,12980.462492791585,1,1,-75.5,-80.0,band_stop,2021-01-29 15:30:00-05:00
2021-02-01 11:31:00-05:00,2021-02-01 16:10:00-05:00,long,13155.0625,13216.4375,1,280,1227.5,1223.0,band_stop,2021-02-01 11:30:00-05:00
2021-02-02 12:01:00-05:00,2021-02-02 12:04:00-05:00,long,13456.8125,13452.181016000182,1,4,-92.63,-97.13,band_stop,2021-02-02 12:00:00-05:00
