entry_time,exit_time,direction,entry_price,exit_price,contracts,bars_held,gross_pnl,net_pnl,exit_reason,signal_time
2021-03-24 10:01:00-04:00,2021-03-24 10:07:00-04:00,short,12956.1875,12974.127777131238,1,7,-358.81,-363.31,band_stop,2021-03-24 10:00:00-04:00
2021-03-24 10:31:00-04:00,2021-03-24 10:33:00-04:00,short,12945.4375,12956.393892996777,1,3,-219.13,-223.63,band_stop,2021-03-24 10:30:00-04:00
2021-03-24 13:31:00-04:00,2021-03-24 13:32:00-04:00,short,12918.1875,12923.519619836516,1,2,-106.64,-111.14,band_stop,2021-03-24 13:30:00-04:00
2021-03-24 14:31:00-04:00,2021-03-24 14:38:00-04:00,short,12909.4375,12910.126845842547,1,8,-13.79,-18.29,band_stop,2021-03-24 14:30:00-04:00
2021-03-24 15:01:00-04:00,2021-03-24 16:45:00-04:00,short,12868.1875,12795.5625,1,90,1452.5,1448.0,eod_close,2021-03-24 15:00:00-04:00
2021-03-29 10:01:00-04:00,2021-03-29 10:22:00-04:00,short,12854.6875,12865.255579394166,1,22,-211.36,-215.86,band_stop,2021-03-29 10:00:00-04:00
2021-03-29 10:31:00-04:00,2021-03-29 10:34:00-04:00,short,12837.6875,12862.192069061653,1,4,-490.09,-494.59,band_stop,2021-03-29 10:30:00-04:00
2021-03-31 10:01:00-04:00,2021-03-31 15:46:00-04:00,long,13052.0625,13107.30769238167,1,346,1104.9,1100.4,band_stop,2021-03-31 10:00:00-04:00
2021-04-05 10:31:00-04:00,2021-04-05 11:09:00-04:00,long,13513.8125,13511.083148804679,1,39,-54.59,-59.09,band_stop,2021-04-05 10:30:00-04:00
2021-04-05 11:31:00-04:00,2021-04-05 16:45:00-04:00,long,13525.5625,13595.6875,1,300,1402.5,1398.0,eod_close,2021-04-05 11:30:00-04:00
2021-04-13 10:01:00-04:00,2021-04-13 10:04:00-04:00,long,13941.5625,13934.33499446676,1,4,-144.55,-149.05,band_stop,2021-04-13 10:00:00-04:00
2021-04-14 11:31:00-04:00,2021-04-14 11:37:00-04:00,short,13880.9375,13886.019281302439,1,7,-101.64,-106.14,band_stop,2021-04-14 11:30:00-04:00
2021-04-14 14:01:00-04:00,2021-04-14 14:28:00-04:00,short,13830.9375,13855.822462960978,1,28,-497.7,-502.2,band_stop,2021-04-14 14:00:00-04:00
2021-04-14 14:31:00-04:00,2021-04-14 14:31:00-04:00,short,13852.9375,13858.490193452926,1,1,-111.05,-115.55,band_stop,2021-04-14 14:30:00-04:00
2021-04-14 15:01:00-04:00,2021-04-14 16:13:00-04:00,short,13806.1875,13824.616911549552,1,73,-368.59,-373.09,band_stop,2021-04-14 15:00:00-04:00
2021-04-20 11:31:00-04:00,2021-04-20 11:54:00-04:00,short,13753.1875,13773.915756037757,1,24,-414.57,-419.07,band_stop,2021-04-20 11:30:00-04:00
2021-04-20 12:01:00-04:00,2021-04-20 12:01:00-04:00,short,13767.6875,13772.07111996843,1,1,-87.67,-92.17,band_stop,2021-04-20 12:00:00-04:00
2021-04-20 13:31:00-04:00,2021-04-20 13:34:00-04:00,short,13747.9375,13756.3125,1,4,-167.5,-172.0,band_stop,2021-04-20 13:30:00-04:00
2021-04-20 15:01:00-04:00,2021-04-20 15:01:00-04:00,short,13743.9375,13744.0625,1,1,-2.5,-7.0,band_stop,2021-04-20 15:00:00-04:00
2021-04-21 11:31:00-04:00,2021-04-21 11:43:00-04:00,long,13847.3125,13848.740407944337,1,13,28.56,24.06,band_stop,2021-04-21 11:30:00-04:00
2021-04-21 12:01:00-04:00,2021-04-21 12:12:00-04:00,long,13872.8125,13858.585664478516,1,12,-284.54,-289.04,band_stop,2021-04-21 12:00:00-04:00
2021-04-22 14:01:00-04:00,2021-04-22 14:28:00-04:00,short,13732.4375,13764.588841745668,1,28,-643.03,-647.53,band_stop,2021-04-22 14:00:00-04:00
2021-04-22 15:31:00-04:00,2021-04-22 15:31:00-04:00,short,13735.6875,13747.242717506868,1,1,-231.1,-235.6,band_stop,2021-04-22 15:30:00-04:00
2021-04-23 11:01:00-04:00,2021-04-23 16:00:00-04:00,long,13871.8125,13922.337858318595,1,300,1010.51,1006.01,band_stop,2021-04-23 11:00:00-04:00
2021-04-27 10:01:00-04:00,2021-04-27 10:01:00-04:00,short,13955.6875,13955.8125,1,1,-2.5,-7.0,band_stop,2021-04-27 10:00:00-04:00
2021-04-29 12:01:00-04:00,2021-04-29 12:39:00-04:00,short,13861.6875,13870.10210284126,1,39,-168.29,-172.79,band_stop,2021-04-29 12:00:00-04:00
2021-05-04 10:01:00-04:00,2021-05-04 15:36:00-04:00,short,13543.4375,13492.697313885134,1,336,1014.8,1010.3,vwap_stop,2021-05-04 10:00:00-04:00
2021-05-06 10:01:00-04:00,2021-05-06 10:01:00-04:00,short,13427.4375,13427.5625,1,1,-2.5,-7.0,band_stop,2021-05-06 10:00:00-04:00
2021-05-10 10:01:00-04:00,2021-05-10 10:19:00-04:00,short,13536.1875,13551.998481930068,1,19,-316.22,-320.72,vwap_stop,2021-05-10 10:00:00-04:00
2021-05-10 10:31:00-04:00,2021-05-10 12:01:00-04:00,short,13514.9375,13521.336397303603,1,91,-127.98,-132.48,vwap_stop,2021-05-10 10:30:00-04:00
2021-05-10 12:31:00-04:00,2021-05-10 16:45:00-04:00,short,13518.9375,13339.0625,1,240,3597.5,3593.0,eod_close,2021-05-10 12:30:00-04:00
2021-05-12 12:01:00-04:00,2021-05-12 12:08:00-04:00,short,13013.9375,13030.230370568885,1,8,-325.86,-330.36,band_stop,2021-05-12 12:00:00-04:00
2021-05-12 12:31:00-04:00,2021-05-12 12:32:00-04:00,short,13021.1875,13027.249981746962,1,2,-121.25,-125.75,band_stop,2021-05-12 12:30:00-04:00
