ema_n,ymult,n_all,wr_all,all_net,all_PF,all_mdd,all_avg,is_n,is_net,is_PF,is_wr,oos_n,oos_net,oos_PF,oos_wr,oos_mdd,net_mdd_ratio,beat_both
100,1.75,1350,44.7,75670.0,1.048,-116135.0,56.1,810,-25180.0,0.971,43.2,540,100850.0,1.139,47.0,-44890.0,0.6515692943557068,False
100,2.0,1348,45.8,102700.0,1.063,-129590.0,76.2,808,-15900.0,0.982,43.7,540,118600.0,1.161,48.9,-45355.0,0.7924994212516397,False
100,2.5,1345,48.7,120150.0,1.071,-119725.0,89.3,807,19675.0,1.022,47.3,538,100475.0,1.13,50.7,-58405.0,1.0035498016287325,True
100,3.0,1345,50.0,66385.0,1.038,-152900.0,49.4,807,-1205.0,0.999,48.7,538,67590.0,1.082,51.9,-70825.0,0.4341726618705036,False
110,1.0,1360,41.6,65675.0,1.048,-77750.0,48.3,816,66695.0,1.096,40.6,544,-1020.0,0.998,43.2,-69755.0,0.8446945337620578,False
110,1.25,1352,41.8,7005.0,1.005,-133540.0,5.2,811,11765.0,1.015,40.1,541,-4760.0,0.993,44.4,-91345.0,0.052456192901003444,False
110,1.5,1350,42.9,2585.0,1.002,-150910.0,1.9,810,-12580.0,0.985,41.4,540,15165.0,1.02,45.2,-85685.0,0.017129414883042874,False
110,1.75,1350,44.7,9410.0,1.006,-128555.0,7.0,810,-13835.0,0.984,43.5,540,23245.0,1.031,46.5,-65290.0,0.07319824199758858,False
110,2.0,1348,45.6,30935.0,1.019,-127385.0,22.9,808,-22950.0,0.974,43.9,540,53885.0,1.07,48.1,-65960.0,0.24284648899006947,False
110,2.5,1345,48.6,41420.0,1.024,-124285.0,30.8,807,4425.0,1.005,47.6,538,36995.0,1.046,50.0,-64745.0,0.33326628313955825,True
110,3.0,1345,49.8,-5460.0,0.997,-168700.0,-4.1,807,-2825.0,0.997,48.9,538,-2635.0,0.997,51.1,-89140.0,-0.03236514522821577,False
120,1.0,1360,41.7,62705.0,1.046,-86800.0,46.1,816,53185.0,1.076,40.3,544,9520.0,1.014,43.8,-74600.0,0.7224078341013825,True
120,1.25,1352,41.7,-2165.0,0.999,-145110.0,-1.6,811,-8100.0,0.99,39.6,541,5935.0,1.009,44.9,-94415.0,-0.01491971607745848,False
120,1.5,1350,42.8,2535.0,1.002,-159015.0,1.9,810,-26120.0,0.969,40.9,540,28655.0,1.039,45.7,-89660.0,0.015941892274313745,False
120,1.75,1350,44.7,14885.0,1.009,-133840.0,11.0,810,-27110.0,0.969,43.1,540,41995.0,1.056,47.2,-71125.0,0.11121488344291691,False
120,2.0,1348,45.8,43140.0,1.026,-124400.0,32.0,808,-25490.0,0.972,43.7,540,68630.0,1.091,48.9,-72100.0,0.3467845659163987,False
120,2.5,1345,48.5,65060.0,1.038,-125760.0,48.4,807,15055.0,1.017,47.0,538,50005.0,1.063,50.7,-70685.0,0.5173346055979644,True
120,3.0,1345,49.7,23495.0,1.013,-163325.0,17.5,807,11045.0,1.012,48.3,538,12450.0,1.015,51.9,-91035.0,0.14385427827950406,True
