atr_n,sl_mult,tp_mult,rr,n_all,wr_strict_all,wr_inc_fc_all,net_all,pf_all,mdd_all,is_n,wr_strict_is,wr_inc_fc_is,net_is,pf_is,oos_n,wr_strict_oos,wr_inc_fc_oos,net_oos,pf_oos,robust_1to1
7,0.5,0.5,1.0,1386,33.694083694083695,33.694083694083695,-207681.15264848733,0.5188678081471032,-207920.60131473021,831,34.89771359807461,34.89771359807461,-99031.98276539796,0.5519244466306757,555,31.891891891891895,31.891891891891895,-108649.16988308937,0.48418189931524047,False
7,0.5,0.75,1.5,1386,32.97258297258297,32.97258297258297,-110062.06447765778,0.7483704622583173,-116559.95897717497,831,34.05535499398315,34.05535499398315,-45062.52118030783,0.7986710389533415,555,31.351351351351354,31.351351351351354,-64999.543297349956,0.6956549933999528,False
7,0.5,1.0,2.0,1386,31.024531024531026,31.16883116883117,-39157.43864580296,0.9129519269324856,-62025.60995115647,831,32.250300842358605,32.49097472924188,-1879.3689896533829,0.9917930582878814,555,29.18918918918919,29.18918918918919,-37278.06965614957,0.8311983266519103,False
7,0.75,0.75,1.0,1386,44.01154401154401,44.15584415584416,-104229.18804839061,0.8081015739103152,-112121.62161603717,831,44.163658243080626,44.28399518652226,-49046.25207774447,0.82561869517043,555,43.78378378378379,43.96396396396396,-55182.93597064614,0.7892888656239246,False
7,0.75,1.12,1.5,1386,38.961038961038966,39.39393939393939,-15835.869282041072,0.9733588339599296,-45144.56962219103,831,39.59085439229844,39.95186522262335,4491.697879666763,1.0146910934804723,555,38.01801801801802,38.55855855855856,-20327.567161707826,0.9295821345996577,False
7,0.75,1.5,2.0,1386,34.1991341991342,35.13708513708514,50100.842004568585,1.079000522235917,-19291.540923768778,831,34.777376654632974,35.619735258724425,34597.688126251334,1.1053279575995425,555,33.33333333333333,34.41441441441441,15503.153878317244,1.0507123181126858,False
7,1.0,1.0,1.0,1386,47.83549783549784,48.55699855699856,-45193.427960499655,0.9330197517021657,-72578.28817336351,831,48.61612515042118,49.21780986762936,-616.7477594260617,0.9981930440499148,555,46.666666666666664,47.56756756756757,-44576.680201073585,0.8663003251217216,False
7,1.0,1.5,1.5,1386,39.97113997113997,41.702741702741704,30988.871922307037,1.040587006211006,-22321.274292569116,831,40.312876052948255,41.63658243080626,23207.334863076194,1.058479038377691,555,39.45945945945946,41.8018018018018,7781.537059230849,1.0212222798698052,False
7,1.0,2.0,2.0,1386,31.313131313131315,35.4978354978355,20416.70669270147,1.0242942823345644,-47005.93287411153,831,31.28760529482551,34.777376654632974,11291.614879679619,1.0255918745933597,555,31.351351351351354,36.57657657657658,9125.091813021872,1.022860010757924,False
7,1.25,1.25,1.0,1386,50.21645021645021,51.80375180375181,45141.800666182244,1.0576045184352167,-24269.601948899028,831,50.661853188928994,52.226233453670275,36399.69554332594,1.0903679428261743,555,49.549549549549546,51.17117117117117,8742.105122856306,1.0229538328190062,True
7,1.25,1.88,1.5,1386,37.22943722943723,43.14574314574315,36734.43784960058,1.0399160916109549,-40095.23303708047,831,37.30445246690734,42.59927797833935,17666.34168962069,1.036602306698063,555,37.11711711711712,43.96396396396396,19068.09615997991,1.043570781234813,False
7,1.25,2.5,2.0,1386,28.210678210678207,39.466089466089464,85767.362206892,1.0881028338594758,-31502.418615587718,831,28.880866425992778,38.98916967509025,44762.12945884277,1.0876486425663914,555,27.207207207207208,40.18018018018018,41005.23274804924,1.0886040425638446,False
7,1.5,1.5,1.0,1386,48.917748917748916,52.38095238095239,43939.355601419746,1.047404559250734,-28363.04927405266,831,49.939831528279186,53.068592057761734,40867.39923225372,1.0857193607113642,555,47.387387387387385,51.35135135135135,3071.956369166012,1.0068243954182639,True
7,1.5,2.25,1.5,1386,33.76623376623377,44.733044733044736,48984.96447284372,1.046475127563626,-58164.38835508257,831,34.416365824308066,44.4043321299639,27869.353331288316,1.0502984306630614,555,32.79279279279279,45.22522522522522,21115.61114155542,1.0422376511946982,False
7,1.5,3.0,2.0,1386,21.71717171717172,41.41414141414141,55465.724061313755,1.0502943767408586,-60889.65684239527,831,21.179302045728036,40.19253910950662,3547.79891745246,1.0060361133304667,555,22.52252252252252,43.24324324324324,51917.92514386129,1.1007998718579142,False
7,1.75,1.75,1.0,1386,46.03174603174603,53.46320346320347,81532.11751124475,1.0799256743335803,-54240.69642900123,831,46.20938628158845,53.309265944645,37109.35551463584,1.0690267272016392,555,45.765765765765764,53.69369369369369,44422.76199660891,1.0920696732519157,True
7,1.75,2.62,1.5,1386,29.22077922077922,47.18614718614719,95364.12058763657,1.0840262933071085,-57392.39205612928,831,29.96389891696751,46.57039711191336,38034.1650829747,1.0627602511203567,555,28.10810810810811,48.10810810810811,57329.95550466186,1.1083929045864123,False
7,1.75,3.5,2.0,1386,17.604617604617605,45.093795093795094,128033.80063717066,1.110013881898665,-46256.77392347226,831,16.84717208182912,44.163658243080626,26745.08291416413,1.0427825433157956,555,18.73873873873874,46.48648648648649,101288.71772300656,1.1880394707967554,False
