N,k,mode,drift,giveback,scale_body,max_gb,min_gap,IS_pf,OOS_pf,FULL_pf,FULL_net,FULL_dd,n,robust_pf
5,1.0,pure_ratchet,0.0,0.0,True,0.5,0.0,1.2491127491127492,1.2240381480273883,1.23768573551263,63985.0,-16165.0,709,1.2240381480273883
5,1.0,pure_ratchet,0.0,0.3,True,0.5,0.0,1.2837970747802911,1.2773885712121786,1.280875599903325,81350.0,-15925.0,709,1.2773885712121786
5,1.0,pure_ratchet,0.0,0.3,True,0.5,0.3,1.2511094674556213,1.1200623262865326,1.1898357815145906,48205.0,-11940.0,709,1.1200623262865326
5,1.0,pure_ratchet,0.0,0.3,True,1.0,0.0,1.2837970747802911,1.2773885712121786,1.280875599903325,81350.0,-15925.0,709,1.2773885712121786
5,1.0,pure_ratchet,0.0,0.3,True,1.0,0.3,1.2511094674556213,1.1200623262865326,1.1898357815145906,48205.0,-11940.0,709,1.1200623262865326
5,1.0,pure_ratchet,0.0,0.3,False,0.5,0.0,1.32860507295417,1.457942930153322,1.384569313696884,125210.0,-15285.0,709,1.32860507295417
5,1.0,pure_ratchet,0.0,0.3,False,0.5,0.3,1.3440642527629352,1.1543514566709965,1.2545027682388394,72630.0,-17635.0,709,1.1543514566709965
5,1.0,pure_ratchet,0.0,0.3,False,1.0,0.0,1.32860507295417,1.457942930153322,1.384569313696884,125210.0,-15285.0,709,1.32860507295417
5,1.0,pure_ratchet,0.0,0.3,False,1.0,0.3,1.3440642527629352,1.1543514566709965,1.2545027682388394,72630.0,-17635.0,709,1.1543514566709965
5,1.0,pure_ratchet,0.0,0.5,True,0.5,0.0,1.2957394955515753,1.354717914296817,1.322509781284074,100565.0,-17220.0,709,1.2957394955515753
5,1.0,pure_ratchet,0.0,0.5,True,0.5,0.3,1.2986524263493657,1.0783663151242249,1.193859335951446,51585.0,-13915.0,709,1.0783663151242249
