year,trades,win%,PF,gross_$,max_dd
2020,20.0,60.0,0.7170459424645771,-3295.0,-7900.0
2021,258.0,55.03875968992248,1.3325909900738102,52270.0,-12825.0
2022,242.0,48.760330578512395,1.0722980241182132,19155.0,-23025.0
2023,243.0,48.559670781893004,1.3092271293375395,39210.0,-12445.0
2024,247.0,55.465587044534416,1.3772945410917816,62895.0,-35395.0
2025,256.0,53.125,1.6238713987114013,144760.0,-20420.0
2026,87.0,54.02298850574713,1.2529449075752084,27915.0,-30845.0
