force_hour,atr_len,yellow_atr_mult,yellow_drift,yellow_mode,green_atr_mult,green_base,green_decay,yellow_giveback,scale_by_body,max_giveback_atr,giveback_min_gap_atr,IS_trades,IS_win%,IS_gross_$,IS_PF,IS_maxDD_$,OOS_trades,OOS_win%,OOS_gross_$,OOS_PF,OOS_maxDD_$,FULL_trades,FULL_win%,FULL_gross_$,FULL_PF,FULL_maxDD_$,robust_PF
12,20,1.88,0.0,pure_ratchet,1.09,89.2,0.74,0.5,True,0.91,0.45,763,49.93446920052425,72075.0,1.0943649432435618,-54020.0,627,53.110047846889955,150475.0,1.1894149190604466,-43730.0,1390,51.36690647482014,222550.0,1.1428241379531643,-54020.0,1.0943649432435618
9,16,2.65,0.0,pure_ratchet,2.2,115.1,1.38,0.82,False,1.36,0.56,763,51.63826998689384,22700.0,1.0338856545753097,-64175.0,623,53.29052969502408,123115.0,1.1769516568332243,-59160.0,1386,52.38095238095239,145815.0,1.1067729404571434,-64175.0,1.0338856545753097
12,20,0.97,1.0,drift_floor,1.53,166.8,2.91,0.39,False,1.18,0.49,765,45.35947712418301,89115.0,1.1993869491771918,-31060.0,629,46.42289348171701,147270.0,1.309001258917331,-39845.0,1394,45.83931133428981,236385.0,1.255953960012777,-39845.0,1.1993869491771918
8,12,2.12,0.0,pure_ratchet,1.56,135.9,1.11,0.71,True,0.93,0.48,764,52.35602094240838,-5740.0,0.9899300895590467,-65750.0,624,58.493589743589745,163240.0,1.301066939626156,-38890.0,1388,55.11527377521613,157500.0,1.1416086745428062,-65750.0,0.9899300895590467
10,16,2.15,0.0,pure_ratchet,3.29,119.1,2.63,0.52,False,1.49,0.54,762,50.13123359580053,-9980.0,0.9872870290755071,-111025.0,623,51.84590690208668,150130.0,1.1898805420821976,-67665.0,1385,50.90252707581227,140150.0,1.0889457250203087,-111025.0,0.9872870290755071
9,30,2.72,2.21,drift_floor,3.44,104.5,0.25,0.0,False,0.51,0.33,762,50.13123359580053,30195.0,1.0462358264491283,-61245.0,623,52.32744783306581,140070.0,1.2047358035518527,-60430.0,1385,51.11913357400722,170265.0,1.1273280661673701,-61245.0,1.0462358264491283
9,30,1.19,0.0,pure_ratchet,3.75,43.4,1.22,0.33,True,1.47,0.33,764,42.93193717277487,44775.0,1.0875974527775876,-45270.0,625,45.12,119485.0,1.2228116958191921,-50070.0,1389,43.916486681065514,164260.0,1.156825678701171,-50070.0,1.0875974527775876
12,20,0.88,0.0,pure_ratchet,3.49,101.3,0.7,0.55,True,0.47,0.53,765,42.22222222222222,6675.0,1.0211344531163424,-44090.0,629,47.69475357710652,163335.0,1.5152848760174142,-17535.0,1394,44.69153515064562,170010.0,1.2686567164179106,-44090.0,1.0211344531163424
10,14,1.66,1.3,drift_floor,1.83,172.8,2.96,0.2,False,0.59,0.15,764,45.68062827225131,1920.0,1.0026223776223777,-101985.0,624,48.878205128205124,145755.0,1.195308731307284,-63410.0,1388,47.11815561959654,147675.0,1.0998856903222316,-101985.0,1.0026223776223777
12,14,1.51,1.53,drift_floor,1.77,122.7,2.57,0.23,False,0.88,0.29,765,44.575163398692816,50690.0,1.0720678452865866,-54765.0,629,46.26391096979332,106335.0,1.1405107198308613,-65555.0,1394,45.33715925394548,157025.0,1.1075410577067952,-65555.0,1.0720678452865866
11,14,0.95,0.0,pure_ratchet,2.42,125.0,0.95,0.62,True,1.17,0.44,767,42.24250325945241,71080.0,1.1823008168656468,-25370.0,626,45.68690095846645,179250.0,1.4650891258659609,-32280.0,1393,43.790380473797555,250330.0,1.3228752184595938,-32280.0,1.1823008168656468
8,7,1.07,2.59,drift_floor,2.0,137.2,0.65,0.24,False,1.23,0.13,765,46.928104575163395,52170.0,1.1179142934635204,-30285.0,625,51.68000000000001,165360.0,1.3684656178974108,-23255.0,1390,49.06474820143885,217530.0,1.2440811471914903,-30285.0,1.1179142934635204
12,16,1.49,2.79,drift_floor,3.83,46.4,1.26,0.57,False,0.25,0.52,765,40.91503267973856,59020.0,1.1000796974886813,-53480.0,628,43.47133757961784,133785.0,1.2123891697954454,-81625.0,1393,42.06748025843503,192805.0,1.1580841809229812,-81625.0,1.1000796974886813
12,12,2.71,0.0,pure_ratchet,0.68,166.2,0.05,0.31,True,1.27,0.5,762,50.13123359580053,34175.0,1.0407422419856702,-77680.0,625,52.16,144785.0,1.1686429128859794,-56685.0,1387,51.04542177361211,178960.0,1.10543556388231,-77680.0,1.0407422419856702
13,12,1.71,0.0,pure_ratchet,2.15,35.1,2.54,0.72,True,1.41,0.39,765,52.02614379084968,41310.0,1.0552272727272727,-61270.0,626,54.9520766773163,161625.0,1.2094171304184456,-41575.0,1391,53.34291876347951,202935.0,1.1335287557121567,-61270.0,1.0552272727272727
8,30,2.84,1.21,drift_floor,1.51,140.5,2.29,0.53,False,0.3,0.29,763,53.473132372214934,12935.0,1.0230874950915647,-49725.0,623,59.069020866773684,183240.0,1.3461865447469348,-33670.0,1386,55.98845598845599,196175.0,1.1800480923667134,-49725.0,1.0230874950915647
8,20,2.42,3.0,drift_floor,0.78,75.1,1.71,0.5,True,1.11,0.5,765,54.248366013071895,-1430.0,0.9974169075144509,-60125.0,623,60.67415730337079,136520.0,1.250624173887502,-35815.0,1388,57.13256484149856,135090.0,1.1229969407822857,-60125.0,0.9974169075144509
10,14,2.99,2.63,drift_floor,2.79,87.9,0.42,0.1,False,0.59,0.31,762,50.91863517060368,4300.0,1.0055413442270147,-98885.0,622,51.929260450160776,141990.0,1.1745603412772079,-67650.0,1384,51.3728323699422,146290.0,1.0920410217692211,-98885.0,1.0055413442270147
14,30,1.44,2.15,drift_floor,1.7,85.3,0.94,0.83,True,0.58,0.15,748,45.72192513368984,57150.0,1.074133648114878,-55625.0,614,48.85993485342019,138215.0,1.169950754059255,-40040.0,1362,47.136563876651984,195365.0,1.1233232544487017,-55625.0,1.074133648114878
13,12,0.83,0.0,pure_ratchet,2.32,129.0,1.18,0.26,True,0.31,0.53,767,44.71968709256845,7825.0,1.0295774115512548,-26995.0,626,48.08306709265175,128935.0,1.455560462856638,-23005.0,1393,46.231155778894475,136760.0,1.2497511801820722,-26995.0,1.0295774115512548
14,20,1.24,2.53,drift_floor,1.69,137.8,2.95,0.82,False,0.95,0.39,753,43.95750332005312,11805.0,1.0165737711822764,-91510.0,616,47.72727272727273,139805.0,1.196533376443548,-63945.0,1369,45.65376186997809,151610.0,1.106495741504961,-91510.0,1.0165737711822764
15,16,2.49,0.0,pure_ratchet,0.59,78.1,1.78,0.44,False,1.34,0.33,749,63.684913217623496,42580.0,1.0528655145013905,-73490.0,611,68.41243862520459,138175.0,1.1908942707541825,-51100.0,1360,65.80882352941177,180755.0,1.1181969174835051,-73490.0,1.0528655145013905
8,12,2.6,0.0,pure_ratchet,3.63,96.1,2.61,0.45,False,1.06,0.56,764,53.27225130890052,7210.0,1.0127937823282553,-52035.0,621,59.09822866344605,171880.0,1.3125147729958726,-40935.0,1385,55.88447653429603,179090.0,1.1608287047223058,-52035.0,1.0127937823282553
