year,trades,wins,losses,win_rate,gross_pnl_$,avg_pnl_$,best_$,worst_$,avg_pts,profit_factor
2020,20,6,12,30.0,-4240.0,-212.0,1065.0,-2690.0,-2.8625,0.4931261207411835
2021,258,94,143,36.434108527131784,34215.0,132.61627906976744,7340.0,-4040.0,2.731589147286822,1.4293781765702454
2022,244,71,158,29.098360655737704,-50085.0,-205.26639344262296,8480.0,-7160.0,-9.1875,0.6969779471821399
2023,243,96,131,39.50617283950617,10145.0,41.748971193415635,7325.0,-4260.0,2.509259259259259,1.1447528001712206
2024,249,98,131,39.3574297188755,44870.0,180.2008032128514,11680.0,-8410.0,7.437751004016064,1.4121618518348413
2025,256,103,134,40.234375,80730.0,315.3515625,15090.0,-10870.0,8.4169921875,1.535575679172057
2026,88,39,45,44.31818181818182,36225.0,411.64772727272725,11040.0,-6920.0,11.721590909090908,1.4866335303600215
