cushion_pts,trades,win%,PF,gross,avg_$/tr,MaxDD,TP_hits,SL_hits,Force_hits,Pre_PF,Pre_gross,F1_PF,F1_gross,F2_PF,F2_gross,F3_PF,F3_gross,F4_PF,F4_gross,min_fold_PF
1.0,1359,42.89919058130979,1.2742735423066562,172540.9787376353,126.9617209254123,-39526.47172143999,217,1138,4,1.0736279117028193,16689.265121918033,0.9513637194424104,-3852.466706257401,1.4480961466810909,45065.007287455555,1.5313330736080808,78695.7025226239,1.482309892748353,35943.47051189521,0.9513637194424104
1.5,1359,42.457689477557025,1.2482334378334465,159817.8924942737,117.59962655943612,-46021.498756507826,220,1134,5,1.0361244704139934,8472.453384389191,0.928929410963999,-5769.42417621678,1.4711174700443874,48070.15317071931,1.4913271594730197,74121.23960348676,1.4643238664296114,34923.47051189521,0.928929410963999
2.0,1358,42.19440353460972,1.217549371706089,142588.6401084016,104.99899860707039,-56884.19014056348,220,1133,5,0.9953673516949213,-1114.4699058312835,0.8830846946776223,-9826.325587334686,1.470758122365749,48084.7254861856,1.4682961161765336,71541.23960348676,1.4466648432523488,33903.47051189521,0.8830846946776223
2.5,1358,42.19440353460972,1.2188523170390904,143973.2435449881,106.01858876655972,-61185.21173836143,224,1126,8,0.9852034226946589,-3600.580792338369,0.8609770874551578,-11877.34718513264,1.5089838483485654,52330.67286468664,1.472134675333859,71910.42093287593,1.4760734800110422,35210.077724896546,0.8609770874551578
3.0,1358,42.047128129602356,1.2243846136128167,148372.44095181164,109.25805666554614,-58832.48232005779,226,1124,8,1.0167457301476905,4068.088414552876,0.8346658170093676,-14453.629834306303,1.507308683563753,52760.53555728991,1.4715821959152582,71797.36908937863,1.4582044840391295,34200.077724896546,0.8346658170093676
3.5,1358,42.56259204712813,1.2356006548965388,156700.10259929387,115.3903553750323,-57630.29949984382,234,1115,9,1.0215809082680094,5295.0757403021635,0.8546843028812254,-12850.197652951756,1.475546331588064,50940.255465634546,1.4881588736220688,73992.58802973134,1.541437344890793,39322.381016577565,0.8546843028812254
4.0,1358,42.56259204712813,1.2398206273337524,160114.6024332758,117.90471460476864,-53307.85329996739,239,1109,10,1.0406014398248442,9951.7527379698,0.8522466481382628,-13432.504162311307,1.4620578608829122,49677.05803631012,1.5010742521785103,75575.91480472962,1.5232118157823866,38342.381016577565,0.8522466481382628
4.5,1358,42.70986745213549,1.2545687967902752,170827.5887079719,125.79351156698962,-50351.315475859665,247,1098,13,1.0418783224910844,10423.882641163545,0.9235386356296655,-6836.157196413551,1.4398692199362926,47845.35492119081,1.546819294371567,82032.12732545355,1.5052882130969296,37362.381016577565,0.9235386356296655
5.0,1358,42.857142857142854,1.2651582085601725,178746.36832303207,131.62471894184984,-52491.42932722276,252,1092,14,1.0244277728581628,6172.860614419878,0.9825610776163356,-1556.2832716724733,1.4328967273750939,47481.702289557215,1.6103762317718187,90265.70767414989,1.4876817457378693,36382.381016577565,0.9825610776163356
5.5,1358,42.78350515463917,1.2772991078338527,188216.2083399206,138.5980915610608,-46481.71936613151,258,1085,15,1.0377019569054595,9610.528845009903,0.9651819700802299,-3157.221024681603,1.4177361205268642,46117.72160487468,1.663878421205706,98848.17483914281,1.4981447930677394,36797.004075574805,0.9651819700802299
6.0,1358,43.15169366715759,1.2944951584075381,200145.63282537222,147.38264567405906,-45770.09073440044,266,1074,18,1.0878282460243458,22143.02343036925,0.899953878543852,-9366.763822341927,1.4662741625341467,51055.01400317749,1.670620572221317,100497.35513859261,1.4805839569437904,35817.004075574805,0.899953878543852
6.5,1358,42.930780559646536,1.3074551594507524,208984.95134059573,153.89171674565222,-45524.679745119065,271,1066,21,1.0824410958063482,20854.86883457801,0.9753962345296613,-2321.8417891357967,1.506380507133385,54122.2898210126,1.6519342581423704,98850.9991240724,1.5072853187176405,37478.63535006851,0.9753962345296613
7.0,1358,43.004418262150224,1.3061433444198893,210326.71639187075,154.8797617024085,-41719.05307866076,276,1060,22,1.0807328401876357,20710.435348668725,1.0188370263740156,1772.6423847617116,1.4774214709793239,51775.26149271842,1.649032113914659,99559.7418156534,1.4897806950835872,36508.63535006851,1.0188370263740156
7.5,1358,42.857142857142854,1.288154857933612,200874.82804071368,147.91960827740328,-42649.05307866076,280,1055,23,1.0608015910783692,15811.962791164624,0.990066895465257,-959.3006788899947,1.4667132247020647,51381.42273332138,1.6319752380250396,98061.86012192644,1.4863346541479796,36578.883073191246,0.990066895465257
8.0,1358,42.930780559646536,1.2916919949109567,203993.75730082273,150.2163161272627,-38676.74612995608,288,1046,24,1.0665592605689094,17308.180967823973,0.9431054901984101,-5639.914907413622,1.4880330222981972,53769.12905140627,1.6679617355835976,102937.47911581486,1.4693278056218202,35618.883073191246,0.9431054901984101
8.5,1358,42.78350515463917,1.2797278166810926,197869.41893347353,145.70649405999524,-41558.67185169798,292,1042,24,1.0656194368580658,17149.48724845308,0.9287468808006183,-7199.631915635218,1.465504908795352,52481.26309678366,1.647495740264711,100779.41743068077,1.4525369106839616,34658.883073191246,0.9287468808006183
9.0,1358,43.004418262150224,1.295499712576825,208513.8392348803,153.54480061478665,-40579.03090720691,297,1034,27,1.0664402184490684,17390.800790130743,0.9582514099329815,-4244.555116988995,1.4422391737715972,50508.52582942702,1.7375674374150616,111160.18465912028,1.4360171877931285,33698.883073191246,0.9582514099329815
9.5,1358,43.004418262150224,1.2940769405327757,210481.64075529965,154.993844444256,-39292.35858219257,303,1025,30,1.0913782104767353,24415.85628523866,0.953515516009981,-4752.752048318107,1.4247665361134063,49223.29609071283,1.7142068887921165,108856.35735447504,1.4197384378657554,32738.883073191246,0.953515516009981
10.0,1358,43.22533136966127,1.294609737691306,212079.05687676818,156.17014497552884,-37255.20382328075,307,1019,32,1.090643742247962,24314.686188911583,1.0211644762215302,2132.0410471647847,1.4074778816948286,48175.25431022252,1.7120816960257719,108897.31243540431,1.358219087859471,28559.762895064996,1.0211644762215302
