qqq_gamma_sign,trades,wins,losses,win_rate_%,gross_pnl_$,avg_pnl_$,median_pnl_$,avg_pts,profit_factor
-1.0,1107.0,417.0,609.0,37.669376693766935,140110.0,126.5672990063234,-105.0,3.1257904245709125,1.246180607413004
0.0,1.0,1.0,0.0,100.0,630.0,630.0,630.0,15.75,inf
1.0,246.0,88.0,142.0,35.77235772357724,11970.0,48.65853658536585,-117.5,2.4715447154471546,1.1377128393925449
,4.0,1.0,3.0,25.0,-850.0,-212.5,-427.5,-7.5625,0.39501779359430605
