yellow_suppress,yellow_atr_mult,green_atr_mult,n_all,all_net,all_PF,all_mdd,is_net,is_PF,is_mdd,oos_net,oos_PF,oos_mdd
32,1.3,1.0,1353,300295.0,1.279,-34010.0,104665.0,1.178,-27545.0,195630.0,1.402,-34010.0
32,1.3,1.25,1353,294420.0,1.273,-34390.0,98775.0,1.168,-30540.0,195645.0,1.4,-34390.0
32,1.3,1.5,1353,312025.0,1.29,-33735.0,105185.0,1.179,-31075.0,206840.0,1.423,-33735.0
32,1.4,0.75,1353,288695.0,1.267,-34745.0,106510.0,1.18,-29290.0,182185.0,1.372,-34745.0
32,1.4,1.0,1353,307145.0,1.284,-34525.0,108455.0,1.183,-29455.0,198690.0,1.406,-34525.0
32,1.4,1.25,1353,304820.0,1.281,-34685.0,102565.0,1.173,-31975.0,202255.0,1.412,-34685.0
32,1.4,1.5,1353,322265.0,1.297,-34105.0,108925.0,1.184,-32190.0,213340.0,1.435,-34105.0
32,1.5,0.75,1353,283325.0,1.26,-37210.0,101670.0,1.171,-28015.0,181655.0,1.367,-37210.0
32,1.5,1.0,1353,301085.0,1.276,-36985.0,102500.0,1.172,-28180.0,198585.0,1.402,-36985.0
32,1.5,1.25,1353,300465.0,1.275,-35845.0,96040.0,1.161,-30915.0,204425.0,1.412,-35845.0
32,1.5,1.5,1353,316015.0,1.289,-35195.0,100675.0,1.169,-33500.0,215340.0,1.434,-35195.0
35,1.2,0.75,1353,298375.0,1.269,-25995.0,108505.0,1.179,-24250.0,189870.0,1.377,-25995.0
35,1.2,1.0,1353,314740.0,1.284,-25915.0,109285.0,1.18,-23770.0,205455.0,1.408,-25915.0
35,1.2,1.25,1353,313755.0,1.282,-33795.0,106385.0,1.176,-24730.0,207370.0,1.41,-33795.0
35,1.2,1.5,1353,333410.0,1.3,-33795.0,111420.0,1.184,-27220.0,221990.0,1.439,-33795.0
35,1.3,0.75,1353,285255.0,1.256,-31985.0,104905.0,1.173,-24290.0,180350.0,1.356,-31985.0
35,1.3,1.0,1353,301620.0,1.271,-31905.0,105685.0,1.174,-24210.0,195935.0,1.387,-31905.0
35,1.3,1.25,1353,299015.0,1.268,-33795.0,102785.0,1.169,-24760.0,196230.0,1.387,-33795.0
35,1.3,1.5,1353,317855.0,1.285,-33795.0,107820.0,1.178,-27250.0,210035.0,1.414,-33795.0
35,1.4,0.75,1353,291215.0,1.262,-32645.0,106285.0,1.175,-23865.0,184930.0,1.367,-32645.0
35,1.4,1.0,1353,308320.0,1.277,-32565.0,107805.0,1.177,-23785.0,200515.0,1.399,-32565.0
35,1.4,1.25,1353,309265.0,1.278,-33795.0,104905.0,1.172,-23870.0,204360.0,1.405,-33795.0
35,1.4,1.5,1353,328710.0,1.295,-33795.0,109890.0,1.18,-26135.0,218820.0,1.434,-33795.0
35,1.5,0.75,1353,288135.0,1.258,-32005.0,102050.0,1.167,-25685.0,186085.0,1.369,-32005.0
35,1.5,1.0,1353,304920.0,1.273,-31925.0,102455.0,1.167,-23540.0,202465.0,1.402,-31925.0
35,1.5,1.25,1353,307515.0,1.275,-33795.0,99555.0,1.163,-23530.0,207960.0,1.411,-33795.0
35,1.5,1.5,1353,327285.0,1.293,-33795.0,104865.0,1.171,-25795.0,222420.0,1.44,-33795.0
