green_base,green_decay,green_atr_mult,n_all,all_net,all_PF,all_mdd,all_worst,is_net,is_PF,is_mdd,oos_net,oos_PF,oos_mdd,oos_worst
120.0,1.5,1.25,1368,201715.0,1.27,-43140.0,-10870.0,47880.0,1.125,-43140.0,153835.0,1.424,-22165.0,-10870.0
120.0,1.5,1.5,1368,221570.0,1.297,-42180.0,-10870.0,45950.0,1.12,-42180.0,175620.0,1.484,-21950.0,-10870.0
120.0,1.5,1.75,1368,226755.0,1.304,-40670.0,-10870.0,47410.0,1.124,-40670.0,179345.0,1.494,-21950.0,-10870.0
120.0,2.0,1.0,1368,210190.0,1.282,-37995.0,-10870.0,48715.0,1.127,-37995.0,161475.0,1.446,-21465.0,-10870.0
120.0,2.0,1.25,1368,207565.0,1.278,-38485.0,-10870.0,49465.0,1.129,-38485.0,158100.0,1.436,-22990.0,-10870.0
120.0,2.0,1.5,1368,207090.0,1.277,-39615.0,-10870.0,46715.0,1.122,-39615.0,160375.0,1.442,-22135.0,-10870.0
120.0,2.0,1.75,1368,221165.0,1.296,-41540.0,-10870.0,48795.0,1.127,-41540.0,172370.0,1.475,-22650.0,-10870.0
120.0,2.5,1.0,1368,214895.0,1.288,-36445.0,-10870.0,52320.0,1.136,-36445.0,162575.0,1.45,-21600.0,-10870.0
120.0,2.5,1.25,1368,217090.0,1.291,-37425.0,-10870.0,49175.0,1.128,-37425.0,167915.0,1.464,-21465.0,-10870.0
120.0,2.5,1.5,1368,203065.0,1.272,-35755.0,-10870.0,50880.0,1.133,-35755.0,152185.0,1.419,-22990.0,-10870.0
120.0,2.5,1.75,1368,213880.0,1.286,-36510.0,-10870.0,51680.0,1.135,-36510.0,162200.0,1.447,-22135.0,-10870.0
140.0,1.0,1.0,1368,222205.0,1.298,-39355.0,-10870.0,47980.0,1.125,-39355.0,174225.0,1.48,-21710.0,-10870.0
140.0,1.0,1.25,1368,210460.0,1.282,-38615.0,-10870.0,47660.0,1.124,-38615.0,162800.0,1.449,-21450.0,-10870.0
140.0,1.0,1.5,1368,226300.0,1.303,-42550.0,-10870.0,47290.0,1.123,-42550.0,179010.0,1.493,-20870.0,-10870.0
140.0,1.0,1.75,1368,228105.0,1.306,-43505.0,-10870.0,47685.0,1.124,-43505.0,180420.0,1.497,-20870.0,-10870.0
140.0,1.5,1.0,1368,220760.0,1.296,-42170.0,-10870.0,48740.0,1.127,-42170.0,172020.0,1.474,-21710.0,-10870.0
140.0,1.5,1.25,1368,214860.0,1.288,-39970.0,-10870.0,47705.0,1.124,-39970.0,167155.0,1.461,-21710.0,-10870.0
140.0,1.5,1.5,1368,226650.0,1.304,-38285.0,-10870.0,49500.0,1.129,-38285.0,177150.0,1.488,-21710.0,-10870.0
140.0,1.5,1.75,1368,225590.0,1.302,-39850.0,-10870.0,48160.0,1.126,-39850.0,177430.0,1.489,-21450.0,-10870.0
140.0,2.0,1.0,1368,207605.0,1.278,-41760.0,-10870.0,46160.0,1.12,-41760.0,161445.0,1.445,-21465.0,-10870.0
140.0,2.0,1.25,1368,210075.0,1.281,-44070.0,-10870.0,44540.0,1.116,-44070.0,165535.0,1.456,-21950.0,-10870.0
140.0,2.0,1.5,1368,227575.0,1.305,-39970.0,-10870.0,52865.0,1.138,-39970.0,174710.0,1.481,-21710.0,-10870.0
140.0,2.0,1.75,1368,230855.0,1.309,-38285.0,-10870.0,50865.0,1.133,-38285.0,179990.0,1.496,-21710.0,-10870.0
140.0,2.5,1.0,1368,208060.0,1.279,-37160.0,-10870.0,50370.0,1.131,-37160.0,157690.0,1.434,-22860.0,-10870.0
140.0,2.5,1.25,1368,208920.0,1.28,-35770.0,-10870.0,52715.0,1.137,-35770.0,156205.0,1.43,-22165.0,-10870.0
140.0,2.5,1.5,1368,217305.0,1.291,-41940.0,-10870.0,45695.0,1.119,-41940.0,171610.0,1.473,-21950.0,-10870.0
140.0,2.5,1.75,1368,222455.0,1.298,-41740.0,-10870.0,47605.0,1.124,-41740.0,174850.0,1.482,-21950.0,-10870.0
160.0,1.0,1.0,1368,213410.0,1.286,-43670.0,-10870.0,47605.0,1.124,-43670.0,165805.0,1.457,-20870.0,-10870.0
160.0,1.0,1.25,1367,231035.0,1.31,-45195.0,-10870.0,45935.0,1.12,-45195.0,185100.0,1.51,-20540.0,-10870.0
160.0,1.0,1.5,1366,238970.0,1.322,-43190.0,-10870.0,48755.0,1.127,-43190.0,190215.0,1.529,-20540.0,-10870.0
160.0,1.0,1.75,1366,229710.0,1.309,-42215.0,-10870.0,50380.0,1.132,-42215.0,179330.0,1.498,-20540.0,-10870.0
160.0,1.5,1.0,1368,212990.0,1.285,-39480.0,-10870.0,48040.0,1.125,-39480.0,164950.0,1.454,-20870.0,-10870.0
160.0,1.5,1.25,1368,217915.0,1.292,-42550.0,-10870.0,47380.0,1.123,-42550.0,170535.0,1.47,-20870.0,-10870.0
160.0,1.5,1.5,1367,228610.0,1.307,-44660.0,-10870.0,45700.0,1.119,-44660.0,182910.0,1.504,-20870.0,-10870.0
160.0,1.5,1.75,1367,226110.0,1.303,-43635.0,-10870.0,48175.0,1.126,-43635.0,177935.0,1.49,-20540.0,-10870.0
160.0,2.0,1.0,1368,218305.0,1.292,-39355.0,-10870.0,49050.0,1.128,-39355.0,169255.0,1.466,-21710.0,-10870.0
160.0,2.0,1.25,1368,222200.0,1.298,-39355.0,-10870.0,48990.0,1.128,-39355.0,173210.0,1.477,-21450.0,-10870.0
160.0,2.0,1.5,1368,227830.0,1.305,-39850.0,-10870.0,48185.0,1.126,-39850.0,179645.0,1.495,-20870.0,-10870.0
160.0,2.0,1.75,1367,221915.0,1.298,-42735.0,-10870.0,47775.0,1.125,-42735.0,174140.0,1.48,-20870.0,-10870.0
160.0,2.5,1.0,1368,216325.0,1.29,-44425.0,-10870.0,44675.0,1.116,-44425.0,171650.0,1.473,-21710.0,-10870.0
160.0,2.5,1.25,1368,219375.0,1.294,-39970.0,-10870.0,50895.0,1.133,-39970.0,168480.0,1.464,-21710.0,-10870.0
160.0,2.5,1.5,1368,230355.0,1.309,-39355.0,-10870.0,50370.0,1.131,-39355.0,179985.0,1.496,-21450.0,-10870.0
160.0,2.5,1.75,1368,229860.0,1.308,-38380.0,-10870.0,48860.0,1.127,-38380.0,181000.0,1.499,-21450.0,-10870.0
180.0,1.0,1.0,1366,235155.0,1.317,-41310.0,-10870.0,51450.0,1.134,-41310.0,183705.0,1.511,-20540.0,-10870.0
180.0,1.0,1.25,1366,243640.0,1.328,-42015.0,-10870.0,50185.0,1.131,-42015.0,193455.0,1.538,-20540.0,-10870.0
180.0,1.0,1.5,1366,239255.0,1.322,-42255.0,-10870.0,50790.0,1.133,-42255.0,188465.0,1.524,-21860.0,-10870.0
180.0,1.0,1.75,1366,222465.0,1.3,-43025.0,-10870.0,51480.0,1.134,-43025.0,170985.0,1.475,-21860.0,-10870.0
180.0,1.5,1.0,1367,223580.0,1.3,-45195.0,-10870.0,46080.0,1.12,-45195.0,177500.0,1.489,-20540.0,-10870.0
180.0,1.5,1.25,1366,237145.0,1.319,-43190.0,-10870.0,48680.0,1.127,-43190.0,188465.0,1.524,-20540.0,-10870.0
180.0,1.5,1.5,1366,235685.0,1.317,-42215.0,-10870.0,48950.0,1.128,-42215.0,186735.0,1.519,-20540.0,-10870.0
