window,range,h19_n,h19_win%,h19_total_$,h19_PF,h19_maxDD_$,h20_n,h20_win%,h20_total_$,h20_PF,h20_maxDD_$,spread_total_$,spread_maxDD_$
W1 2023,2022-12-01 -> 2023-11-30,244,38.52459016393443,460.0,1.006087071589255,-14115.0,245,37.142857142857146,6770.0,1.0931800977221113,-11980.0,6310.0,2135.0
W2 2024,2023-12-01 -> 2024-11-30,244,39.34426229508197,37815.0,1.350301065308013,-17790.0,244,40.98360655737705,47265.0,1.513415164023463,-23745.0,9450.0,-5955.0
W3 2025,2024-12-01 -> 2025-11-30,256,41.40625,84175.0,1.5661487758945387,-17535.0,256,41.015625,90645.0,1.7020485613600278,-14255.0,6470.0,3280.0
W4 2026-YTD,2025-12-01 -> 2026-05-31,109,42.201834862385326,41435.0,1.4939794945159752,-15835.0,109,37.61467889908257,15285.0,1.1766235266928589,-21930.0,-26150.0,-6095.0
