giveback,scale_body,max_gb_atr,min_gap_atr,IS_PF,IS_gross,IS_td,OOS_PF,OOS_gross,OOS_td,FULL_PF,FULL_gross,FULL_td,robust_PF
0.0,True,0.25,0.0,1.100507989286044,27205.0,765,1.3499196642292683,106715.0,620,1.2326433826403427,133920.0,1385,1.100507989286044
0.1,True,0.25,0.0,1.0728819895679418,20470.0,765,1.3392307814915763,106415.0,620,1.2134099165769645,126885.0,1385,1.0728819895679418
0.1,True,0.25,0.1,1.0670086096354643,18290.0,765,1.3635711425520556,108955.0,620,1.2222115502156716,127245.0,1385,1.0670086096354643
0.1,True,0.25,0.2,1.0581014888385512,15005.0,765,1.358272832810632,103385.0,620,1.2165063457810614,118390.0,1385,1.0581014888385512
0.1,True,0.25,0.3,1.0045108598453987,1135.0,765,1.3793946639134924,104730.0,620,1.2006310882007354,105865.0,1385,1.0045108598453987
0.1,True,0.25,0.5,1.0023581232898044,530.0,765,1.3484195110044344,85645.0,620,1.1831309170890312,86175.0,1385,1.0023581232898044
0.1,True,0.5,0.0,1.0728819895679418,20470.0,765,1.3392307814915763,106415.0,620,1.2134099165769645,126885.0,1385,1.0728819895679418
0.1,True,0.5,0.1,1.0670086096354643,18290.0,765,1.3635711425520556,108955.0,620,1.2222115502156716,127245.0,1385,1.0670086096354643
0.1,True,0.5,0.2,1.0581014888385512,15005.0,765,1.358272832810632,103385.0,620,1.2165063457810614,118390.0,1385,1.0581014888385512
0.1,True,0.5,0.3,1.0045108598453987,1135.0,765,1.3793946639134924,104730.0,620,1.2006310882007354,105865.0,1385,1.0045108598453987
0.1,True,0.5,0.5,1.0023581232898044,530.0,765,1.3484195110044344,85645.0,620,1.1831309170890312,86175.0,1385,1.0023581232898044
0.1,True,0.75,0.0,1.0728819895679418,20470.0,765,1.3392307814915763,106415.0,620,1.2134099165769645,126885.0,1385,1.0728819895679418
0.1,True,0.75,0.1,1.0670086096354643,18290.0,765,1.3635711425520556,108955.0,620,1.2222115502156716,127245.0,1385,1.0670086096354643
0.1,True,0.75,0.2,1.0581014888385512,15005.0,765,1.358272832810632,103385.0,620,1.2165063457810614,118390.0,1385,1.0581014888385512
0.1,True,0.75,0.3,1.0045108598453987,1135.0,765,1.3793946639134924,104730.0,620,1.2006310882007354,105865.0,1385,1.0045108598453987
0.1,True,0.75,0.5,1.0023581232898044,530.0,765,1.3484195110044344,85645.0,620,1.1831309170890312,86175.0,1385,1.0023581232898044
0.1,True,1.0,0.0,1.0728819895679418,20470.0,765,1.3392307814915763,106415.0,620,1.2134099165769645,126885.0,1385,1.0728819895679418
0.1,True,1.0,0.1,1.0670086096354643,18290.0,765,1.3635711425520556,108955.0,620,1.2222115502156716,127245.0,1385,1.0670086096354643
0.1,True,1.0,0.2,1.0581014888385512,15005.0,765,1.358272832810632,103385.0,620,1.2165063457810614,118390.0,1385,1.0581014888385512
0.1,True,1.0,0.3,1.0045108598453987,1135.0,765,1.3793946639134924,104730.0,620,1.2006310882007354,105865.0,1385,1.0045108598453987
0.1,True,1.0,0.5,1.0023581232898044,530.0,765,1.3484195110044344,85645.0,620,1.1831309170890312,86175.0,1385,1.0023581232898044
0.1,True,1.5,0.0,1.0728819895679418,20470.0,765,1.3392307814915763,106415.0,620,1.2134099165769645,126885.0,1385,1.0728819895679418
0.1,True,1.5,0.1,1.0670086096354643,18290.0,765,1.3635711425520556,108955.0,620,1.2222115502156716,127245.0,1385,1.0670086096354643
0.1,True,1.5,0.2,1.0581014888385512,15005.0,765,1.358272832810632,103385.0,620,1.2165063457810614,118390.0,1385,1.0581014888385512
0.1,True,1.5,0.3,1.0045108598453987,1135.0,765,1.3793946639134924,104730.0,620,1.2006310882007354,105865.0,1385,1.0045108598453987
0.1,True,1.5,0.5,1.0023581232898044,530.0,765,1.3484195110044344,85645.0,620,1.1831309170890312,86175.0,1385,1.0023581232898044
0.1,False,0.25,0.0,1.0659916773157705,20140.0,765,1.2966332218506131,99780.0,620,1.1869179272560069,119920.0,1385,1.0659916773157705
0.1,False,0.25,0.1,1.0671255269723823,19505.0,765,1.332558937258326,106645.0,620,1.2063786799289986,126150.0,1385,1.0671255269723823
0.1,False,0.25,0.2,1.0784549202366016,21885.0,765,1.3888888888888888,118335.0,620,1.2404156093546397,140220.0,1385,1.0784549202366016
0.1,False,0.25,0.3,1.0620234331411569,16675.0,765,1.3733534186961251,111530.0,620,1.2258820420208782,128205.0,1385,1.0620234331411569
0.1,False,0.25,0.5,1.0623094314575512,15020.0,765,1.3360735189948925,90145.0,620,1.2064953807789351,105165.0,1385,1.0623094314575512
0.1,False,0.5,0.0,1.0659916773157705,20140.0,765,1.2966332218506131,99780.0,620,1.1869179272560069,119920.0,1385,1.0659916773157705
0.1,False,0.5,0.1,1.0671255269723823,19505.0,765,1.332558937258326,106645.0,620,1.2063786799289986,126150.0,1385,1.0671255269723823
0.1,False,0.5,0.2,1.0784549202366016,21885.0,765,1.3888888888888888,118335.0,620,1.2404156093546397,140220.0,1385,1.0784549202366016
0.1,False,0.5,0.3,1.0620234331411569,16675.0,765,1.3733534186961251,111530.0,620,1.2258820420208782,128205.0,1385,1.0620234331411569
0.1,False,0.5,0.5,1.0623094314575512,15020.0,765,1.3360735189948925,90145.0,620,1.2064953807789351,105165.0,1385,1.0623094314575512
0.1,False,0.75,0.0,1.0659916773157705,20140.0,765,1.2966332218506131,99780.0,620,1.1869179272560069,119920.0,1385,1.0659916773157705
0.1,False,0.75,0.1,1.0671255269723823,19505.0,765,1.332558937258326,106645.0,620,1.2063786799289986,126150.0,1385,1.0671255269723823
0.1,False,0.75,0.2,1.0784549202366016,21885.0,765,1.3888888888888888,118335.0,620,1.2404156093546397,140220.0,1385,1.0784549202366016
0.1,False,0.75,0.3,1.0620234331411569,16675.0,765,1.3733534186961251,111530.0,620,1.2258820420208782,128205.0,1385,1.0620234331411569
0.1,False,0.75,0.5,1.0623094314575512,15020.0,765,1.3360735189948925,90145.0,620,1.2064953807789351,105165.0,1385,1.0623094314575512
0.1,False,1.0,0.0,1.0659916773157705,20140.0,765,1.2966332218506131,99780.0,620,1.1869179272560069,119920.0,1385,1.0659916773157705
0.1,False,1.0,0.1,1.0671255269723823,19505.0,765,1.332558937258326,106645.0,620,1.2063786799289986,126150.0,1385,1.0671255269723823
0.1,False,1.0,0.2,1.0784549202366016,21885.0,765,1.3888888888888888,118335.0,620,1.2404156093546397,140220.0,1385,1.0784549202366016
0.1,False,1.0,0.3,1.0620234331411569,16675.0,765,1.3733534186961251,111530.0,620,1.2258820420208782,128205.0,1385,1.0620234331411569
0.1,False,1.0,0.5,1.0623094314575512,15020.0,765,1.3360735189948925,90145.0,620,1.2064953807789351,105165.0,1385,1.0623094314575512
0.1,False,1.5,0.0,1.0659916773157705,20140.0,765,1.2966332218506131,99780.0,620,1.1869179272560069,119920.0,1385,1.0659916773157705
0.1,False,1.5,0.1,1.0671255269723823,19505.0,765,1.332558937258326,106645.0,620,1.2063786799289986,126150.0,1385,1.0671255269723823
0.1,False,1.5,0.2,1.0784549202366016,21885.0,765,1.3888888888888888,118335.0,620,1.2404156093546397,140220.0,1385,1.0784549202366016
0.1,False,1.5,0.3,1.0620234331411569,16675.0,765,1.3733534186961251,111530.0,620,1.2258820420208782,128205.0,1385,1.0620234331411569
0.1,False,1.5,0.5,1.0623094314575512,15020.0,765,1.3360735189948925,90145.0,620,1.2064953807789351,105165.0,1385,1.0623094314575512
0.15,True,0.25,0.0,1.0752915124044151,21760.0,765,1.3778227219161066,118625.0,620,1.2328186672858137,140385.0,1385,1.0752915124044151
0.15,True,0.25,0.1,1.081413238248656,22490.0,765,1.3635071554597138,111255.0,620,1.229682039481028,133745.0,1385,1.081413238248656
0.15,True,0.25,0.2,1.0872706422018348,22830.0,765,1.366015829353494,108445.0,620,1.2353083520797297,131275.0,1385,1.0872706422018348
0.15,True,0.25,0.3,1.0471210410600749,11895.0,765,1.3640390510108258,102730.0,620,1.2144006135084078,114625.0,1385,1.0471210410600749
0.15,True,0.25,0.5,1.02601130345779,5845.0,765,1.3361544407666541,84800.0,620,1.1900414067823262,90645.0,1385,1.02601130345779
0.15,True,0.5,0.0,1.0752915124044151,21760.0,765,1.3778227219161066,118625.0,620,1.2328186672858137,140385.0,1385,1.0752915124044151
0.15,True,0.5,0.1,1.081413238248656,22490.0,765,1.3635071554597138,111255.0,620,1.229682039481028,133745.0,1385,1.081413238248656
0.15,True,0.5,0.2,1.0872706422018348,22830.0,765,1.366015829353494,108445.0,620,1.2353083520797297,131275.0,1385,1.0872706422018348
0.15,True,0.5,0.3,1.0471210410600749,11895.0,765,1.3640390510108258,102730.0,620,1.2144006135084078,114625.0,1385,1.0471210410600749
0.15,True,0.5,0.5,1.02601130345779,5845.0,765,1.3361544407666541,84800.0,620,1.1900414067823262,90645.0,1385,1.02601130345779
0.15,True,0.75,0.0,1.0752915124044151,21760.0,765,1.3778227219161066,118625.0,620,1.2328186672858137,140385.0,1385,1.0752915124044151
0.15,True,0.75,0.1,1.081413238248656,22490.0,765,1.3635071554597138,111255.0,620,1.229682039481028,133745.0,1385,1.081413238248656
0.15,True,0.75,0.2,1.0872706422018348,22830.0,765,1.366015829353494,108445.0,620,1.2353083520797297,131275.0,1385,1.0872706422018348
0.15,True,0.75,0.3,1.0471210410600749,11895.0,765,1.3640390510108258,102730.0,620,1.2144006135084078,114625.0,1385,1.0471210410600749
0.15,True,0.75,0.5,1.02601130345779,5845.0,765,1.3361544407666541,84800.0,620,1.1900414067823262,90645.0,1385,1.02601130345779
0.15,True,1.0,0.0,1.0752915124044151,21760.0,765,1.3778227219161066,118625.0,620,1.2328186672858137,140385.0,1385,1.0752915124044151
0.15,True,1.0,0.1,1.081413238248656,22490.0,765,1.3635071554597138,111255.0,620,1.229682039481028,133745.0,1385,1.081413238248656
0.15,True,1.0,0.2,1.0872706422018348,22830.0,765,1.366015829353494,108445.0,620,1.2353083520797297,131275.0,1385,1.0872706422018348
0.15,True,1.0,0.3,1.0471210410600749,11895.0,765,1.3640390510108258,102730.0,620,1.2144006135084078,114625.0,1385,1.0471210410600749
0.15,True,1.0,0.5,1.02601130345779,5845.0,765,1.3361544407666541,84800.0,620,1.1900414067823262,90645.0,1385,1.02601130345779
0.15,True,1.5,0.0,1.0752915124044151,21760.0,765,1.3778227219161066,118625.0,620,1.2328186672858137,140385.0,1385,1.0752915124044151
0.15,True,1.5,0.1,1.081413238248656,22490.0,765,1.3635071554597138,111255.0,620,1.229682039481028,133745.0,1385,1.081413238248656
0.15,True,1.5,0.2,1.0872706422018348,22830.0,765,1.366015829353494,108445.0,620,1.2353083520797297,131275.0,1385,1.0872706422018348
0.15,True,1.5,0.3,1.0471210410600749,11895.0,765,1.3640390510108258,102730.0,620,1.2144006135084078,114625.0,1385,1.0471210410600749
0.15,True,1.5,0.5,1.02601130345779,5845.0,765,1.3361544407666541,84800.0,620,1.1900414067823262,90645.0,1385,1.02601130345779
0.15,False,0.25,0.0,1.039978226684408,13220.0,765,1.2359382092796127,85760.0,620,1.1425885776436437,98980.0,1385,1.039978226684408
0.15,False,0.25,0.1,1.0776599984059934,24360.0,765,1.2789990985489545,95945.0,620,1.1829552971949542,120305.0,1385,1.0776599984059934
0.15,False,0.25,0.2,1.0662952646239554,19635.0,765,1.2874079768205067,97210.0,620,1.1841804525500272,116845.0,1385,1.0662952646239554
0.15,False,0.25,0.3,1.063496197520575,18285.0,765,1.300779204779944,97660.0,620,1.1892485228348513,115945.0,1385,1.063496197520575
0.15,False,0.25,0.5,1.0441683259304642,11535.0,765,1.3312270902426253,94880.0,620,1.1943262540859372,106415.0,1385,1.0441683259304642
0.15,False,0.5,0.0,1.039978226684408,13220.0,765,1.2359382092796127,85760.0,620,1.1425885776436437,98980.0,1385,1.039978226684408
0.15,False,0.5,0.1,1.0776599984059934,24360.0,765,1.2789990985489545,95945.0,620,1.1829552971949542,120305.0,1385,1.0776599984059934
0.15,False,0.5,0.2,1.0662952646239554,19635.0,765,1.2874079768205067,97210.0,620,1.1841804525500272,116845.0,1385,1.0662952646239554
0.15,False,0.5,0.3,1.063496197520575,18285.0,765,1.300779204779944,97660.0,620,1.1892485228348513,115945.0,1385,1.063496197520575
0.15,False,0.5,0.5,1.0441683259304642,11535.0,765,1.3312270902426253,94880.0,620,1.1943262540859372,106415.0,1385,1.0441683259304642
0.15,False,0.75,0.0,1.039978226684408,13220.0,765,1.2359382092796127,85760.0,620,1.1425885776436437,98980.0,1385,1.039978226684408
0.15,False,0.75,0.1,1.0776599984059934,24360.0,765,1.2789990985489545,95945.0,620,1.1829552971949542,120305.0,1385,1.0776599984059934
0.15,False,0.75,0.2,1.0662952646239554,19635.0,765,1.2874079768205067,97210.0,620,1.1841804525500272,116845.0,1385,1.0662952646239554
0.15,False,0.75,0.3,1.063496197520575,18285.0,765,1.300779204779944,97660.0,620,1.1892485228348513,115945.0,1385,1.063496197520575
0.15,False,0.75,0.5,1.0441683259304642,11535.0,765,1.3312270902426253,94880.0,620,1.1943262540859372,106415.0,1385,1.0441683259304642
0.15,False,1.0,0.0,1.039978226684408,13220.0,765,1.2359382092796127,85760.0,620,1.1425885776436437,98980.0,1385,1.039978226684408
0.15,False,1.0,0.1,1.0776599984059934,24360.0,765,1.2789990985489545,95945.0,620,1.1829552971949542,120305.0,1385,1.0776599984059934
0.15,False,1.0,0.2,1.0662952646239554,19635.0,765,1.2874079768205067,97210.0,620,1.1841804525500272,116845.0,1385,1.0662952646239554
0.15,False,1.0,0.3,1.063496197520575,18285.0,765,1.300779204779944,97660.0,620,1.1892485228348513,115945.0,1385,1.063496197520575
0.15,False,1.0,0.5,1.0441683259304642,11535.0,765,1.3312270902426253,94880.0,620,1.1943262540859372,106415.0,1385,1.0441683259304642
0.15,False,1.5,0.0,1.039978226684408,13220.0,765,1.2359382092796127,85760.0,620,1.1425885776436437,98980.0,1385,1.039978226684408
0.15,False,1.5,0.1,1.0776599984059934,24360.0,765,1.2789990985489545,95945.0,620,1.1829552971949542,120305.0,1385,1.0776599984059934
0.15,False,1.5,0.2,1.0662952646239554,19635.0,765,1.2874079768205067,97210.0,620,1.1841804525500272,116845.0,1385,1.0662952646239554
0.15,False,1.5,0.3,1.063496197520575,18285.0,765,1.300779204779944,97660.0,620,1.1892485228348513,115945.0,1385,1.063496197520575
0.15,False,1.5,0.5,1.0441683259304642,11535.0,765,1.3312270902426253,94880.0,620,1.1943262540859372,106415.0,1385,1.0441683259304642
0.2,True,0.25,0.0,1.0442890442890442,13300.0,765,1.3430766609352975,110740.0,620,1.1990739626214721,124040.0,1385,1.0442890442890442
0.2,True,0.25,0.1,1.081498151422601,22815.0,765,1.3677692604998712,114185.0,620,1.2320362450776983,137000.0,1385,1.081498151422601
0.2,True,0.25,0.2,1.0833673355836642,22475.0,765,1.3691455011484306,110895.0,620,1.233982456140351,133370.0,1385,1.0833673355836642
0.2,True,0.25,0.3,1.0474545170609824,12155.0,765,1.343905077528032,100140.0,620,1.2051706024756772,112295.0,1385,1.0474545170609824
0.2,True,0.25,0.5,1.0324278103005986,7395.0,765,1.3474842460541974,89055.0,620,1.1991410814940227,96450.0,1385,1.0324278103005986
0.2,True,0.5,0.0,1.0458049509885363,13785.0,765,1.3490567495326236,112960.0,620,1.2029332415361091,126745.0,1385,1.0458049509885363
0.2,True,0.5,0.1,1.0846946244621785,23720.0,765,1.3888961017884385,119815.0,620,1.2440428118438167,143535.0,1385,1.0846946244621785
0.2,True,0.5,0.2,1.076741265972376,20780.0,765,1.3676651689132968,110465.0,620,1.229758591110411,131245.0,1385,1.076741265972376
0.2,True,0.5,0.3,1.0493795798729848,12635.0,765,1.3424455243230249,99715.0,620,1.2053705260848901,112350.0,1385,1.0493795798729848
0.2,True,0.5,0.5,1.0324278103005986,7395.0,765,1.3456727584460118,88710.0,620,1.198287512250477,96105.0,1385,1.0324278103005986
0.2,True,0.75,0.0,1.0458049509885363,13785.0,765,1.3490567495326236,112960.0,620,1.2029332415361091,126745.0,1385,1.0458049509885363
0.2,True,0.75,0.1,1.0846946244621785,23720.0,765,1.3888961017884385,119815.0,620,1.2440428118438167,143535.0,1385,1.0846946244621785
0.2,True,0.75,0.2,1.076741265972376,20780.0,765,1.3676651689132968,110465.0,620,1.229758591110411,131245.0,1385,1.076741265972376
0.2,True,0.75,0.3,1.0493795798729848,12635.0,765,1.3424455243230249,99715.0,620,1.2053705260848901,112350.0,1385,1.0493795798729848
0.2,True,0.75,0.5,1.0324278103005986,7395.0,765,1.3456727584460118,88710.0,620,1.198287512250477,96105.0,1385,1.0324278103005986
0.2,True,1.0,0.0,1.0458049509885363,13785.0,765,1.3490567495326236,112960.0,620,1.2029332415361091,126745.0,1385,1.0458049509885363
0.2,True,1.0,0.1,1.0846946244621785,23720.0,765,1.3888961017884385,119815.0,620,1.2440428118438167,143535.0,1385,1.0846946244621785
0.2,True,1.0,0.2,1.076741265972376,20780.0,765,1.3676651689132968,110465.0,620,1.229758591110411,131245.0,1385,1.076741265972376
0.2,True,1.0,0.3,1.0493795798729848,12635.0,765,1.3424455243230249,99715.0,620,1.2053705260848901,112350.0,1385,1.0493795798729848
0.2,True,1.0,0.5,1.0324278103005986,7395.0,765,1.3456727584460118,88710.0,620,1.198287512250477,96105.0,1385,1.0324278103005986
0.2,True,1.5,0.0,1.0458049509885363,13785.0,765,1.3490567495326236,112960.0,620,1.2029332415361091,126745.0,1385,1.0458049509885363
0.2,True,1.5,0.1,1.0846946244621785,23720.0,765,1.3888961017884385,119815.0,620,1.2440428118438167,143535.0,1385,1.0846946244621785
0.2,True,1.5,0.2,1.076741265972376,20780.0,765,1.3676651689132968,110465.0,620,1.229758591110411,131245.0,1385,1.076741265972376
0.2,True,1.5,0.3,1.0493795798729848,12635.0,765,1.3424455243230249,99715.0,620,1.2053705260848901,112350.0,1385,1.0493795798729848
0.2,True,1.5,0.5,1.0324278103005986,7395.0,765,1.3456727584460118,88710.0,620,1.198287512250477,96105.0,1385,1.0324278103005986
0.2,False,0.25,0.0,1.0293947543448714,10165.0,765,1.284671833207599,103770.0,620,1.1603961511117993,113935.0,1385,1.0293947543448714
