atr_len,yellow_atr_mult,yellow_drift,yellow_mode,green_atr_mult,green_base,green_decay,yellow_giveback,scale_by_body,max_giveback_atr,giveback_min_gap_atr,IS_trades,IS_win%,IS_avg_$,IS_gross_$,IS_PF,OOS_trades,OOS_win%,OOS_avg_$,OOS_gross_$,OOS_PF
10,1.07,2.9,raw_atr,3.03,196.4,2.9,0.0,False,0.71,0.47,762,54.85564304461942,-1.3517060367454068,-1030.0,0.9979456289766041,617,59.3192868719611,254.26256077795787,156880.0,1.327734603492939
25,1.62,1.99,raw_atr,3.93,109.2,0.11,0.83,False,0.99,0.52,762,54.46194225721784,42.650918635170605,32500.0,1.0690534367364284,617,57.86061588330632,210.07293354943275,129615.0,1.2617400874385356
25,1.77,0.97,drift_floor,3.93,63.0,1.15,0.71,False,0.76,0.19,765,51.895424836601315,18.601307189542485,14230.0,1.0308921380268543,620,55.483870967741936,219.59677419354838,136150.0,1.2847045784845728
30,1.3,1.65,pure_ratchet,1.17,127.9,2.24,0.77,True,0.34,0.46,765,43.66013071895425,20.07843137254902,15360.0,1.0486676594531226,620,46.935483870967744,149.54032258064515,92715.0,1.268571759628058
7,1.99,0.28,drift_floor,2.12,41.1,2.5,0.0,True,1.15,0.31,765,47.18954248366013,-8.705882352941176,-6660.0,0.9762079128337948,620,53.2258064516129,160.30645161290323,99390.0,1.3093803987486576
30,1.76,0.02,drift_floor,0.57,58.8,0.45,0.0,False,1.01,0.25,765,43.26797385620915,16.758169934640524,12820.0,1.035379180925047,620,50.645161290322584,116.24193548387096,72070.0,1.1927237234426602
14,1.35,0.39,pure_ratchet,2.03,145.7,0.36,0.71,False,1.01,0.14,764,49.21465968586388,12.820680628272251,9795.0,1.0232183281381484,619,52.827140549273025,200.8481421647819,124325.0,1.27897140164477
14,2.91,2.51,raw_atr,2.55,23.7,2.29,0.0,False,0.97,0.46,763,69.59370904325033,-7.758846657929227,-5920.0,0.9849177738430378,618,71.68284789644012,244.4902912621359,151095.0,1.3851909447815225
25,2.7,2.47,drift_floor,2.8,117.7,1.24,0.0,True,0.7,0.45,764,40.968586387434556,-9.43717277486911,-7210.0,0.9794651248896358,620,44.354838709677416,156.03225806451613,96740.0,1.2389822134387352
14,1.18,1.35,pure_ratchet,1.14,103.3,2.62,0.0,True,1.26,0.51,765,40.91503267973856,7.261437908496732,5555.0,1.02141604179116,620,46.12903225806452,165.31451612903226,102495.0,1.3521620367984333
30,1.39,2.09,raw_atr,3.98,120.0,2.16,0.31,True,0.62,0.58,763,44.95412844036697,11.65137614678899,8890.0,1.0231468221938709,618,49.51456310679612,185.16181229773463,114430.0,1.2841816398246682
30,0.78,0.43,raw_atr,3.89,33.5,2.34,0.45,True,1.03,0.24,764,43.06282722513089,25.975130890052355,19845.0,1.0679239470846953,618,45.14563106796117,174.98381877022655,108140.0,1.3313315766897482
7,2.9,2.63,pure_ratchet,3.9,157.2,1.52,0.23,True,1.03,0.51,764,47.90575916230366,5.778795811518324,4415.0,1.0098992141167502,619,52.988691437802906,202.77867528271406,125520.0,1.2704239917269906
20,2.67,2.58,pure_ratchet,3.84,132.8,2.66,0.0,True,0.93,0.37,763,47.575360419397114,17.03800786369594,13000.0,1.029944602485402,619,50.24232633279483,184.03069466882067,113915.0,1.2524851775918435
20,0.98,1.14,pure_ratchet,3.47,128.7,2.42,0.22,False,0.92,0.58,765,39.73856209150327,4.248366013071895,3250.0,1.016172774999378,620,44.193548387096776,115.93548387096774,71880.0,1.3204993869133876
12,1.49,2.08,pure_ratchet,2.82,92.1,2.28,0.0,True,0.36,0.15,765,41.045751633986924,14.620915032679738,11185.0,1.0396771904930826,620,46.61290322580645,215.06451612903226,133340.0,1.4298101408632304
