green_base,green_decay,n_all,all_net,all_PF,all_mdd,is_n,is_wr,is_net,is_PF,is_mdd,oos_n,oos_wr,oos_net,oos_PF,oos_mdd
190.0,2.0,1352,300555.0,1.308,-36660.0,809,49.2,78670.0,1.149,-36660.0,543,52.3,221885.0,1.498,-31965.0
200.0,1.0,1351,309155.0,1.318,-37530.0,808,49.3,85285.0,1.161,-37530.0,543,52.3,223870.0,1.505,-32790.0
200.0,1.25,1351,308795.0,1.318,-36790.0,808,49.3,85845.0,1.162,-36790.0,543,52.3,222950.0,1.503,-32790.0
200.0,1.5,1351,301635.0,1.31,-37890.0,808,49.3,80420.0,1.152,-37890.0,543,52.3,221215.0,1.499,-31830.0
200.0,1.75,1351,305640.0,1.314,-37235.0,808,49.3,78130.0,1.148,-37235.0,543,52.3,227510.0,1.513,-30510.0
200.0,2.0,1352,302245.0,1.31,-38600.0,809,49.2,76060.0,1.144,-38600.0,543,52.3,226185.0,1.508,-30510.0
215.0,1.0,1351,306585.0,1.315,-37040.0,808,49.3,88925.0,1.168,-37040.0,543,52.3,217660.0,1.491,-35040.0
215.0,1.25,1351,313125.0,1.322,-37220.0,808,49.3,89960.0,1.17,-37220.0,543,52.3,223165.0,1.503,-32790.0
215.0,1.5,1351,314985.0,1.324,-37530.0,808,49.3,85650.0,1.162,-37530.0,543,52.3,229335.0,1.517,-32790.0
215.0,1.75,1351,315385.0,1.324,-36790.0,808,49.3,84205.0,1.159,-36790.0,543,52.3,231180.0,1.521,-32790.0
215.0,2.0,1351,308285.0,1.317,-37390.0,808,49.3,80975.0,1.153,-37390.0,543,52.3,227310.0,1.513,-31830.0
225.0,1.0,1351,304700.0,1.313,-37290.0,808,49.3,86655.0,1.164,-37290.0,543,52.3,218045.0,1.492,-35045.0
225.0,1.25,1351,309425.0,1.318,-36700.0,808,49.3,89895.0,1.17,-36700.0,543,52.3,219530.0,1.495,-35040.0
225.0,1.5,1351,312410.0,1.321,-37040.0,808,49.3,89780.0,1.17,-37040.0,543,52.3,222630.0,1.502,-32790.0
225.0,1.75,1351,318145.0,1.327,-37530.0,808,49.3,89040.0,1.168,-37530.0,543,52.3,229105.0,1.517,-32790.0
225.0,2.0,1351,315420.0,1.324,-37530.0,808,49.3,84820.0,1.16,-37530.0,543,52.3,230600.0,1.52,-32790.0
250.0,1.0,1351,292855.0,1.301,-38330.0,808,49.3,84460.0,1.16,-38330.0,543,52.3,208395.0,1.47,-33970.0
250.0,1.25,1351,293005.0,1.301,-38330.0,808,49.3,82550.0,1.156,-38330.0,543,52.3,210455.0,1.475,-35075.0
250.0,1.5,1351,291855.0,1.3,-38330.0,808,49.3,81235.0,1.154,-38330.0,543,52.3,210620.0,1.475,-35470.0
250.0,1.75,1351,305945.0,1.315,-36540.0,808,49.3,87140.0,1.165,-36540.0,543,52.3,218805.0,1.493,-35045.0
250.0,2.0,1351,305795.0,1.314,-36540.0,808,49.3,90130.0,1.17,-36540.0,543,52.3,215665.0,1.486,-35045.0
275.0,1.0,1351,296140.0,1.305,-38330.0,810,49.3,92920.0,1.175,-38330.0,541,52.3,203220.0,1.459,-33970.0
275.0,1.25,1351,296710.0,1.305,-38330.0,809,49.2,84725.0,1.16,-38330.0,542,52.4,211985.0,1.478,-33970.0
275.0,1.5,1351,296215.0,1.305,-38330.0,809,49.2,86485.0,1.163,-38330.0,542,52.4,209730.0,1.473,-33970.0
275.0,1.75,1351,296015.0,1.304,-38330.0,809,49.2,87300.0,1.165,-38330.0,542,52.4,208715.0,1.471,-33970.0
275.0,2.0,1351,293685.0,1.302,-38330.0,809,49.2,82370.0,1.156,-38330.0,542,52.4,211315.0,1.477,-33970.0
300.0,1.0,1351,279970.0,1.288,-37830.0,810,49.3,94580.0,1.179,-37830.0,541,52.1,185390.0,1.418,-33970.0
300.0,1.25,1351,282600.0,1.291,-37830.0,810,49.3,94580.0,1.179,-37830.0,541,52.1,188020.0,1.424,-33970.0
300.0,1.5,1351,280455.0,1.288,-38335.0,810,49.3,91465.0,1.173,-38335.0,541,52.1,188990.0,1.426,-33970.0
300.0,1.75,1351,281410.0,1.289,-38265.0,810,49.3,92510.0,1.175,-38265.0,541,52.1,188900.0,1.426,-33970.0
300.0,2.0,1351,279945.0,1.288,-38265.0,810,49.3,92955.0,1.176,-38265.0,541,52.1,186990.0,1.422,-33970.0
350.0,1.0,1351,281725.0,1.29,-38815.0,810,49.3,92670.0,1.175,-38815.0,541,52.1,189055.0,1.427,-32790.0
350.0,1.25,1351,281370.0,1.289,-38815.0,810,49.3,92670.0,1.175,-38815.0,541,52.1,188700.0,1.426,-32790.0
350.0,1.5,1351,282165.0,1.29,-38135.0,810,49.3,93350.0,1.176,-38135.0,541,52.1,188815.0,1.426,-32790.0
350.0,1.75,1351,281115.0,1.289,-37645.0,810,49.3,94765.0,1.179,-37645.0,541,52.1,186350.0,1.42,-32790.0
350.0,2.0,1351,281265.0,1.289,-37645.0,810,49.3,94765.0,1.179,-37645.0,541,52.1,186500.0,1.421,-32790.0
400.0,1.0,1350,270450.0,1.278,-38815.0,810,49.1,91090.0,1.172,-38815.0,540,52.2,179360.0,1.405,-32790.0
400.0,1.25,1350,270450.0,1.278,-38815.0,810,49.1,91090.0,1.172,-38815.0,540,52.2,179360.0,1.405,-32790.0
400.0,1.5,1350,270090.0,1.278,-38815.0,810,49.1,91090.0,1.172,-38815.0,540,52.2,179000.0,1.404,-32790.0
400.0,1.75,1350,270125.0,1.278,-38815.0,810,49.1,91090.0,1.172,-38815.0,540,52.2,179035.0,1.404,-32790.0
400.0,2.0,1350,268655.0,1.276,-38815.0,810,49.1,91090.0,1.172,-38815.0,540,52.2,177565.0,1.401,-32790.0
500.0,1.0,1350,274700.0,1.282,-38815.0,810,49.1,91090.0,1.172,-38815.0,540,52.2,183610.0,1.415,-32790.0
500.0,1.25,1350,275020.0,1.283,-38815.0,810,49.1,91090.0,1.172,-38815.0,540,52.2,183930.0,1.415,-32790.0
500.0,1.5,1350,275020.0,1.283,-38815.0,810,49.1,91090.0,1.172,-38815.0,540,52.2,183930.0,1.415,-32790.0
500.0,1.75,1350,275020.0,1.283,-38815.0,810,49.1,91090.0,1.172,-38815.0,540,52.2,183930.0,1.415,-32790.0
500.0,2.0,1350,274530.0,1.282,-38815.0,810,49.1,91090.0,1.172,-38815.0,540,52.2,183440.0,1.414,-32790.0
