stop_mult,tp_mult,contract_type,num_contracts,challenge_pass_rate,challenge_avg_days,challenge_blowup_rate,funded_avg_payouts,funded_days_per_payout,funded_blowup_rate,funded_net_lifetime
0.5,2.7,MNQ,8,58.120000000000005,9.774604267033723,41.88,2.077,14.156283100625902,100.0,4231.0
0.5,2.7,MNQ,9,55.86,8.419978517722878,44.14,1.7142,12.08190409520476,100.0,3142.5999999999995
0.5,2.6,MNQ,1,100.0,123.9524,0.0,11.0438,129.19192669189954,0.02,31131.399999999994
0.5,2.6,MNQ,2,97.96000000000001,62.8121682319314,2.04,20.9678,64.98656034490982,11.219999999999999,60903.4
0.5,2.6,MNQ,3,90.64,38.92983230361871,9.36,19.783,43.667623717333065,66.02,57349.00000000001
0.5,2.6,MNQ,4,82.82000000000001,26.952426950012075,17.18,11.8442,32.28386889785718,96.41999999999999,33532.600000000006
0.5,2.6,MNQ,5,74.64,19.570203644158628,25.36,6.4458,25.331254460268703,99.98,17337.4
0.5,2.6,MNQ,6,69.44,14.95794930875576,30.56,4.3504,20.414858403824937,100.0,11051.199999999999
0.5,2.6,MNQ,7,65.08,12.091272280270436,34.92,3.1758,16.906732161974936,100.0,7527.4
0.5,2.6,MNQ,8,61.46,10.064432150992516,38.54,2.3452,14.128517823639775,100.0,5035.6
0.5,2.6,MNQ,9,56.98,8.162864162864162,43.02,1.957,12.07603474706183,100.0,3871.0
0.6,3.0,MNQ,1,99.78,122.63660052114652,0.22,11.1904,127.2830640549042,0.38,31571.200000000004
0.6,3.0,MNQ,2,93.84,59.4228473998295,6.16,18.824,63.74125584360391,30.44,54472.00000000001
0.6,3.0,MNQ,3,82.76,36.005316578057034,17.24,12.8246,41.98891193487516,89.42,36473.8
0.6,3.0,MNQ,4,73.46000000000001,23.412469371086306,26.540000000000003,6.4926,30.553768906139297,99.83999999999999,17477.800000000003
0.6,3.0,MNQ,5,66.28,16.703077851538925,33.72,3.8006,23.506972583276326,100.0,9401.800000000001
0.6,3.0,MNQ,6,60.86,12.678606638186,39.14,2.6582,18.23346625536077,100.0,5974.599999999999
0.6,3.0,MNQ,7,56.379999999999995,10.24015608371763,43.62,2.052,15.07076023391813,100.0,4156.0
0.6,3.0,MNQ,8,53.620000000000005,8.144349123461396,46.379999999999995,1.6714,12.58214670336245,100.0,3014.2
0.6,3.0,MNQ,9,52.0,7.270384615384615,48.0,1.37,10.715328467153284,100.0,2110.0
0.5,2.5,MNQ,1,99.94,128.47368421052633,0.06,10.8138,132.03005419001647,0.02,30441.4
