variant,is_n,is_pnl,is_wr,is_sharpe,is_dd,is_exp,oos_n,oos_pnl,oos_wr,oos_sharpe,oos_dd,oos_exp
A15,457,7128.5,52.516411378555794,0.23909733149511458,-20502.0,15.598468271334792,272,-2124.0,47.794117647058826,-0.08822447413262648,-19170.0,-7.8088235294117645
A30,457,-2921.5,51.64113785557986,-0.07592372349112018,-30940.5,-6.392778993435448,272,6431.0,48.89705882352941,0.21477746789340424,-23382.0,23.643382352941178
A45,457,-7136.5,50.76586433260394,-0.15206841344405309,-34983.5,-15.61597374179431,272,-12149.0,48.529411764705884,-0.29003042165271725,-41540.0,-44.66544117647059
A60,457,15038.5,49.89059080962801,0.2960831083211685,-27710.5,32.90700218818381,272,556.0,49.63235294117647,0.014114512110325052,-26995.0,2.0441176470588234
A90,457,-14606.5,47.70240700218819,-0.24815492045958049,-36280.5,-31.961706783369802,272,34256.0,54.41176470588235,0.7327217219105289,-21412.0,125.94117647058823
B,451,-29571.285714285797,45.8980044345898,-0.48780914666078107,-42634.03571428569,-65.56826100728559,272,21269.214285714203,55.14705882352941,0.47468531243444995,-33533.357142857174,78.19564075630221
C,451,14990.857142857174,49.889135254988915,0.2986051140594285,-25711.03571428569,33.2391510928097,272,-9467.03571428587,50.0,-0.25196747258522045,-34666.928571428696,-34.80527836134511
