signal_time,exit_time,exit_reason,entry,exit,entry_raw,sl_raw,tp_raw,atr,signal_low,bot_wick_low,signal_bar_total_delta,zone_id,pts,pnl_gross,pnl_net,dev_poc,dev_vah,dev_val,noise_upper_14,noise_lower_14,noise_upper_90,noise_lower_90,prev_week_iso_poc,prev_week_iso_vah,prev_week_iso_val,entry_hour,dev_loc,noise_loc,week_loc
2020-12-09 12:50:00-05:00,2020-12-09 13:25:00-05:00,sl,12490.875,12435.0,12490.75,12435.125,12567.5,21.125,12456.25,12456.25,493,24,-55.875,-1117.5,-1122.0,12597.5,12642.5,12580.0,,,,,,,,12:00,below_val,no_bands,unknown
2020-12-16 09:45:00-05:00,2020-12-16 11:05:00-05:00,tp,12595.625,12639.910714285714,12595.5,12563.357142857143,12640.035714285714,12.392857142857142,12575.75,12575.75,384,85,44.285714285713766,885.7142857142753,881.2142857142753,12615.0,12630.0,12590.0,,,,,12487.5,12517.5,12422.5,09:00,in_va,no_bands,above_week_vah
2020-12-31 09:35:00-05:00,2020-12-31 11:50:00-05:00,sl,12851.375,12816.80357142857,12851.25,12816.92857142857,12892.642857142859,7.071428571428571,12824.0,12824.0,514,173,-34.57142857142935,-691.428571428587,-695.928571428587,12842.5,12855.0,12840.0,12865.469629375368,12817.28083726851,,,12720.0,12762.5,12560.0,09:00,in_va,inside_14_only,above_week_vah
2020-12-31 09:50:00-05:00,2020-12-31 11:50:00-05:00,sl,12833.375,12815.142857142857,12833.25,12815.267857142857,12861.464285714286,10.232142857142858,12825.5,12825.5,217,184,-18.232142857143117,-364.64285714286234,-369.14285714286234,12842.5,12855.0,12837.5,12874.249548633175,12808.501088939318,,,12720.0,12762.5,12560.0,09:00,below_val,inside_14_only,above_week_vah
2021-01-11 14:30:00-05:00,2021-01-11 15:20:00-05:00,sl,12921.125,12891.035714285714,12921.0,12891.160714285714,12967.928571428572,17.089285714285715,12908.25,12908.25,317,250,-30.089285714286234,-601.7857142857247,-606.2857142857247,12970.0,12997.5,12912.5,13241.603031349985,12847.330922280757,,,12852.5,12872.5,12815.0,14:00,in_va,inside_14_only,above_week_vah
2021-01-19 10:40:00-05:00,2021-01-19 13:05:00-05:00,tp,12890.875,12964.839285714286,12890.75,12841.267857142857,12964.964285714286,24.732142857142858,12866.0,12866.0,370,311,73.96428571428623,1479.2857142857247,1474.7857142857247,12900.0,12922.5,12875.0,12967.760747284543,12743.195113735965,,,12727.5,12875.0,12525.0,10:00,in_va,inside_14_only,above_week_vah
2021-02-10 10:25:00-05:00,2021-02-10 10:40:00-05:00,sl,13609.625,13530.607142857143,13609.5,13530.732142857143,13719.785714285714,31.517857142857142,13562.25,13562.25,303,481,-79.01785714285688,-1580.3571428571377,-1584.8571428571377,13742.5,13755.0,13717.5,13797.717668246216,13642.463142746768,,,13487.5,13557.5,13130.0,10:00,below_val,outside_both,above_week_vah
2021-02-25 10:50:00-05:00,2021-02-25 11:45:00-05:00,sl,13100.375,13015.94642857143,13100.25,13016.07142857143,13224.607142857141,40.17857142857143,13056.25,13056.25,354,624,-84.42857142857065,-1688.571428571413,-1693.071428571413,13170.0,13277.5,13132.5,13377.6158423629,13117.27323071176,,,13667.5,13735.0,13645.0,10:00,below_val,outside_both,below_week_val
2021-02-26 12:05:00-05:00,2021-02-26 14:05:00-05:00,sl,13052.375,12929.339285714286,13052.25,12929.464285714286,13220.071428571428,45.035714285714285,12974.5,12974.5,887,654,-123.03571428571377,-2460.7142857142753,-2465.2142857142753,12850.0,12950.0,12755.0,13032.488402436755,12709.275814760478,,,13667.5,13735.0,13645.0,12:00,above_vah,outside_both,below_week_val
2021-03-10 16:00:00-05:00,2021-03-10 16:55:00-05:00,eod,12767.625,12788.125,12767.5,12721.160714285714,12841.428571428572,27.589285714285715,12748.75,12748.75,428,783,20.5,410.0,405.5,12785.0,12842.5,12735.0,13171.123565747017,12587.445458250439,,,12985.0,13222.5,12800.0,16:00,in_va,inside_14_only,below_week_val
