n,wr,mean_pnl,sum_pnl,pf,avg_win,avg_loss,entry_hour
99,48.484848484848484,337.4408369408329,33406.64285714246,1.565329333138313,1927.0624999999925,-1158.6736694677877,10:00
63,41.26984126984127,57.557823129248895,3626.1428571426804,1.0893695228907472,1700.0329670329654,-1096.6138996139032,11:00
45,42.22222222222222,8.015873015871168,360.71428571420256,1.0263304708722365,740.0112781954805,-526.9038461538433,15:00
40,42.5,125.86607142856519,5034.642857142608,1.2045806799909333,1743.7773109243606,-1069.9813664596313,09:00
38,26.31578947368421,-395.63721804510965,-15034.214285714166,0.4625962891188538,1294.1428571428623,-999.1301020408139,12:00
34,29.41176470588235,-272.9243697479028,-9279.428571428696,0.490045220449688,891.7142857142826,-758.1904761904801,14:00
17,41.1764705882353,-95.7394957983227,-1627.5714285714857,0.8222828842179108,1075.8061224489854,-915.8214285714384,13:00
4,50.0,644.25,2577.0,15.005434782608695,1380.5,-92.0,16:00
