n,wr,mean_pnl,sum_pnl,pf,avg_win,avg_loss,week_loc
176,38.06818181818182,19.501623376619094,3432.2857142849607,1.0371736226024704,1429.305970149245,-847.0753604193986,above_week_vah
96,42.708333333333336,-8.32440476190368,-799.1428571427532,0.9883316733327439,1650.9529616724744,-1245.2402597402581,below_week_val
67,46.26865671641791,261.98187633261784,17552.785714285397,1.5563633152813612,1583.9331797234993,-876.3650793650855,in_week_va
1,0.0,-1122.0,-1122.0,0.0,0.0,-1122.0,unknown
