window_end,trades,pf,pnl,wr
2021-11,256,1.3154803225289688,29540.0,42.578125
2021-12,258,1.5222045342262722,47565.0,43.798449612403104
2022-01,258,1.2726050887519118,29410.0,43.02325581395349
2022-02,256,1.0708303218400579,8330.0,41.40625
2022-03,255,0.9208696316674309,-10355.0,39.21568627450981
2022-04,253,0.9759231905465288,-3260.0,40.316205533596836
2022-05,253,1.0052330277807044,745.0,39.52569169960474
2022-06,253,1.069222972972973,10245.0,39.920948616600796
2022-07,252,1.1770287397663823,25840.0,41.66666666666667
2022-08,252,1.0992424724680119,15590.0,40.07936507936508
2022-09,250,1.0354915035491503,5775.0,38.4
2022-10,248,0.9873978593624122,-2190.0,39.11290322580645
2022-11,248,1.0212151278160382,3635.0,39.516129032258064
2022-12,244,0.9040339702760085,-16950.0,38.114754098360656
2023-01,244,0.9239529757531227,-12420.0,38.52459016393443
2023-02,243,0.9512402644152104,-7450.0,39.50617283950617
2023-03,241,1.0102428607622427,1415.0,40.24896265560166
2023-04,243,0.934475993040388,-8850.0,38.68312757201646
2023-05,242,0.9276391397143327,-8815.0,40.909090909090914
2023-06,241,0.856487084254893,-17195.0,40.66390041493776
2023-07,243,0.8534723115858105,-17080.0,41.56378600823045
2023-08,243,0.9020163687074207,-10715.0,42.79835390946502
2023-09,242,0.962654603205159,-3880.0,42.97520661157025
2023-10,245,1.0157703410670373,1475.0,41.224489795918366
2023-11,244,1.0248267583346975,2275.0,40.16393442622951
2023-12,243,1.217195873912292,18845.0,41.56378600823045
2024-01,241,1.3159691036464882,26385.0,41.078838174273855
2024-02,244,1.362268449133745,30215.0,40.98360655737705
2024-03,243,1.4494368191050655,36510.0,42.38683127572017
2024-04,244,1.5164821648216482,41990.0,42.62295081967213
2024-05,245,1.4754710273729115,40125.0,40.816326530612244
2024-06,246,1.6079528181431264,49995.0,43.08943089430895
2024-07,246,1.376735032111042,36370.0,41.46341463414634
2024-08,243,1.4873051661601804,49710.0,43.62139917695473
2024-09,244,1.5251256281407035,56430.0,44.26229508196721
2024-10,245,1.5917763157894738,62965.0,44.89795918367347
2024-11,244,1.5134297520661157,57155.0,45.90163934426229
2024-12,248,1.491817206224289,54995.0,45.96774193548387
2025-01,252,1.5680551984229023,66275.0,47.22222222222222
2025-02,251,1.4856359469634965,59335.0,47.410358565737056
2025-03,253,1.3953271724549112,53045.0,46.6403162055336
2025-04,252,1.4351925335703628,68545.0,47.61904761904761
2025-05,251,1.4416058394160585,73205.0,48.20717131474104
2025-06,251,1.4524809323849517,79200.0,46.613545816733065
2025-07,252,1.526454235666886,88060.0,48.01587301587302
2025-08,253,1.4062388697613677,68435.0,45.059288537549406
2025-09,255,1.3969247599367935,65310.0,45.490196078431374
2025-10,254,1.5851091060344276,91435.0,50.39370078740157
2025-11,255,1.6029679533867442,99345.0,49.80392156862745
2025-12,256,1.5360500663321222,92935.0,48.4375
2026-01,255,1.514306906684164,90140.0,48.23529411764706
2026-02,256,1.5571136675343578,99520.0,48.4375
2026-03,257,1.4768758295812403,91615.0,47.85992217898833
2026-04,257,1.4457634747383818,79230.0,48.63813229571984
2026-05,239,1.4708923491082626,76965.0,49.7907949790795
