window_end,trades,pf,pnl,wr
2021-11,176,1.318154529446718,25572.897734801518,56.25
2021-12,184,1.3494013849798216,30495.414138546475,56.52173913043478
2022-01,189,1.356559404644265,32681.724849719394,56.08465608465608
2022-02,186,1.2862397495960594,28634.222510367617,55.91397849462365
2022-03,186,1.2289880942635834,24233.663254668172,55.376344086021504
2022-04,187,1.196952478253657,22418.28491241078,54.01069518716578
2022-05,185,1.2997248534545047,34330.98170756781,55.67567567567567
2022-06,186,1.4314909159310543,47185.033034976805,59.13978494623656
2022-07,181,1.4285588766562134,47876.292474982765,58.5635359116022
2022-08,175,1.4632280040277081,51347.156110727046,59.42857142857143
2022-09,175,1.5068843233083509,55993.45900922886,60.0
2022-10,174,1.5513761540356825,61925.42193222187,62.06896551724138
2022-11,164,1.4778556908220928,52845.27272047624,59.756097560975604
2022-12,158,1.5470640118741474,56366.14829674247,61.39240506329114
2023-01,155,1.51934503531347,52668.009640804376,61.935483870967744
2023-02,156,1.6665330525343864,61192.18280246565,63.46153846153846
2023-03,158,1.7160710378344282,62514.535419524545,63.29113924050633
2023-04,160,1.6152343877278819,53365.145095931766,61.25000000000001
2023-05,171,1.6270663007939177,52091.04764218122,60.81871345029239
2023-06,171,1.4658985065459966,41134.6925163941,58.47953216374269
2023-07,167,1.4302238592826568,35791.4227009167,57.48502994011976
2023-08,173,1.3526869327342508,31036.71279907361,56.64739884393064
2023-09,171,1.3504265078358053,30080.301435315596,57.30994152046783
2023-10,178,1.2681586952752435,24555.084038678906,55.61797752808989
2023-11,180,1.1685010002499259,16085.07079003677,54.44444444444444
2023-12,176,1.0761315096281807,7407.98272091768,52.84090909090909
2024-01,179,1.0302214467876427,2992.150749107096,51.955307262569825
2024-02,182,0.9996388147482937,-36.200264524560225,50.54945054945055
2024-03,181,0.9585478129880638,-4124.443450731196,50.27624309392266
2024-04,177,0.9513952478180955,-4825.205588748977,50.282485875706215
2024-05,172,0.9974123629856769,-248.12120653616057,51.74418604651163
2024-06,170,0.9807012917082112,-1867.9748289298723,50.588235294117645
2024-07,173,0.980617910383517,-1973.8379232418806,50.86705202312138
2024-08,159,1.0583293838996881,5388.968904512221,51.57232704402516
2024-09,151,0.9753681699746678,-2313.6131690556786,49.668874172185426
2024-10,139,0.9845304340898366,-1310.0409524649867,49.64028776978417
2024-11,132,1.0277118439360635,2276.8956457050085,51.515151515151516
2024-12,140,1.039709062660414,3590.363356670423,50.71428571428571
2025-01,135,1.1153296581119407,10362.857713784615,51.11111111111111
2025-02,130,1.0823661224606653,7608.461690335826,50.76923076923077
2025-03,129,1.2057928714333066,19749.83096648728,51.162790697674424
2025-04,125,1.253651315361235,25595.106439975352,54.400000000000006
2025-05,116,1.240296388149198,23923.989901845707,52.58620689655172
2025-06,111,1.3278826797959806,30469.044144423242,54.95495495495496
2025-07,107,1.3447402783251154,30210.118304520438,55.140186915887845
2025-08,112,1.3958567679836944,34764.29952477098,57.14285714285714
2025-09,113,1.3870448521556376,33828.15960173706,55.75221238938053
2025-10,121,1.507390773420114,44982.20214723049,57.02479338842975
2025-11,125,1.4794611939917446,45708.60844453069,56.8
2025-12,116,1.4524834949372698,40797.312063866266,56.896551724137936
2026-01,117,1.38143542163952,34835.397538255565,56.41025641025641
2026-02,116,1.4152153508675307,37469.991500952456,56.896551724137936
2026-03,108,1.3981229112432,32048.577982823845,57.407407407407405
2026-04,104,1.4877043375397776,33416.194745969115,56.730769230769226
