window_end,trades,pf,pnl,wr
2021-11,96,1.3497247543198572,890.3992244983565,58.333333333333336
2021-12,100,1.3777851047508927,985.7357845712668,59.0
2022-01,103,1.4744918771197357,1339.016077231894,60.19417475728155
2022-02,103,1.6546245773553394,1792.1984366545803,62.13592233009708
2022-03,105,1.9538937522193396,2469.1539776197606,64.76190476190476
2022-04,115,1.6190736465709457,2192.2945509193614,62.60869565217392
2022-05,124,1.5432703720481589,2159.6355464844437,62.096774193548384
2022-06,126,1.5302073520117903,2242.511995333867,62.698412698412696
2022-07,128,1.4594181669445676,2155.245475678703,61.71875
2022-08,134,1.5252077471651118,2501.4331978106366,61.19402985074627
2022-09,136,1.551930958450586,2749.3060867819822,63.970588235294116
2022-10,139,1.4841962933571757,2708.4730159667015,63.30935251798561
2022-11,134,1.4272164960225897,2364.856913733045,63.43283582089553
2022-12,134,1.4438005310614856,2429.8079075616333,62.68656716417911
2023-01,138,1.3949917189991863,2125.3516920048714,63.76811594202898
2023-02,144,1.2573130490409028,1514.2229653434533,62.5
2023-03,148,1.2117376206973391,1286.3589801415092,62.16216216216216
2023-04,142,1.231576322314469,1247.3279660663084,63.38028169014085
2023-05,147,1.2660388042742408,1396.9697612440377,63.26530612244898
2023-06,155,1.3311564885462823,1722.510475173487,63.87096774193548
2023-07,161,1.1900287075896645,1022.1644181248048,60.86956521739131
2023-08,161,1.2491039256133178,1285.0648762577039,61.49068322981367
2023-09,166,1.210493439087886,1093.9870262995155,59.63855421686747
2023-10,171,1.1948798650139074,995.3976305247852,59.64912280701754
2023-11,172,1.1976942389505176,1029.5421728945585,59.30232558139535
2023-12,177,1.1843397162260612,985.0192736539575,59.887005649717516
2024-01,171,1.0909930546001378,494.04678995144786,58.47953216374269
2024-02,177,1.176751906361861,916.2376946032964,58.75706214689266
2024-03,172,1.123433703941788,613.835809702512,58.139534883720934
2024-04,173,1.102236125611428,534.1837563197114,57.22543352601156
2024-05,175,1.0798393460270292,428.69736849213405,57.714285714285715
2024-06,165,0.9933560305972965,-35.04029462985818,56.36363636363636
2024-07,158,1.2188814093337925,1017.9627144591359,60.12658227848101
2024-08,152,1.1623461793914098,756.3708497845782,60.526315789473685
2024-09,144,1.29649217367267,1276.2505615740083,62.5
2024-10,129,1.440331307855539,1556.9014217502227,63.565891472868216
2024-11,132,1.375743466569797,1409.4137431033087,63.63636363636363
2024-12,126,1.3327566897761656,1254.659098801032,63.49206349206349
2025-01,125,1.3000132700031406,1181.9772804948734,62.4
2025-02,116,1.3896086652773214,1449.7338434969133,62.06896551724138
2025-03,109,1.4900585010119578,1695.4798988761213,63.30275229357798
2025-04,102,1.4453652581772065,1545.8628111330836,63.725490196078425
2025-05,89,1.400660331193466,1320.275956365269,62.92134831460674
2025-06,86,1.3966832687011381,1296.7576053840203,63.95348837209303
2025-07,79,1.1798900403323846,602.6316351134883,62.0253164556962
2025-08,78,1.2218318956789824,710.9157676772193,62.82051282051282
2025-09,79,1.1249978919985368,405.0244195482592,62.0253164556962
2025-10,84,1.023160917602618,82.73079767655145,59.523809523809526
2025-11,81,1.1517613340280193,520.4275547155848,58.0246913580247
2025-12,79,1.2028405442406909,656.442711298936,59.49367088607595
2026-01,82,1.4780944683070625,1422.9286612988944,62.19512195121951
2026-02,84,1.4419200072727814,1350.5075422256195,61.904761904761905
2026-03,82,1.603192304282064,1759.0595573625687,62.19512195121951
2026-04,84,1.8466427236836302,2228.786970097157,61.904761904761905
2026-05,81,1.9382317828311293,2297.7296361534354,61.72839506172839
