direction,strong_delta,n,wr,pf,mean,total,avg_win,avg_loss
long,200,2094,44.8901623686724,1.046616656639792,27.874803579968777,58286.21428571471,1392.1451367781162,-1086.299056720864
short,200,2217,42.715381145692376,0.9612690122004148,-26.669324123684337,-59019.21428571344,1546.7845074671905,-1203.652561498533
long,300,1802,45.061043285238625,1.0385111792175443,23.55218253968281,42393.92857142906,1407.9005981703037,-1114.191657027184
short,300,1977,42.84269094587759,0.9627606771692367,-26.124429802330905,-51543.49999999887,1573.283774666893,-1229.231667089571
long,400,1515,46.336633663366335,1.064537156867046,40.14946652818484,60746.14285714366,1427.3569393569408,-1160.614585168223
short,400,1688,44.07582938388626,1.0165374860430036,11.63353115727057,19602.50000000091,1619.542818740401,-1259.657127675725
long,500,1199,47.039199332777315,1.0967420101458567,61.55442176870827,73680.6428571438,1481.0293819655546,-1203.191040397202
short,500,1377,44.37182280319535,1.0239274908343616,17.323636363637238,23820.0000000012,1668.2940144961442,-1303.0204749439044
long,600,939,48.02981895633653,1.119094553736731,77.62191593055167,72809.35714285747,1516.9998416217943,-1255.354356116164
short,600,1103,45.784224841341796,1.0694310875799822,50.37933047878605,55467.642857143444,1691.7927864215008,-1340.4156279961653
long,700,735,48.435374149659864,1.135224396293485,88.87680031140574,65235.57142857181,1538.3711878009647,-1276.2554799697664
short,700,851,47.591069330199765,1.128334883439924,92.82100840336163,78897.85714285739,1712.787477954145,-1381.5304975922952
long,800,554,49.09747292418773,1.1627292355793883,109.49832084732599,60552.57142857127,1590.6575630252105,-1324.2216573462135
short,800,667,47.976011994002995,1.1841444885986332,132.53041336474672,88397.78571428606,1776.386160714287,-1383.417249897077
long,900,400,48.25,1.1208647104747216,85.05692803437107,33937.71428571406,1630.7183567727602,-1363.0627600554794
short,900,524,49.80916030534351,1.241709280366292,170.1592148309712,89163.4285714289,1754.9827586206907,-1402.6124388919063
long,1000,307,47.23127035830619,1.0719821086921804,52.71988795518175,16132.285714285616,1656.8793103448265,-1392.019964507542
short,1000,417,50.11990407673861,1.219890045905323,157.77389516957982,65791.71428571478,1746.3851674641173,-1438.4749313186815
