config,P(pass) single-acct,E[#passed of 30],funded reach-$3k rate,$/funded acct,payouts/funded acct,E[$ withdrawn/cycle],E[net $/cycle],median net,P(net>0),cycle_multiple,med_pass_day
RV+FB+MEC,0.3126,9.38,0.273,630.0,0.36,5904.0,2904.0,2337.0,0.726,1.97,21
RV+FB+MEC+B2,0.2882,8.64,0.25,574.0,0.32,4959.0,1959.0,1223.0,0.643,1.65,18
