entry_ts,direction,entry_price,exit_ts,exit_price,exit_reason,pnl_points,pnl_dollars
2020-12-09 10:00:00-05:00,LONG,12637.0,2020-12-09 10:20:00-05:00,12599.16345993915,stop,-37.83654006085089,-756.7308012170179
2020-12-09 11:00:00-05:00,SHORT,12615.25,2020-12-09 12:00:00-05:00,12565.500226489181,target,49.74977351081907,994.9954702163814
2020-12-09 14:20:00-05:00,SHORT,12375.75,2020-12-09 15:00:00-05:00,12374.75,force_close,1.0,20.0
2020-12-16 10:00:00-05:00,LONG,12602.5,2020-12-16 11:40:00-05:00,12645.963147584655,target,43.46314758465451,869.2629516930901
2020-12-18 11:40:00-05:00,SHORT,12690.0,2020-12-18 15:00:00-05:00,12660.75,force_close,29.25,585.0
2020-12-22 10:00:00-05:00,LONG,12748.5,2020-12-22 10:20:00-05:00,12695.123509650568,stop,-53.37649034943206,-1067.5298069886412
2020-12-30 11:00:00-05:00,SHORT,12852.75,2020-12-30 15:00:00-05:00,12849.0,force_close,3.75,75.0
2020-12-31 12:20:00-05:00,SHORT,12816.25,2020-12-31 15:00:00-05:00,12842.25,force_close,-26.0,-520.0
2021-01-05 09:40:00-05:00,SHORT,12723.0,2021-01-05 14:40:00-05:00,12792.862034084688,stop,-69.86203408468828,-1397.2406816937655
2021-01-07 09:40:00-05:00,LONG,12795.75,2021-01-07 10:20:00-05:00,12863.220929317824,target,67.4709293178239,1349.418586356478
2021-01-12 09:40:00-05:00,SHORT,12933.0,2021-01-12 10:00:00-05:00,12880.555505430068,target,52.44449456993243,1048.8898913986486
2021-01-12 11:20:00-05:00,SHORT,12917.5,2021-01-12 12:20:00-05:00,12846.913929608285,target,70.58607039171511,1411.7214078343022
2021-01-12 12:40:00-05:00,SHORT,12826.5,2021-01-12 14:20:00-05:00,12911.667697221412,stop,-85.1676972214118,-1703.353944428236
2021-01-13 10:00:00-05:00,LONG,12913.0,2021-01-13 11:20:00-05:00,12977.328924696409,target,64.32892469640865,1286.578493928173
2021-01-15 10:40:00-05:00,SHORT,12826.5,2021-01-15 11:20:00-05:00,12748.35997522661,target,78.1400247733909,1562.800495467818
2021-01-20 10:20:00-05:00,LONG,13224.0,2021-01-20 13:20:00-05:00,13277.712287638922,target,53.712287638922135,1074.2457527784427
2021-01-21 10:20:00-05:00,LONG,13373.0,2021-01-21 15:00:00-05:00,13407.0,force_close,34.0,680.0
2021-01-25 12:00:00-05:00,SHORT,13398.0,2021-01-25 15:00:00-05:00,13438.25,force_close,-40.25,-805.0
2021-01-27 12:20:00-05:00,SHORT,13291.75,2021-01-27 14:40:00-05:00,13166.38287863154,target,125.36712136845927,2507.3424273691853
2021-02-02 09:40:00-05:00,LONG,13390.25,2021-02-02 12:00:00-05:00,13449.895583591937,target,59.645583591936884,1192.9116718387377
2021-02-03 10:00:00-05:00,LONG,13527.75,2021-02-03 10:20:00-05:00,13463.400456167123,stop,-64.34954383287732,-1286.9908766575463
2021-02-05 11:00:00-05:00,LONG,13563.0,2021-02-05 13:00:00-05:00,13621.214958864592,target,58.21495886459161,1164.2991772918322
2021-02-08 10:00:00-05:00,LONG,13661.0,2021-02-08 11:40:00-05:00,13617.61398917736,stop,-43.386010822639946,-867.7202164527989
2021-02-08 12:00:00-05:00,SHORT,13631.75,2021-02-08 15:00:00-05:00,13640.75,force_close,-9.0,-180.0
2021-02-09 10:00:00-05:00,LONG,13706.5,2021-02-09 14:00:00-05:00,13664.365800158552,stop,-42.13419984144821,-842.6839968289642
2021-02-10 14:40:00-05:00,SHORT,13676.0,2021-02-10 15:00:00-05:00,13680.75,force_close,-4.75,-95.0
2021-02-16 10:00:00-05:00,SHORT,13852.5,2021-02-16 11:20:00-05:00,13808.093558430885,target,44.406441569115486,888.1288313823097
2021-02-16 14:20:00-05:00,SHORT,13786.75,2021-02-16 15:00:00-05:00,13772.75,force_close,14.0,280.0
2021-02-17 10:00:00-05:00,SHORT,13673.0,2021-02-17 10:40:00-05:00,13604.850241517122,target,68.14975848287759,1362.9951696575517
2021-02-17 11:00:00-05:00,SHORT,13652.5,2021-02-17 11:20:00-05:00,13567.623535208862,target,84.87646479113755,1697.529295822751
2021-02-17 12:00:00-05:00,SHORT,13600.25,2021-02-17 15:00:00-05:00,13658.25,force_close,-58.0,-1160.0
2021-02-22 11:20:00-05:00,SHORT,13332.0,2021-02-22 15:00:00-05:00,13329.25,force_close,2.75,55.0
2021-02-23 10:20:00-05:00,SHORT,12954.0,2021-02-23 11:00:00-05:00,13083.59272370618,stop,-129.59272370618055,-2591.854474123611
2021-02-25 14:20:00-05:00,SHORT,13001.5,2021-02-25 15:00:00-05:00,12908.25,force_close,93.25,1865.0
