entry_ts,direction,entry_price,qty,exit_ts,exit_price,exit_reason,pnl_points,pnl_dollars,scaled_pnl_dollars
2020-12-07 10:25:00-05:00,LONG,12593.75,1,2020-12-07 13:40:00-05:00,12558.75,SL_TRAIL,-35.0,-700.0,-700.0
2020-12-07 11:05:00-05:00,LONG,12593.5,1,2020-12-07 16:20:00-05:00,12593.0,FORCE_CLOSE,-0.5,-10.0,-10.0
2020-12-16 14:35:00-05:00,LONG,12649.0,2,2020-12-16 15:40:00-05:00,12696.808647878703,TP_FIXED,47.808647878702686,956.1729575740537,1912.3459151481075
2020-12-29 13:00:00-05:00,LONG,12846.75,1,2020-12-29 16:20:00-05:00,12857.25,FORCE_CLOSE,10.5,210.0,210.0
2021-01-08 12:00:00-05:00,LONG,13032.75,1,2021-01-08 13:40:00-05:00,12967.75,SL_TRAIL,-65.0,-1300.0,-1300.0
2021-01-11 10:30:00-05:00,LONG,12990.25,1,2021-01-11 14:40:00-05:00,12914.5,SL_TRAIL,-75.75,-1515.0,-1515.0
2021-01-13 14:05:00-05:00,LONG,12995.5,1,2021-01-13 16:20:00-05:00,12971.75,FORCE_CLOSE,-23.75,-475.0,-475.0
2021-01-25 13:25:00-05:00,LONG,13439.25,2,2021-01-25 16:20:00-05:00,13463.5,FORCE_CLOSE,24.25,485.0,970.0
2021-01-27 14:50:00-05:00,SHORT,13149.25,1,2021-01-27 15:40:00-05:00,13027.458396705539,TP_FIXED,121.79160329446131,2435.832065889226,2435.832065889226
2021-02-01 13:25:00-05:00,LONG,13268.25,1,2021-02-01 16:20:00-05:00,13212.25,FORCE_CLOSE,-56.0,-1120.0,-1120.0
2021-02-02 10:05:00-05:00,LONG,13385.25,2,2021-02-02 10:40:00-05:00,13407.25,SL_TRAIL,22.0,440.0,880.0
2021-02-09 12:10:00-05:00,LONG,13696.25,1,2021-02-09 16:20:00-05:00,13690.5,FORCE_CLOSE,-5.75,-115.0,-115.0
2021-02-09 12:55:00-05:00,LONG,13699.0,2,2021-02-09 16:40:00-05:00,13691.25,FORCE_CLOSE,-7.75,-155.0,-310.0
2021-02-10 10:35:00-05:00,SHORT,13587.0,1,2021-02-10 11:00:00-05:00,13532.67922838341,TP_FIXED,54.32077161659072,1086.4154323318144,1086.4154323318144
2021-02-10 10:45:00-05:00,SHORT,13530.5,1,2021-02-10 11:20:00-05:00,13623.0,SL_TRAIL,-92.5,-1850.0,-1850.0
2021-02-11 14:55:00-05:00,LONG,13689.0,1,2021-02-11 16:20:00-05:00,13721.5,FORCE_CLOSE,32.5,650.0,650.0
2021-02-17 11:35:00-05:00,SHORT,13565.0,1,2021-02-17 14:20:00-05:00,13671.75,SL_TRAIL,-106.75,-2135.0,-2135.0
2021-02-18 12:15:00-05:00,LONG,13519.5,1,2021-02-18 13:40:00-05:00,13586.618980909838,TP_FIXED,67.11898090983777,1342.3796181967555,1342.3796181967555
2021-02-18 14:35:00-05:00,LONG,13626.5,1,2021-02-18 16:20:00-05:00,13638.5,FORCE_CLOSE,12.0,240.0,240.0
2021-02-22 11:50:00-05:00,SHORT,13324.0,1,2021-02-22 15:40:00-05:00,13240.090427389736,TP_FIXED,83.90957261026415,1678.191452205283,1678.191452205283
2021-02-22 13:05:00-05:00,SHORT,13326.0,1,2021-02-22 16:00:00-05:00,13246.729258555764,TP_FIXED,79.27074144423568,1585.4148288847136,1585.4148288847136
2021-02-26 12:15:00-05:00,LONG,13072.5,1,2021-02-26 16:20:00-05:00,12890.25,FORCE_CLOSE,-182.25,-3645.0,-3645.0
2021-03-03 12:00:00-05:00,SHORT,12893.0,2,2021-03-03 13:20:00-05:00,12856.5,SL_TRAIL,36.5,730.0,1460.0
2021-03-04 10:15:00-05:00,LONG,12567.25,1,2021-03-04 11:00:00-05:00,12690.11544917289,TP_FIXED,122.8654491728903,2457.308983457806,2457.308983457806
2021-03-09 11:20:00-05:00,LONG,12735.25,1,2021-03-09 13:20:00-05:00,12827.047140341529,TP_FIXED,91.79714034152857,1835.9428068305715,1835.9428068305715
2021-03-16 10:10:00-04:00,LONG,13242.5,1,2021-03-16 11:40:00-04:00,13261.0,SL_TRAIL,18.5,370.0,370.0
2021-03-16 14:05:00-04:00,LONG,13191.75,1,2021-03-16 14:40:00-04:00,13100.75,SL_TRAIL,-91.0,-1820.0,-1820.0
2021-03-22 10:10:00-04:00,LONG,13003.5,1,2021-03-22 11:00:00-04:00,13062.412203931239,TP_FIXED,58.912203931238764,1178.2440786247753,1178.2440786247753
2021-04-06 13:35:00-04:00,LONG,13567.75,1,2021-04-06 15:40:00-04:00,13582.5,SL_TRAIL,14.75,295.0,295.0
2021-04-15 10:30:00-04:00,LONG,13989.0,1,2021-04-15 16:00:00-04:00,14008.25,SL_TRAIL,19.25,385.0,385.0
2021-04-15 11:05:00-04:00,LONG,14007.25,1,2021-04-15 16:20:00-04:00,14006.5,FORCE_CLOSE,-0.75,-15.0,-15.0
2021-04-19 11:25:00-04:00,SHORT,13916.75,2,2021-04-19 12:20:00-04:00,13848.842459525364,TP_FIXED,67.90754047463633,1358.1508094927267,2716.3016189854534
2021-04-19 12:30:00-04:00,SHORT,13857.0,1,2021-04-19 16:20:00-04:00,13896.75,FORCE_CLOSE,-39.75,-795.0,-795.0
2021-04-20 12:45:00-04:00,SHORT,13767.25,2,2021-04-20 16:20:00-04:00,13746.0,FORCE_CLOSE,21.25,425.0,850.0
2021-04-21 13:05:00-04:00,LONG,13843.5,1,2021-04-21 16:00:00-04:00,13905.157739651067,TP_FIXED,61.65773965106746,1233.1547930213492,1233.1547930213492
2021-04-22 14:10:00-04:00,LONG,13739.75,1,2021-04-22 16:20:00-04:00,13756.0,FORCE_CLOSE,16.25,325.0,325.0
2021-04-26 11:15:00-04:00,LONG,13985.25,1,2021-04-26 15:40:00-04:00,14025.600325647918,TP_FIXED,40.350325647918,807.00651295836,807.00651295836
2021-04-27 10:40:00-04:00,SHORT,13922.5,1,2021-04-27 12:40:00-04:00,13977.25,SL_TRAIL,-54.75,-1095.0,-1095.0
2021-04-29 11:55:00-04:00,SHORT,13903.75,1,2021-04-29 12:20:00-04:00,13838.45590984756,TP_FIXED,65.29409015243982,1305.8818030487964,1305.8818030487964
2021-05-04 11:10:00-04:00,SHORT,13484.75,1,2021-05-04 12:00:00-04:00,13405.08907333269,TP_FIXED,79.66092666730947,1593.2185333461894,1593.2185333461894
2021-05-06 10:20:00-04:00,SHORT,13399.25,1,2021-05-06 11:40:00-04:00,13528.0,SL_TRAIL,-128.75,-2575.0,-2575.0
2021-05-12 14:10:00-04:00,SHORT,13011.25,1,2021-05-12 16:20:00-04:00,12994.25,FORCE_CLOSE,17.0,340.0,340.0
2021-05-13 13:45:00-04:00,LONG,13026.25,1,2021-05-13 14:40:00-04:00,13134.437868166015,TP_FIXED,108.1878681660146,2163.757363320292,2163.757363320292
2021-05-20 10:05:00-04:00,LONG,13405.75,1,2021-05-20 11:40:00-04:00,13466.897785796302,TP_FIXED,61.14778579630183,1222.9557159260366,1222.9557159260366
2021-05-20 11:30:00-04:00,LONG,13469.75,1,2021-05-20 16:00:00-04:00,13483.5,SL_TRAIL,13.75,275.0,275.0
2021-06-01 13:50:00-04:00,LONG,13651.5,1,2021-06-01 15:40:00-04:00,13657.25,SL_TRAIL,5.75,115.0,115.0
2021-06-02 11:40:00-04:00,LONG,13699.75,1,2021-06-02 13:40:00-04:00,13640.75,SL_TRAIL,-59.0,-1180.0,-1180.0
2021-06-03 10:50:00-04:00,LONG,13535.0,1,2021-06-03 11:20:00-04:00,13601.439961989734,TP_FIXED,66.439961989734,1328.79923979468,1328.79923979468
2021-06-03 12:00:00-04:00,LONG,13550.5,1,2021-06-03 16:20:00-04:00,13518.0,FORCE_CLOSE,-32.5,-650.0,-650.0
2021-06-17 10:05:00-04:00,LONG,14040.25,2,2021-06-17 10:40:00-04:00,14100.014567253183,TP_FIXED,59.764567253183486,1195.2913450636697,2390.5826901273394
2021-06-17 11:30:00-04:00,LONG,14159.75,1,2021-06-17 16:20:00-04:00,14169.75,FORCE_CLOSE,10.0,200.0,200.0
2021-06-18 12:55:00-04:00,LONG,14077.75,1,2021-06-18 16:20:00-04:00,14042.75,FORCE_CLOSE,-35.0,-700.0,-700.0
2021-06-24 11:50:00-04:00,LONG,14395.75,2,2021-06-24 12:40:00-04:00,14400.25,SL_TRAIL,4.5,90.0,180.0
2021-06-24 13:05:00-04:00,LONG,14382.5,1,2021-06-24 15:40:00-04:00,14335.25,SL_TRAIL,-47.25,-945.0,-945.0
2021-06-28 09:50:00-04:00,LONG,14450.75,1,2021-06-28 10:40:00-04:00,14484.1214390598,TP_FIXED,33.37143905979974,667.4287811959948,667.4287811959948
2021-06-29 10:25:00-04:00,LONG,14496.5,1,2021-06-29 11:20:00-04:00,14500.5,SL_TRAIL,4.0,80.0,80.0
2021-06-29 10:50:00-04:00,LONG,14526.0,1,2021-06-29 15:40:00-04:00,14563.510377836401,TP_FIXED,37.51037783640095,750.207556728019,750.207556728019
2021-07-02 10:20:00-04:00,LONG,14657.5,1,2021-07-02 14:40:00-04:00,14697.798874125398,TP_FIXED,40.29887412539756,805.9774825079512,805.9774825079512
2021-07-06 10:45:00-04:00,LONG,14746.0,1,2021-07-06 12:20:00-04:00,14643.0,SL_TRAIL,-103.0,-2060.0,-2060.0
2021-07-06 11:25:00-04:00,LONG,14735.5,1,2021-07-06 15:40:00-04:00,14779.702320672402,TP_FIXED,44.20232067240249,884.0464134480499,884.0464134480499
2021-07-06 14:20:00-04:00,LONG,14747.75,1,2021-07-06 16:20:00-04:00,14771.0,FORCE_CLOSE,23.25,465.0,465.0
2021-07-13 10:40:00-04:00,LONG,14966.0,1,2021-07-13 13:20:00-04:00,14915.25,SL_TRAIL,-50.75,-1015.0,-1015.0
2021-07-14 12:45:00-04:00,LONG,14942.75,1,2021-07-14 16:20:00-04:00,14905.25,FORCE_CLOSE,-37.5,-750.0,-750.0
2021-07-15 10:30:00-04:00,SHORT,14804.75,2,2021-07-15 12:20:00-04:00,14734.570280611617,TP_FIXED,70.17971938838309,1403.5943877676618,2807.1887755353237
