ymult,tpmult,mfe,label,is_live,n,net,pf,wr,sharpe,mdd,worst,worst_mae,tp,sl,fc,is_net,is_pf,is_sharpe,oos_net,oos_pf,oos_sharpe,min_net,min_pf,min_sharpe,yrs_pos,yrs_tot
1.5,1.5,off,y1.5 tp1.5 mfeoff,False,766,1262.601530542037,1.0563793536673567,55.87467362924282,0.4524729593788942,-1557.4303065573858,-202.75,-218.75,360,286,120,1241.2006860814981,1.0692083965641996,0.5578292618378946,21.400844460538792,1.0047978577425263,0.03853069082693623,21.400844460538792,1.0047978577425263,0.03853069082693623,6,7
1.5,1.5,0.6/0.45,y1.5 tp1.5 mfe0.6/0.45,False,793,1423.4091259110828,1.06982116233346,59.14249684741488,0.537989856001376,-1658.6351971076874,-202.75,-218.75,315,392,86,1361.960724498782,1.0835353731905533,0.649181816994358,61.44840141230088,1.0150516598682917,0.11467935068418036,61.44840141230088,1.0150516598682917,0.11467935068418036,6,7
1.5,1.5,0.8/0.3,y1.5 tp1.5 mfe0.8/0.3,False,771,959.064192107553,1.0440174953063028,55.77172503242542,0.3500004764832384,-1877.740217037881,-202.75,-218.75,343,320,108,811.4136200880039,1.0462706462378217,0.37176931397700225,147.65057201954914,1.034724969901117,0.26970184277791637,147.65057201954914,1.034724969901117,0.26970184277791637,6,7
1.5,1.5,0.8/0.45,y1.5 tp1.5 mfe0.8/0.45,False,772,1022.8656189679587,1.0471823247828755,57.12435233160622,0.37373030281941566,-1899.8888397704322,-202.75,-218.75,334,329,109,907.2580474062033,1.052058989953017,0.41589137204493654,115.60757156175532,1.0271921843024239,0.21189018538063978,115.60757156175532,1.0271921843024239,0.21189018538063978,5,7
1.5,1.5,0.8/0.6,y1.5 tp1.5 mfe0.8/0.6,False,774,1109.4830842203392,1.051481744894452,57.751937984496124,0.40730290607353165,-1730.3786887209444,-202.75,-218.75,321,349,104,781.2721491977773,1.0448459294940249,0.3595624481229086,328.2109350225619,1.0794747708753707,0.6059828782984132,328.2109350225619,1.0448459294940249,0.3595624481229086,6,7
1.5,1.5,1.0/0.45,y1.5 tp1.5 mfe1/0.45,False,766,1262.601530542037,1.0563793536673567,55.87467362924282,0.4524729593788942,-1557.4303065573858,-202.75,-218.75,360,286,120,1241.2006860814981,1.0692083965641996,0.5578292618378946,21.400844460538792,1.0047978577425263,0.03853069082693623,21.400844460538792,1.0047978577425263,0.03853069082693623,6,7
1.5,2.0,off,y1.5 tp2 mfeoff,False,740,2303.699303078851,1.1000357945211465,51.21621621621622,0.7612397099836457,-1487.5472223185006,-202.75,-218.75,274,314,152,1608.977393821955,1.0859817984193851,0.6738286733865958,694.7219092568957,1.1609736220255797,1.1174506956794352,694.7219092568957,1.0859817984193851,0.6738286733865958,6,7
1.5,2.0,0.6/0.45,y1.5 tp2 mfe0.6/0.45,False,755,1924.1008356235816,1.089160266244533,54.83443708609271,0.6635558214337911,-1884.62273421186,-202.75,-218.75,236,396,123,1428.3204835189008,1.0815239784545827,0.621973065834051,495.7803521046808,1.1221133872179017,0.8410783678830583,495.7803521046808,1.0815239784545827,0.621973065834051,5,7
1.5,2.0,0.8/0.3,y1.5 tp2 mfe0.8/0.3,False,747,2255.784553236128,1.1001369269426078,52.610441767068274,0.7579635980235621,-1375.2133562234976,-202.75,-218.75,264,337,146,1670.904155113236,1.0915162753375636,0.7101541688950681,584.8803981228921,1.13700641792525,0.9618406306763772,584.8803981228921,1.0915162753375636,0.7101541688950681,6,7
1.5,2.0,0.8/0.45,y1.5 tp2 mfe0.8/0.45,False,749,2168.5951496448633,1.0963135170387663,53.40453938584779,0.731039706095109,-1500.7214253103903,-202.75,-218.75,256,354,139,1666.587903022466,1.0913348990531302,0.7101534649395079,502.00724662239736,1.1175936394055745,0.8297454324532584,502.00724662239736,1.0913348990531302,0.7101534649395079,6,7
1.5,2.0,0.8/0.6,y1.5 tp2 mfe0.8/0.6,False,750,2085.5654277284466,1.0926351863962445,53.6,0.7081108202335095,-1439.0279033298048,-202.75,-218.75,249,367,134,1617.1260544030029,1.0886351445979254,0.6944619601979124,468.43937332544374,1.1097304692727674,0.7783956965776881,468.43937332544374,1.0886351445979254,0.6944619601979124,6,7
1.5,2.0,1.0/0.45,y1.5 tp2 mfe1/0.45,False,740,2303.699303078851,1.1000357945211465,51.21621621621622,0.7612397099836457,-1487.5472223185006,-202.75,-218.75,274,314,152,1608.977393821955,1.0859817984193851,0.6738286733865958,694.7219092568957,1.1609736220255797,1.1174506956794352,694.7219092568957,1.0859817984193851,0.6738286733865958,6,7
1.5,2.5,off,y1.5 tp2.5 mfeoff,False,710,3570.4834695524005,1.1581889800873866,49.014084507042256,1.1163226804929884,-950.2717561639001,-202.75,-218.75,212,328,170,3040.9976924715666,1.166313331736642,1.2034294754681805,529.4857770808339,1.123531239913872,0.8083881003548505,529.4857770808339,1.123531239913872,0.8083881003548505,7,7
